date,strategy,normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,emergency_kwh,emergency_intervals,spill_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,solve_seconds,mip_gap
2025-02-01,seasonal_q0,20122.384276869507,0.0,20122.384276869507,38257.07934063786,0.0,0,4203.96034032922,15564.427225308638,15889.484158333333,9902.811287870369,6255.813392499999,0.02939620000142895,0.0
2025-02-02,seasonal_q0,37546.69485646067,96286.79250613437,133833.48736259504,64958.49361584362,16097.63233775,41,0.0,18757.06968251029,16057.221678916663,6255.813392499999,5295.818685740741,0.02803969999877154,0.0
2025-02-03,seasonal_q0,54019.82933732954,151.142929274678,54170.972266604214,86675.88961893003,21.666130916668294,1,1011.8386231481421,25170.955012448558,19702.15438575,5295.818685740741,6058.395546111111,0.025763699999515666,0.0
2025-02-04,seasonal_q0,55348.480341601724,0.0,55348.480341601724,88211.53420462963,0.0,0,2095.2724419753126,24764.194495987653,19842.796683333334,6058.395546111111,6298.618722129627,0.013550300000133575,0.0
2025-02-05,seasonal_q0,53526.59385630072,2760.4531119593803,56287.0469682601,85576.34376810699,528.430857250001,6,896.3892846707716,24291.844441769557,19831.88608441667,6298.618722129627,6125.849737037036,0.048816300000908086,0.0
2025-02-06,seasonal_q0,54435.33048406826,145.35134114999994,54580.681825218264,86713.27968281892,24.90809999999999,2,1899.7257076131837,23529.10648353908,18961.701624999998,6125.849737037036,6233.488211111112,0.045727000000624685,0.0
2025-02-07,seasonal_q0,36455.26627347241,0.0,36455.26627347241,63380.03328960905,0.0,0,25300.113126028813,17415.312621913574,11141.072124999999,6233.488211111112,9528.300543055551,0.03317349999997532,0.0
2025-02-08,seasonal_q0,17841.728161833875,364.64437250833333,18206.37253434221,33679.808552916664,59.65064166666667,1,2352.283772222214,15686.160869444451,15876.148163749996,9528.300543055551,6005.680699166666,0.04481619999933173,0.0
2025-02-09,seasonal_q0,33754.160996128674,130252.23333562928,164006.39433175797,59072.55023076131,22440.86238408333,59,0.0,14860.107755761315,12902.111107583332,6005.680699166666,5044.098670925927,0.02876300000025367,0.0
2025-02-10,seasonal_q0,53071.60058099424,309.7626514208361,53381.36323241508,85513.6099260288,69.79764166666726,4,6173.955763991768,22849.219553703697,17766.40533333333,5044.098670925927,5867.945898888888,0.023342299999058014,0.0
2025-02-11,seasonal_q0,51260.78338328268,1503.4612745291613,52764.24465781184,82391.81744043209,238.47294166666597,8,2836.4387169753045,23150.59479012346,18577.340258333334,5867.945898888888,6061.992034074073,0.023607799999808776,0.0
2025-02-12,seasonal_q0,51262.14437793293,870.487490371034,52132.631868303964,82424.60788600822,151.89671475000495,6,3056.5958603909367,22865.501742283956,18612.329135249995,6061.992034074073,5960.577896296296,0.020631599998523598,0.0
2025-02-13,seasonal_q0,51252.396721078054,546.7770398580059,51799.17376093606,82292.75043909464,85.5915717500009,3,6959.457805349803,20730.889983744848,16641.484794916665,5960.577896296296,6127.840220648147,0.02149920000010752,0.0
2025-02-14,seasonal_q0,31736.67536546773,0.0,31736.67536546773,55498.554897942384,0.0,0,19244.41047067901,17539.411468930044,11087.068858333336,6127.840220648147,9594.34514453703,0.03823699999884411,0.0
2025-02-15,seasonal_q0,16955.786934224496,716.1967967625009,17671.983730986998,32039.270136583338,156.7890500000001,6,3377.9162855967047,15718.983506069962,16180.931705083327,9594.34514453703,5762.617294351852,0.033869199998662225,0.0
2025-02-16,seasonal_q0,33264.94083494053,112835.69754449475,146100.6383794353,58761.96043796296,19186.320093916667,49,0.0,16606.758737962962,14035.85730608333,5762.617294351852,5113.303151759258,0.02344989999983227,0.0
2025-02-17,seasonal_q0,49337.93638458263,892.2403673373661,50230.17675191999,80252.57259018414,134.0656089166654,3,4261.046479732499,22231.764157201655,17290.035604500004,5113.303151759258,5910.740221574073,0.019441899999947054,0.0
2025-02-18,seasonal_q0,47806.62657849427,535.7874250003455,48342.41400349462,77720.30038353908,83.9175524166684,4,1118.2281636831262,23134.4594531893,18539.857464250003,5910.740221574073,6131.912102499999,0.019139800000630203,0.0
2025-02-19,seasonal_q0,48146.85589655777,2183.628889212994,50330.484785770765,77940.70082030556,427.09396091666605,14,1396.1990986625453,23496.512648559674,19404.244349333334,6131.912102499999,5718.501986944444,0.027179099999557366,0.0
2025-02-20,seasonal_q0,47229.334129416646,610.8646814635096,47840.19881088015,76844.24394084362,128.28768591666798,7,1164.2875157407382,23483.225791769546,18668.115414083328,5718.501986944444,6111.054739444445,0.01997510000001057,0.0
2025-02-21,seasonal_q0,30683.860679940248,0.0,30683.860679940248,54327.40695339506,0.0,0,22209.48571903292,17764.288609362142,11206.629408333334,6111.054739444445,9647.104034166667,0.028871200000139652,0.0
2025-02-22,seasonal_q0,16354.903801162041,446.80998885338255,16801.713790015423,31103.23676925,80.49045925000127,3,3675.9785846707805,16074.038015329217,16411.052254833332,9647.104034166667,5879.235742592594,0.037994699998307624,0.0
2025-02-23,seasonal_q0,31422.477437407855,106679.98474132735,138102.4621787352,55801.5344095679,18111.187358245883,46,0.0,16374.360891563785,13993.492807083334,5879.235742592594,5067.835203796296,0.031277600000976236,0.0
2025-02-24,seasonal_q0,46694.030615286516,1061.1235344176764,47755.15414970419,76742.8323217078,190.50208533333472,6,3577.917533744859,22874.342704629627,17721.959448,5067.835203796296,5963.677584629629,0.0202266000014788,0.0
2025-02-25,seasonal_q0,45534.097042209374,865.5722819264909,46399.669324135866,74560.04844907406,172.04605774999868,8,4749.450207510294,22025.72051656378,17864.399450583333,5963.677584629629,5937.493326666666,0.020980600000257255,0.0
2025-02-26,seasonal_q0,45190.28475159644,866.3001946719894,46056.58494626843,73782.49535113169,124.18294074999847,1,656.493225720162,22608.35773374486,18173.020700916666,5937.493326666666,6092.770063796299,0.01881830000093032,0.0
2025-02-27,seasonal_q0,45243.80493059775,3234.502560580355,48478.3074911781,74137.76408652263,600.5998780833306,12,3331.4995723251022,23212.196764197524,18761.91657191667,6092.770063796299,6137.173182777778,0.03395099999943341,0.0
2025-02-28,seasonal_q0,28421.840091236536,0.0,28421.840091236536,50159.34180246913,0.0,0,20484.780920164605,17626.137107304523,11244.169775000002,6137.173182777778,9507.174607129627,0.0355706000009377,0.0
2025-03-01,seasonal_q0,15844.98835630999,183.46561807792494,16028.453974387916,30259.529628583336,37.59291416666838,3,7001.297198439295,15013.016705144038,15375.957294166667,9507.174607129627,5934.49264824074,0.040880700000343495,0.0
2025-03-02,seasonal_q0,29051.715413928745,127031.67500415366,156083.39041808242,51667.04181481482,22447.274396,62,0.0,13260.817664814816,11504.808520666666,5934.49264824074,5086.107968055556,0.027764499998738756,0.0
2025-03-03,seasonal_q0,46021.10240966257,13189.624345737942,59210.72675540051,75716.11591872427,2268.703073083331,16,572.4065327160512,24387.43671934156,18992.170893583334,5086.107968055556,5932.388911481481,0.019560600001568673,0.0
2025-03-04,seasonal_q0,44848.57979154738,3317.3478513493583,48165.92764289674,73385.2180701646,475.5372493333369,1,282.57169115225804,23123.86911234569,18745.143417333333,5932.388911481481,5915.933982222222,0.02072079999925336,0.0
2025-03-05,seasonal_q0,44621.78819027158,858.8271207916604,45480.615311063244,73432.93821152263,125.3300416666658,3,3161.1692084362203,22154.05953641975,17887.43250833333,5915.933982222222,5979.66255574074,0.022219999998924322,0.0
2025-03-06,seasonal_q0,43296.672498775006,5168.902583126626,48465.57508190163,70876.57633456789,763.2506537499943,4,1653.1783898148142,21400.603886419747,17354.609421250003,5979.66255574074,5957.306696574075,0.023095300000932184,0.0
2025-03-07,seasonal_q0,27491.067601386836,0.0,27491.067601386836,48532.203080761305,0.0,0,20943.111901851848,17340.18530390946,10673.379658333333,5957.306696574075,9704.162738611109,0.03216750000137836,0.0
2025-03-08,seasonal_q0,14639.652950140015,389.7391380060898,15029.392088146104,27742.774343583333,90.0204045000019,3,9168.71048930041,16196.343477366256,16595.398735249997,9704.162738611109,5841.5399401851855,0.023426100000506267,0.0
2025-03-09,seasonal_q0,27994.73285856399,97458.08052280362,125452.81338136761,49653.09397829218,16307.580026115224,40,213.08780000000002,16227.758949074072,13813.697794666668,5841.5399401851855,5097.969889166665,0.03737290000026405,0.0
2025-03-10,seasonal_q0,44370.46274957321,1441.1920058720384,45811.65475544525,73059.82584320987,206.5928907500055,1,87.98599166666679,23156.589601543208,18020.228309249993,5097.969889166665,5916.424631388889,0.018400500001007458,0.0
2025-03-11,seasonal_q0,44144.84321280592,848.9824697871368,44993.82568259306,72991.56058641974,128.15504091666227,3,5032.385185205504,20911.963787531124,16763.55214540021,5916.424631388889,6111.0229897222225,0.022490000001198496,0.0
2025-03-12,seasonal_q0,41796.489295932624,1435.6120369820137,43232.10133291464,69129.04829105144,206.79585950000205,2,3106.423891666671,21470.720262551433,17676.834686999995,6111.0229897222225,5793.743796018518,0.02753339999981108,0.0
2025-03-13,seasonal_q0,41455.09880185668,19546.53266208231,61001.63146393899,68612.01816676954,3130.828558333329,13,149.6687716049297,20070.857461831285,16023.297525000005,5793.743796018518,6053.851594999999,0.01995570000144653,0.0
2025-03-14,seasonal_q0,27097.57173571617,0.0,27097.57173571617,47814.204307098764,0.0,0,25173.663489403294,16974.942642695467,10363.827808333332,6053.851594999999,9815.935741944448,0.035487899998770445,0.0
2025-03-15,seasonal_q0,14042.724944161477,1921.2350913820726,15963.960035543549,26870.030182250004,386.15629416666474,9,6979.200999999997,16114.896208333335,16762.03588191667,9815.935741944448,5694.858016203703,0.0292221999989124,0.0
2025-03-16,seasonal_q0,26144.148487490427,111098.34933962251,137242.49782711294,46098.941063683116,19081.0873125,48,0.0,12914.466913683123,11085.485470833333,5694.858016203703,5000.672159814815,0.031031599999550963,0.0
2025-03-17,seasonal_q0,42499.33631887879,626.9903421309996,43126.32666100979,70968.43155997942,102.03932974999998,3,8243.984543621405,20749.71269135802,15781.357778583335,5000.672159814815,6140.571605833333,0.020368400000734255,0.0
2025-03-18,seasonal_q0,39060.84111379491,6038.570001743732,45099.41111553864,64853.80276296296,1194.7055145833297,8,1024.1119027777718,21735.25826018519,17836.820252083337,6140.571605833333,5883.614871018517,0.021007399998779874,0.0
2025-03-19,seasonal_q0,39788.90521561862,505.04716673333917,40293.95238235196,66038.83589269547,106.0341960000012,2,2271.5957956790135,22223.282855349797,17815.47901233333,5883.614871018517,6089.592760462965,0.021435099999507656,0.0
2025-03-20,seasonal_q0,40628.95085301969,3335.0146066258253,43963.965459645515,67530.85965997941,485.43772183333203,3,1707.6776851851819,21545.0703414609,17445.4124615,6089.592760462965,6096.36444388889,0.03068890000031388,0.0
2025-03-21,seasonal_q0,24947.150991491944,0.0,24947.150991491944,43175.08124290123,0.0,0,24995.122729835384,16406.350129732513,10259.856133333333,6096.36444388889,9462.2394125,0.042564999999740394,0.0
2025-03-22,seasonal_q0,13881.907556801625,0.0,13881.907556801625,26807.564170416666,0.0,0,10872.362229835391,15991.425761831273,15937.42355458333,9462.2394125,6146.27420416667,0.01888200000030338,0.0
2025-03-23,seasonal_q0,24716.89119868753,99079.89743375292,123796.78863244045,43310.16933436214,17040.765834833335,42,0.0,12860.356734362136,11279.141681833331,6146.27420416667,5188.215618611111,0.056033600001683226,0.0
2025-03-24,seasonal_q0,37761.409016779566,5205.090816654197,42966.499833433765,63274.26970360082,881.7482898034976,7,1328.9750671810743,22590.28572880658,17761.739885916668,5188.215618611111,5784.20623462963,0.033808500000304775,0.0
2025-03-25,seasonal_q0,38370.69167648726,8327.960049944124,46698.65172643138,63920.375181481475,1324.6088016666736,11,81.47528333333344,21416.840848148146,17203.456864999993,5784.20623462963,5944.41092574074,0.02438620000066294,0.0
2025-03-26,seasonal_q0,38643.31820898948,359.4307845333326,39002.748993522815,64371.72921121399,51.523908333333225,1,4886.155478292195,20779.656491255133,16835.113716666663,5944.41092574074,5940.419860462962,0.024356099998840364,0.0
2025-03-27,seasonal_q0,37845.78700615853,3240.9510298126306,41086.73803597116,63030.86379557612,500.8905543333282,8,751.6680916666675,21326.86704557613,17263.77018733334,5940.419860462962,5952.633326666667,0.03359209999871382,0.0
2025-03-28,seasonal_q0,23976.661179171664,0.0,23976.661179171664,41889.04510555555,0.0,0,24613.253039403295,16387.12044115226,9933.209141666666,5952.633326666667,9664.142677407408,0.03772700000081386,0.0
2025-03-29,seasonal_q0,13053.664761735232,931.7047264591849,13985.369488194417,25525.824982,186.88373633332938,3,18408.547794753085,15786.811321913578,16189.85958166667,9664.142677407408,5883.5399986111115,0.03190080000058515,0.0
2025-03-30,seasonal_q0,23773.715032792996,90403.52847255213,114177.24350534513,41625.92636100823,15633.792675999994,39,0.0,14075.102294341563,12161.002957333334,5883.5399986111115,5038.906555370369,0.030259200000728015,0.0
2025-03-31,seasonal_q0,36821.44565990256,3100.798706493208,39922.24436639577,61852.48862458848,470.5457731666606,6,341.6940410493818,21329.114916872426,16299.164043500003,5038.906555370369,6124.927710000001,0.023821199998565135,0.0
2025-04-01,seasonal_q0,37475.880063328084,7558.690878665212,45034.5709419933,62900.634347633735,1101.490284750013,4,117.28752499999973,20091.328239300412,16415.34264858332,6124.927710000001,5967.8535158333325,0.035310799999933806,0.0
2025-04-02,seasonal_q0,36845.00119839173,13948.580264776703,50793.58146316843,61949.83987335391,2516.488658833333,13,73.44076666666717,20827.690540020572,16870.138174499996,5967.8535158333325,5968.177030185187,0.03256060000057914,0.0
2025-04-03,seasonal_q0,37887.08860027979,1649.1978616634972,39536.28646194329,63669.08315401235,239.3397028374422,3,4007.9343356995882,21023.65053631687,16986.692281833337,5968.177030185187,6015.3599775,0.023416299998643808,0.0
2025-04-04,seasonal_q0,23508.29859401787,0.0,23508.29859401787,41423.13233343621,0.0,0,28638.08950390946,15815.623154526747,9461.382575,6015.3599775,9736.77351101852,0.022204800001418334,0.0
2025-04-05,seasonal_q0,12583.5628735132,559.8795788983241,13143.442452411524,24769.51961508333,117.2149716666648,2,13419.83063693416,15846.31253806584,16423.523571583337,9736.77351101852,5750.095271296296,0.07732020000003104,0.0
2025-04-06,seasonal_q0,23172.65332899256,90775.9460638848,113948.59939287735,40745.88338158435,15786.574570583332,38,0.0,13657.457298251027,11535.075612750003,5750.095271296296,5225.0561588888895,0.048526200000196695,0.0
2025-04-07,seasonal_q0,35969.50727099574,0.0,35969.50727099574,60454.42883230452,0.0,0,2552.212381172833,21228.56431779836,16569.06715,5225.0561588888895,5920.6894337963,0.03845079999882728,0.0
2025-04-08,seasonal_q0,35971.95541818173,3577.8457147344616,39549.80113291619,60630.656575411514,573.0893240833275,9,2781.1145849794143,21579.548632098762,17510.110934250006,5920.6894337963,5886.604386851852,0.035863099999914994,0.0
2025-04-09,seasonal_q0,36661.00892431149,10371.511668158328,47032.520592469824,61573.59296738683,1518.7991798333328,5,133.64511841564052,19932.994473971194,16108.55846183333,5886.604386851852,5927.9011224999995,0.023358800001005875,0.0
2025-04-10,seasonal_q0,36594.66279548095,2261.9939103105216,38856.65670579147,61667.685016769545,361.22028174999696,6,3233.1020483539123,21537.931385082302,17202.766034916665,5927.9011224999995,6197.854885833332,0.020436599999811733,0.0
2025-04-11,seasonal_q0,22632.548198777447,0.0,22632.548198777447,39694.94838786007,0.0,0,28483.993779320987,15079.496291872425,9185.191850000001,6197.854885833332,9563.632826296296,0.0649861999991117,0.0
