strategy,month,total_cost_yuan,emergency_cost_yuan,emergency_kwh
ridge_q0,2,1328647.3986542884,223431.1601347805,39177.05626765606
ridge_q0,3,1304663.23991796,291663.7718200037,49100.06224149451
ridge_q0,4,1077699.882904473,231516.34491100154,37153.77408729644
ridge_q0,5,1103506.5122356606,245779.4265212628,39992.063922107125
ridge_q0,6,1612132.3808206276,468599.3310119441,75354.60705867168
ridge_q0,7,1651849.4814644407,300023.77883008885,50354.646694265495
ridge_q0,8,1429388.200712701,263940.26421007456,42706.59888193752
ridge_q0,9,1648549.4764701938,722750.3827104813,126008.83058452846
ridge_q0,10,1417896.26321801,429160.7066539011,74885.33905543329
ridge_q0,11,1424419.0404027684,267185.46884029335,44129.81022621621
ridge_q0,12,1706655.173054656,102107.32533678904,18618.091214742337
ridge_q0.7,2,1214927.9817410642,55341.43790162391,9612.845353165343
ridge_q0.7,3,1159109.6293534883,79699.14167147958,13151.984969935316
ridge_q0.7,4,973909.0458124885,77583.9447765093,11933.36274883088
ridge_q0.7,5,1011633.7111892755,87726.69245568581,14485.39113596593
ridge_q0.7,6,1498032.399869028,256676.57947002072,40889.10476301414
ridge_q0.7,7,1586742.0038398006,179527.39910884976,30435.477916120733
ridge_q0.7,8,1336380.3573860796,137946.19291619447,22003.32377872723
ridge_q0.7,9,1259034.6919374818,226980.08006941533,37642.06054779447
ridge_q0.7,10,1134721.769895494,32464.87480616725,5165.076407748065
ridge_q0.7,11,1249770.0472803658,8900.892771967974,1645.8175635114453
ridge_q0.7,12,1708350.5209416826,54717.9779357926,10500.659712751967
seasonal_q0,2,1598040.664179358,464119.8150588838,79114.39205299589
seasonal_q0,3,1613676.8650156436,605044.5499272106,103633.8810514187
seasonal_q0,4,1320409.6107306476,468710.80625561083,79595.57527700409
seasonal_q0,5,1408745.4343838545,564568.4918288175,93391.15712677673
seasonal_q0,6,2104644.613840161,1013587.3635286895,172023.78675053705
seasonal_q0,7,2015449.8610961253,727486.8975362938,122991.81534516661
seasonal_q0,8,1746836.7714628337,593404.8706975833,99062.44789919442
seasonal_q0,9,1579702.5266578551,589897.3132156322,98833.75500474994
seasonal_q0,10,1619563.1369392718,614264.0164556719,104616.65945953598
seasonal_q0,11,1956085.8655012695,840170.7733667914,144172.33788454626
seasonal_q0,12,2264683.7139835954,754686.9996819542,129788.12730860389
seasonal_q0.7,2,1569348.3028240697,390058.8810204106,65669.11644433581
seasonal_q0.7,3,1552906.4990586299,501116.8981244094,84599.27783997211
seasonal_q0.7,4,1259480.2629640312,355598.3468022744,61233.05671787396
seasonal_q0.7,5,1262325.8047209354,339648.78596199106,57186.365150916674
seasonal_q0.7,6,1776700.9557799492,535316.9306926312,89903.51876309166
seasonal_q0.7,7,1805637.889221686,389519.2818396197,64493.238477899875
seasonal_q0.7,8,1614405.768450001,383184.67236328614,65088.41161520564
seasonal_q0.7,9,1410739.057141417,338451.6214047927,56917.75054538855
seasonal_q0.7,10,1449745.3739683856,356213.01418657036,60641.58118784167
seasonal_q0.7,11,1745578.2015646382,527354.4859630197,88261.4200349076
seasonal_q0.7,12,2057140.2922072227,408964.202930526,69665.70386129271
