forecast,variable,month,mae_kw,rmse_kw
同期,负载,2,355.9745671130952,574.8552608701035
同期,负载,3,359.49705417786737,580.8243972703169
同期,负载,4,331.05023001157406,551.8155234167589
同期,负载,5,371.0198781362007,586.0901875531301
同期,负载,6,404.10912417824073,619.8556639394037
同期,负载,7,403.87511869399634,591.2947019364883
同期,负载,8,414.78012612007166,621.917553222473
同期,负载,9,384.1397455324074,587.8623625978441
同期,负载,10,356.57464621415767,578.4169919591445
同期,负载,11,361.80321791666665,587.7012830016189
同期,负载,12,350.2002140568996,559.6065595417737
同期,光伏,2,125.60756684027778,251.2919997491352
同期,光伏,3,171.52053048835123,339.375452008428
同期,光伏,4,189.313115775463,363.7675481758136
同期,光伏,5,211.70450129928315,396.970990076548
同期,光伏,6,238.72924725694446,462.18079486112555
同期,光伏,7,210.17656188396055,395.98079731730763
同期,光伏,8,208.73780835573476,388.0400902944772
同期,光伏,9,184.25519406249998,355.1867695624696
同期,光伏,10,149.35013910170252,299.3955555681734
同期,光伏,11,110.37318960648147,229.04326557146013
同期,光伏,12,88.65937822580644,189.5459148021163
岭回归,负载,2,155.71541401939092,193.58649311345127
岭回归,负载,3,137.46735231986258,173.29475422087688
岭回归,负载,4,123.48411193999456,154.56941259566872
岭回归,负载,5,173.96813046358238,225.99815787535334
岭回归,负载,6,204.91674937203956,261.3105970294754
岭回归,负载,7,269.84476679352724,339.2895741642789
岭回归,负载,8,188.22218824798836,236.83496469128576
岭回归,负载,9,247.7845931934401,309.63565707634643
岭回归,负载,10,149.18182574053327,190.40032454280873
岭回归,负载,11,124.44159318799993,155.71837002595723
岭回归,负载,12,200.526220900171,255.03387236862065
岭回归,光伏,2,107.45117499085354,215.07120287137136
岭回归,光伏,3,160.905104090201,321.56928666045013
岭回归,光伏,4,172.11784646002369,333.7237644431671
岭回归,光伏,5,183.68694398891589,337.8002238343276
岭回归,光伏,6,213.58623178775937,409.83841144276283
岭回归,光伏,7,185.91006547207505,335.1743999408498
岭回归,光伏,8,198.69417946480104,358.50490692781807
岭回归,光伏,9,169.7903253356865,311.3996171776642
岭回归,光伏,10,144.4568293572075,293.72219407972864
岭回归,光伏,11,93.50432746398424,194.8849813918428
岭回归,光伏,12,74.24810225608451,162.33606288911827
