date,strategy,soc_start_kwh,soc_end_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,plan_kwh,increase_kwh,decrease_kwh,emergency_kwh,spill_kwh,emergency_intervals
2025-02-01,q3_m7,9902.8112878703687,6322.1250528079199,20271.762314168624,536.31911343280035,-601.70385512306041,0,20206.377572478363,38204.282127597791,36811.298829131687,391.88270512517073,1784.8660035912715,0,2698.9013172180489,0
2025-02-02,q3_m7,6322.1250528079199,6606.9509767703139,55496.941406820995,380.04599910327602,-926.13835791947986,0,54950.849048004791,88533.601170034701,85800.098513052275,272.70344698562542,3006.2061039680407,0,2852.6411136108859,0
2025-02-03,q3_m7,6606.9509767703139,6365.6900051503708,56970.734620880234,672.28306604437319,-1597.6065138734971,0,56045.411173051114,90522.691432250766,86144.261629349436,374.34663799089196,4752.7764408922285,0,1832.4854401804682,0
2025-02-04,q3_m7,6365.6900051503708,6723.6495872618807,59497.012663822177,1028.9561491147106,-1843.6870627703954,0,58682.281750166483,93867.363639853356,89169.668260974722,597.89326558999608,5295.5886444686284,0,3227.9639524333975,0
2025-02-05,q3_m7,6723.6495872618807,5880.2497625370897,51123.794389284143,4054.6432089710806,-436.33728481372884,4222.5867524016148,58964.687065843114,82189.825561260062,84213.644416078532,3214.095554358858,1190.2766995403822,646.41651209799454,530.05764806439561,7
2025-02-06,q3_m7,5880.2497625370897,5820.6556289625569,56433.545065893413,3018.1880204837857,-2383.559487587896,1389.484689756435,58457.658288545732,89919.201708614084,84801.255464201124,1538.2804282140521,6656.2266726270182,259.43001213443989,429.54548812571835,8
2025-02-07,q3_m7,5820.6556289625569,5569.8309185588787,19936.732348251404,665.49367014375593,-638.9369854758362,4771.8763459987895,24735.165378918111,39292.926189020764,37747.38726921675,529.10059270567717,2074.6395125096933,854.67761866164778,3141.7115965880266,8
2025-02-08,q3_m7,5569.8309185588787,5608.0233773790433,15958.314132665226,3902.525268122391,-85.351209474165699,7379.2448446423678,27154.733035955822,32382.853815756469,34992.958152428342,2811.6462700052052,201.54193333333131,1155.4697285062668,988.88236666666683,9
2025-02-09,q3_m7,5608.0233773790433,5668.4717913123968,50015.053670772948,4369.9808950393044,-225.59316386066405,4915.1573986414987,59074.598800593092,81292.460571827207,83648.382417819972,3146.6142978850567,790.69245189228673,798.67063061341219,268.73483835881984,8
2025-02-10,q3_m7,5668.4717913123968,5520.1280006685938,48384.070234910323,5334.0510376050843,-1649.795910818488,4642.0564018664154,56710.381763563339,78555.488256735611,77859.997231419358,4399.984188768125,5095.4752140843684,795.64003470097066,34.257706184209269,11
2025-02-11,q3_m7,5520.1280006685938,5782.7153278259293,48405.505400507689,4154.9355192301464,-1146.2701135350906,11017.90736018811,62432.078166390856,78608.117309124849,77761.149194379279,2263.289553875486,3110.2576686210564,1988.109524771867,63.774519909332525,17
2025-02-12,q3_m7,5782.7153278259293,5867.9903377651071,50078.082375815386,4123.060265109697,-1501.417909379001,4400.509797545883,57100.234529091962,80958.147720917041,79159.626639968992,2408.6546982403506,4207.1757791883947,807.96751911069828,152.52370769136189,14
2025-02-13,q3_m7,5867.9903377651071,5978.3161324499479,46215.694820467586,3026.3168844279626,-866.4275143569007,3685.6432606997132,52061.227451238352,75912.853771013775,75597.491658577404,2567.9751050416671,2883.337217478047,625.49495217471951,358.83601235428523,11
2025-02-14,q3_m7,5978.3161324499479,5585.492130440869,16620.138878932841,1975.8970905669412,-11.674034817299404,3983.8112775845775,22568.173212267066,33018.48806566486,34535.45535333806,1544.9126657253303,27.945378052126273,697.47500084437638,2244.8051862997249,11
2025-02-15,q3_m7,5585.492130440869,5599.3714590516802,17091.911919823622,2437.7817380142669,-252.58376769991168,4020.7458966638978,23297.855786801876,33486.484811752329,34713.398194307811,1836.8387840394871,609.92540148400599,726.69783606122553,2727.5458150756381,10
2025-02-16,q3_m7,5599.3714590516802,5928.8254419992372,50695.590380360227,4892.21897889722,-2132.9655079898957,5688.6836649131928,59143.527516180751,82277.534655846859,78994.781111639983,2794.2711850225896,6077.0247292294771,1101.8766519039837,107.47093155097048,12
2025-02-17,q3_m7,5928.8254419992372,5785.5907753703905,50114.271709505789,3841.2854019684573,-2909.8288298560246,3248.5675120967007,54294.295793714933,81849.847323916707,74937.680599408806,2041.8263432953856,8953.9930678032906,512.62314434375764,284.03723449132451,9
