date,strategy,soc_start_kwh,soc_end_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,plan_kwh,increase_kwh,decrease_kwh,emergency_kwh,spill_kwh,emergency_intervals
2025-02-01,q3_no_refund_m1,9902.8112878703687,6322.5767936263146,20271.762314168624,0,0,0,20271.762314168624,38204.282127597791,38204.282127597791,0,0,0,4101.351482238746,0
2025-02-02,q3_no_refund_m1,6322.5767936263146,6444.5968429366048,55496.726980512532,114.93073431107122,0,0,55611.657714823603,88533.099235792033,88619.018959347566,85.919723555552537,0,0,5861.1485810979502,0
2025-02-03,q3_no_refund_m1,6444.5968429366048,6265.2006188553778,57047.798716406636,4.7571866333334505,0,1272.3246200655299,58324.880523105501,90703.084914288222,90706.308914288224,3.2240000000000464,0,182.38598338095323,6592.001648362585,1
2025-02-04,q3_no_refund_m1,6265.2006188553778,6645.3540717313781,59544.738692035535,306.15031439312668,0,0,59850.889006428661,93979.018513514457,94201.493971847784,222.47545833333447,0,0,8285.2247017561695,0
2025-02-05,q3_no_refund_m1,6645.3540717313781,5880.2497625370897,51160.958660655961,2205.6848984821322,0,8236.5414100413782,61603.18496917947,82276.82057851617,84522.695218910347,2245.8746403941768,0,1235.5195686566876,1317.862708352498,8
2025-02-06,q3_no_refund_m1,5880.2497625370897,5820.6556289625569,56433.545065893413,0,0,3453.9078799462868,59887.452945839694,89919.201708614084,89919.201708614084,0,0,544.66685017595387,5767.3368851525393,7
2025-02-07,q3_no_refund_m1,5820.6556289625569,5569.8309185588787,19936.732348251404,176.71313343568681,0,4405.5617117297479,24519.007193416837,39292.926189020764,39491.914644011202,198.98845499043784,0,861.76281705967199,4893.5384317453863,7
2025-02-08,q3_no_refund_m1,5569.8309185588787,5608.0233773790433,15958.314132665226,1987.2885912567244,0,12544.535045167489,30490.137769089441,32382.853815756469,34070.79641126527,1687.9425955087991,0,2077.6314696693416,988.88236666666683,9
2025-02-09,q3_no_refund_m1,5608.0233773790433,5668.4717913123968,50015.053670772948,2028.2939864554185,0,11497.574952733572,63540.922609961941,81292.460571827207,83217.659430862754,1925.1988590355475,0,1768.1718305816871,766.03302467123819,10
2025-02-10,q3_no_refund_m1,5668.4717913123968,5520.1280006685938,48384.070234910323,0.32858455166669304,0,9794.9364177822299,58179.335237244224,78555.488256735611,78555.722091457836,0.233834722222241,0,1534.9258047483377,1590.8968762118768,11
2025-02-11,q3_no_refund_m1,5520.1280006685938,5782.7153278259293,48405.505400507689,493.81726405435535,0,12809.211019346978,61708.533683909023,78608.117309124849,78992.263860565581,384.14655144073123,0,2251.4526511466465,1231.5854146225229,18
2025-02-12,q3_no_refund_m1,5782.7153278259293,5867.9903377651071,50078.082375815386,0,0,5518.9018045591447,55596.984180374529,80958.147720917041,80958.147720917041,0,0,866.36450135799441,2064.3900913981633,9
2025-02-13,q3_no_refund_m1,5867.9903377651071,5978.3161324499479,46215.694820467586,109.59210149591928,0,8852.8252512673225,55178.112173230824,75912.853771013775,76009.832831569336,96.979060555557624,0,1345.5219364474492,1599.5150069517242,9
2025-02-14,q3_no_refund_m1,5978.3161324499479,5585.492130440869,16620.138878932841,1295.9843827455791,0,6152.2643409208258,24068.38760259925,33018.48806566486,34105.01259971891,1086.5245340540507,0,1134.6095056834561,2250.6679231863191,11
2025-02-15,q3_no_refund_m1,5585.492130440869,5599.3714590516802,17091.911919823622,1081.307819416628,0,5528.7045216838596,23701.924260924112,33486.484811752329,34446.028097733317,959.54328598098596,0,1060.3299831274765,2785.2744857829962,9
2025-02-16,q3_no_refund_m1,5599.3714590516802,5928.8254419992372,50695.590380360227,0,0,6012.0641400277273,56707.654520387958,82277.534655846859,82277.534655846859,0,0,923.92746637786956,3114.0146127028775,7
2025-02-17,q3_no_refund_m1,5928.8254419992372,5785.5907753703905,50114.271709505789,264.80588642307941,0,7356.5120941373198,57735.58969006619,81849.847323916707,82071.965652500046,222.11832858333355,0,1105.9067077420459,8200.0614180480698,9
2025-02-18,q3_no_refund_m1,5785.5907753703905,5938.9038638037864,44475.638799112327,1501.5612744978034,0,16066.898909380059,62044.098982990188,72781.661691780886,74478.466289134754,1696.8045973538592,0,2393.1790414740235,521.6327059626044,11
2025-02-19,q3_no_refund_m1,5938.9038638037864,5726.2277060896313,45333.904296868284,275.60544979328131,0,18640.234070692204,64249.743817353767,73833.944899816925,74136.28496657603,302.34006675911019,0,2899.0962065327426,146.38931246838183,19
2025-02-20,q3_no_refund_m1,5726.2277060896313,5930.3013245502352,46919.687005376611,1359.4961460713726,0,3994.4713895071709,52273.654540955147,77240.61171383578,78346.145596655551,1105.5338828197787,0,621.18228226143992,3547.5851676211305,7
2025-02-21,q3_no_refund_m1,5930.3013245502352,5527.4252166578999,16274.950135407291,1075.377222401012,0,4381.5770206926682,21731.904378500971,32408.46686158645,33355.807752077482,947.34089049103045,0,818.70518442145908,5600.9775650934043,6
2025-02-22,q3_no_refund_m1,5527.4252166578999,5776.9463766764648,16982.624799998259,1175.4805634397126,0,2836.4459353690368,20994.551298807011,33467.289301371376,34470.919966732661,1003.6306653612893,0,512.71918237459477,3462.1067784633101,4
2025-02-23,q3_no_refund_m1,5776.9463766764648,5945.033992948167,46544.332668009985,755.86100614516545,0,3622.9327571702743,50923.126431325421,76577.84602701501,77186.573604721983,608.72757770696921,0,567.67097751617246,1625.0188516783592,10
2025-02-24,q3_no_refund_m1,5945.033992948167,5916.9556024100239,44953.210712029038,738.722988876915,0,3495.822504575352,49187.756205481302,72857.562552620569,73976.961047136268,1119.3984945157038,0,568.87733413529395,2244.5464939265512,7
2025-02-25,q3_no_refund_m1,5916.9556024100239,5817.3505455205686,45987.256024464979,584.68346943347808,0,4437.8693281319756,51009.808822030434,75583.137641720663,76088.150136111566,505.01249439090452,0,720.9678029786445,7168.8205863119765,12
2025-02-26,q3_no_refund_m1,5817.3505455205686,6124.9561963415244,42268.644288574629,1414.8072197850706,0,13609.379943401398,57292.831451761092,69818.20322490402,71495.563383021727,1677.3601581176974,0,2015.7941598021221,207.57738853213255,8
2025-02-27,q3_no_refund_m1,6124.9561963415244,6099.5173231452445,42633.298798534561,734.02718198914522,0,10570.91492735055,53938.240907874242,70029.948276616618,70718.901024963823,688.95274834720055,0,1575.8414048599061,1043.0303657109459,8
2025-02-28,q3_no_refund_m1,6099.5173231452445,5808.3792231080815,15898.449298334632,1044.425193790735,0,2966.0632617913898,19908.937753916754,31407.783882542113,32328.481101456055,920.69721891394602,0,597.88914044415901,6675.8430117746602,7
2025-03-01,q3_no_refund_m1,5808.3792231080815,5932.9857597842774,17825.51290363411,0,0,2208.6334727354388,20034.146376369546,35366.129097056539,35366.129097056539,0,0,428.41975925556739,8829.2165480473013,7
2025-03-02,q3_no_refund_m1,5932.9857597842774,5894.8577687197212,47875.244125499652,991.00953693761858,0,5244.0484905305111,54110.302152967779,78394.506651288597,79178.869858568098,784.36320727951158,0,816.45255708629668,3314.1206013087544,7
2025-03-03,q3_no_refund_m1,5894.8577687197212,5838.1027217581304,49737.224688882154,1227.4932069937524,0,4805.1402063019541,55769.858102177859,81038.943786715652,81969.022570048983,930.07878333333463,0,765.66826689060008,6593.1725133921573,8
2025-03-04,q3_no_refund_m1,5838.1027217581304,5844.4058090600665,44201.444648048258,1213.9885842212652,0,9907.967210058232,55323.400442327751,72519.221640248303,73801.899747485644,1282.678107237344,0,1471.1066984849385,2052.6014038181415,9
2025-03-05,q3_no_refund_m1,5844.4058090600665,5893.8556565417512,46179.444255654191,267.61012361083357,0,3700.5851437906676,50147.639523055688,75985.504298830725,76175.281998830731,189.7777000000001,0,550.50631793554999,6625.2075551554772,7
2025-03-06,q3_no_refund_m1,5893.8556565417512,5760.5941863766111,42795.11834233642,461.19136108572843,0,5137.4499401823432,48393.759643604484,70567.682646774163,70976.3746822713,408.69203549713558,0,762.84918398024899,1788.8242807335432,4
2025-03-07,q3_no_refund_m1,5760.5941863766111,5687.3842016403923,16354.501731704466,0,0,1689.8074959580165,18044.309227662485,31813.590900174524,31813.590900174524,0,0,348.55288265386275,8219.3972006995573,2
2025-03-08,q3_no_refund_m1,5687.3842016403923,5762.0138047941846,14755.24208529038,1077.0115234694695,0,4341.7124059694042,20173.966014729252,29178.930685058585,30096.854710721309,917.92402566272472,0,838.53375006775332,8767.3377673212999,13
2025-03-09,q3_no_refund_m1,5762.0138047941846,6026.5584869692366,43586.047807302006,0,0,4518.4753677680537,48104.523175070062,72535.674405527054,72535.674405527054,0,0,662.74051344388204,5411.6764887320269,5
2025-03-10,q3_no_refund_m1,6026.5584869692366,5835.4446871337213,41462.880287347522,1779.9896630349763,0,9220.5894284399164,52463.459378822423,69246.677581612894,70783.26716790424,1536.5895862913437,0,1349.1065501045243,80.360467812986712,4
2025-03-11,q3_no_refund_m1,5835.4446871337213,6091.6066382457211,36788.087056758624,6704.2297464066523,0,3348.7432534407262,46841.060056605995,60815.968355446195,68771.868382234767,7955.9000267885694,0,499.8614372095974,786.81605798431383,4
2025-03-12,q3_no_refund_m1,6091.6066382457211,5766.175376234165,42107.228254648122,215.76261743405257,0,3091.4108071270743,45414.401679209244,69879.160403906717,70051.898067116344,172.73766320961738,0,455.1844464373479,4246.3234339731662,3
2025-03-13,q3_no_refund_m1,5766.175376234165,5934.1534117482224,42134.685723794297,628.77605411977925,0,9788.9219964149815,52552.383774329057,70372.115660953859,70900.909675486881,528.79401453302603,0,1433.975084153969,537.85619371739858,6
2025-03-14,q3_no_refund_m1,5934.1534117482224,5751.0127701277825,14124.655561302665,1606.6428124832723,0,2780.9504067339217,18512.248780519858,28028.767539424254,29336.985652732357,1308.2181133081021,0,533.82355471370533,10948.204525185545,3
2025-03-15,q3_no_refund_m1,5751.0127701277825,5638.802057006953,14203.816815176939,1314.7760114034008,0,4583.0942750488775,20101.687101629217,28652.005626220147,29711.523757408348,1059.5181311882027,0,876.40971911559268,6728.8831646616591,10
2025-03-16,q3_no_refund_m1,5638.802057006953,5927.7496934823948,40942.956592259863,1635.5041152906388,0,1334.6853465956144,43913.14605414612,67803.810923501602,69900.823107941018,2097.012184439418,0,192.7155575699469,2211.3893093412548,3
2025-03-17,q3_no_refund_m1,5927.7496934823948,6025.1545070688735,37382.826937436606,369.61859152447687,0,9900.2102098326577,47652.655738793736,63373.813982660424,63722.651387058359,348.83740439793723,0,1460.1946023298046,3120.0343967915533,5
2025-03-18,q3_no_refund_m1,6025.1545070688735,5819.5362699365551,42835.532553268691,339.33402195568192,0,3661.8944432481339,46836.761018472505,71089.443448727921,71387.328319727923,297.88487099999895,0,527.46358776593706,7155.1345520834739,2
2025-03-19,q3_no_refund_m1,5819.5362699365551,6087.7279949289468,35513.687958353919,4984.159022151106,0,728.08186944291924,41225.928849947944,58573.635091347132,64085.412125553521,5511.7770342063941,0,139.55619077928367,358.71246543746565,6
2025-03-20,q3_no_refund_m1,6087.7279949289468,6068.4603613750933,40473.232067991317,949.57977916756818,0,2374.4772166871421,43797.289063846023,66988.983076923367,67793.106051654278,804.12297473090712,0,455.8134939592378,1895.0101018079695,10
2025-03-21,q3_no_refund_m1,6068.4603613750933,5662.4282808490589,13891.423071791964,1345.8965067495883,0,2471.8871177563765,17709.20669629793,27508.195325752564,28605.634162705355,1097.4388369527912,0,500.8495946465323,14410.274340781065,11
2025-03-22,q3_no_refund_m1,5662.4282808490589,6188.4027875708543,15358.077722966485,54.300649328506537,0,0,15412.378372294992,30073.9759401556,30126.447940279777,52.472000124178898,0,0,10712.89990173638,0
2025-03-23,q3_no_refund_m1,6188.4027875708543,6124.5883972704314,41165.329068451661,0,0,4063.5854443779003,45228.914512829564,68509.355792742688,68509.355792742688,0,0,596.48709448374939,6542.6885583281355,4
2025-03-24,q3_no_refund_m1,6124.5883972704314,5672.5967764704938,38454.915924918154,749.44423094875367,0,1874.6052977234947,41078.965453590405,64369.066119321724,65025.862842469869,656.79672314815014,0,279.62998679795328,3654.6213558966892,3
2025-03-25,q3_no_refund_m1,5672.5967764704938,5926.6799244983122,42791.264338502471,2.6036398952089388,0,4367.8109054679298,47161.678883865614,71590.681515230885,71592.067465230881,1.3859500000003209,0,676.16315955843356,7080.3875666240019,5
2025-03-26,q3_no_refund_m1,5926.6799244983122,5889.1690482382983,36893.702429838944,1186.2707556544153,0,1343.2750573247711,39423.248242818125,61392.783221011632,62443.395290512257,1050.6120695006225,0,192.6667041519938,3036.7134933411976,2
2025-03-27,q3_no_refund_m1,5889.1690482382983,5891.1724827704793,39263.912729987976,969.66583036062445,0,318.97575438946768,40552.554314738067,65442.229564605885,66191.319127105875,749.08956249999949,0,73.720514172508004,3606.5747157095639,2
2025-03-28,q3_no_refund_m1,5891.1724827704793,5777.7728777028369,14257.207592929357,154.70567605298146,0,720.42067491186253,15132.333943894202,28497.216547979988,28639.674910967085,142.45836298710054,0,146.01453799509778,15029.56048083964,2
2025-03-29,q3_no_refund_m1,5777.7728777028369,5922.3561136387752,13455.948484194572,936.95936284647485,0,4065.6101873333573,18458.518034374407,27592.092289658249,28305.698082423303,713.60579276505121,0,758.01315194491974,18203.695538918932,7
2025-03-30,q3_no_refund_m1,5922.3561136387752,6052.0659143431467,38572.158671510726,7.1417870779163763,0,0,38579.300458588652,65112.846889504952,65116.637789504952,3.7908999999998514,0,0,5652.1884380787678,0
2025-03-31,q3_no_refund_m1,6052.0659143431467,6132.0843675418082,33617.794559892529,7366.8376964302361,0,639.49311790912589,41624.125374231895,55887.675749440299,64237.767433146655,8350.0916837063724,0,123.24149043226059,3332.6103830512211,6
2025-04-01,q3_no_refund_m1,6132.0843675418082,6060.8633836610143,40238.007160887159,652.53195433528856,0,4321.0882340032567,45211.62734922571,68554.7455830213,69149.111604157253,594.36602113595268,0,640.47017294689044,5882.4375016398972,3
2025-04-02,q3_no_refund_m1,6060.8633836610143,6033.1230468415251,38869.902637841376,1742.3160589877407,0,1835.0958704452732,42447.314567274385,65549.761252243814,67180.463485613058,1630.7022333692553,0,270.63186899249666,3104.6186487207756,7
2025-04-03,q3_no_refund_m1,6033.1230468415251,6054.5033433319977,40164.165769277613,0,0,1283.5863355315882,41447.752104809202,66601.063281201554,66601.063281201554,0,0,184.06492479666582,7144.5706726586432,2
2025-04-04,q3_no_refund_m1,6054.5033433319977,5856.2927827872863,13012.695493767385,738.35966650900866,0,1810.9940600479047,15562.049220324299,26521.183092140935,27134.628133407612,613.44504126667721,0,376.76536135923908,18200.560012194775,3
2025-04-05,q3_no_refund_m1,5856.2927827872863,5826.2512454698699,13123.460523330434,806.94921978335628,0,4199.4893877873656,18129.899130901154,26894.141360702033,27553.864476796327,659.72311609429653,0,770.463706833424,13258.034014830599,5
2025-04-06,q3_no_refund_m1,5826.2512454698699,6144.0390562333723,37133.856306707734,365.78456787310859,0,4293.9408283629773,41793.581702943826,63797.790626454509,64039.088276454502,241.29764999999884,0,641.7144731627701,5966.8351647871268,5
2025-04-07,q3_no_refund_m1,6144.0390562333723,5760.5862653424201,32060.703561517188,3477.5994464877945,0,1138.7334007758914,36677.03640878087,54354.574590606593,57854.911679597251,3500.3370889906541,0,170.66911588078261,1154.0633720637315,3
2025-04-08,q3_no_refund_m1,5760.5862653424201,5899.7157435996305,38047.235970219888,412.54931312041674,0,2573.8313725977628,41033.616655938065,64023.88236898277,64295.625006482776,271.7426375,0,397.16651255857255,6316.8562097093845,4
