date,strategy,soc_start_kwh,soc_end_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,plan_kwh,increase_kwh,decrease_kwh,emergency_kwh,spill_kwh,emergency_intervals
2025-02-01,q4_2_gru_mean,9902.8112878703687,7208.1860357492051,18387.429144259288,0,0,0,18387.429144259288,42331.246148632912,42331.246148632912,0,0,0,7357.2083779522327,0
2025-02-02,q4_2_gru_mean,7208.1860357492051,7249.3922759691186,65433.95969334861,0,0,0,65433.95969334861,92507.14404594322,92507.14404594322,0,0,0,10229.479931904414,0
2025-02-03,q4_2_gru_mean,7249.3922759691186,6979.8341247017415,64366.581055393814,0,0,0,64366.581055393814,89765.692699400795,89765.692699400795,0,0,0,5784.8789674857762,0
2025-02-04,q4_2_gru_mean,6979.8341247017415,7111.8167647641394,64064.637016349923,0,0,0,64064.637016349923,89997.020635571185,89997.020635571185,0,0,0,4239.4315801906887,0
2025-02-05,q4_2_gru_mean,7111.8167647641394,6101.1529311614913,58558.235085054141,0,0,6835.9485081228049,65394.183593176946,83292.717912105611,83292.717912105611,0,0,1236.7003564549836,317.40069082825994,9
2025-02-06,q4_2_gru_mean,6101.1529311614913,5965.9723348193302,60945.569892276617,0,0,397.59390372326192,61343.163795999877,86547.949964256171,86547.949964256171,0,0,56.458860649377584,1838.8967603184537,3
2025-02-07,q4_2_gru_mean,5965.9723348193302,5735.1091447757462,16360.90255119776,0,0,1843.8712049756939,18204.773756173454,39483.380897152107,39483.380897152107,0,0,438.14701727820102,4498.6222257458121,2
2025-02-08,q4_2_gru_mean,5735.1091447757462,5851.8463529404426,14477.863769715737,0,0,5784.7641745824803,20262.62794429822,35454.476705179128,35454.476705179128,0,0,1216.7687199241554,1031.7718409864208,8
2025-02-09,q4_2_gru_mean,5851.8463529404426,5912.2819434556095,56427.073361334886,0,0,13523.692637179276,69950.765998514165,81640.680202413845,81640.680202413845,0,0,2197.184923349183,66.625211173447838,18
2025-02-10,q4_2_gru_mean,5912.2819434556095,5749.3303657633687,55607.450516884157,0,0,1625.7527521648942,57233.203269049052,82073.826974015625,82073.826974015625,0,0,295.82862489234117,4339.413851151603,9
2025-02-11,q4_2_gru_mean,5749.3303657633687,5921.9728630209447,54745.49596239355,0,0,3929.9533335605493,58675.449295954102,80693.58872547606,80693.58872547606,0,0,644.50771262861019,1623.9288945696362,9
2025-02-12,q4_2_gru_mean,5921.9728630209447,6067.3383619151055,55636.841086103595,0,0,715.88337479113602,56352.724460894729,82328.589677709111,82328.589677709111,0,0,129.93583741658946,2719.6386137829995,6
2025-02-13,q4_2_gru_mean,6067.3383619151055,6194.2909116735382,54803.918318156233,0,0,0,54803.918318156233,81809.771647211674,81809.771647211674,0,0,0,6291.4302717703977,0
2025-02-14,q4_2_gru_mean,6194.2909116735382,5875.8819714834408,14553.771000993675,0,0,2933.9020205271404,17487.673021520815,35112.187224038906,35112.187224038906,0,0,612.57769394565048,2370.4195694588616,6
2025-02-15,q4_2_gru_mean,5875.8819714834408,5800.9229067954066,15150.095910063397,0,0,960.19442649099278,16110.29033655439,35506.875315091289,35506.875315091289,0,0,231.31487536223887,2817.8264732884591,8
2025-02-16,q4_2_gru_mean,5800.9229067954066,6191.938858768759,53634.900105865134,0,0,5743.5662407431901,59378.466346608329,79679.503010232031,79679.503010232031,0,0,969.02029650599354,602.24731242607163,7
2025-02-17,q4_2_gru_mean,6191.938858768759,6099.1541243825623,52548.688946862676,0,0,366.47678006530566,52915.165726927982,78463.265629753121,78463.265629753121,0,0,58.836164965246553,3431.204249859948,2
2025-02-18,q4_2_gru_mean,6099.1541243825623,6287.5309767851941,51701.460606204724,0,0,39.49449670846532,51740.955102913191,78231.546655001366,78231.546655001366,0,0,7.7500974702639951,1766.5864026016702,1
2025-02-19,q4_2_gru_mean,6287.5309767851941,5970.3197031413401,51940.536674099552,0,0,2370.7021257191991,54311.238799818748,78370.955254296685,78370.955254296685,0,0,445.44404825675133,1930.5503813310584,8
2025-02-20,q4_2_gru_mean,5970.3197031413401,6562.377517166301,52336.399154807979,0,0,221.15197004586233,52557.551124853846,78651.489034029684,78651.489034029684,0,0,39.417515381135786,2911.3731407132682,1
2025-02-21,q4_2_gru_mean,6562.377517166301,6221.331843957646,14615.467965384709,0,0,119.01770359113212,14734.48566897584,34400.04099819214,34400.04099819214,0,0,26.297594926053623,5776.0008596088246,2
2025-02-22,q4_2_gru_mean,6221.331843957646,6474.7684058295026,15010.737972580757,0,0,0,15010.737972580757,35364.085402477642,35364.085402477642,0,0,0,3659.1720843490921,0
2025-02-23,q4_2_gru_mean,6474.7684058295026,6659.7223664131006,51475.48081905453,0,0,0,51475.48081905453,77672.882555772128,77672.882555772128,0,0,0,1735.3592250349584,0
2025-02-24,q4_2_gru_mean,6659.7223664131006,6254.7568190708298,49819.356581601292,0,0,294.58581681895146,50113.942398420244,75646.377996018971,75646.377996018971,0,0,57.777564696927584,3911.6361536295385,2
2025-02-25,q4_2_gru_mean,6254.7568190708298,6477.2351386654309,49309.237610248907,0,0,158.83163118473774,49468.069241433637,76258.881580580928,76258.881580580928,0,0,30.949265624461759,6343.098008091647,1
2025-02-26,q4_2_gru_mean,6477.2351386654309,6483.6006638609388,49540.579895919975,0,0,766.8084937302873,50307.388389650259,75597.202970870159,75597.202970870159,0,0,118.89425439650938,2870.5678472066347,1
2025-02-27,q4_2_gru_mean,6483.6006638609388,6615.6449153630292,47393.936330049939,0,0,2956.875864398196,50350.812194448132,74672.24608703563,74672.24608703563,0,0,559.24767175799298,3785.8056901060354,4
2025-02-28,q4_2_gru_mean,6615.6449153630292,6360.8097153524686,13942.206335524284,0,0,0,13942.206335524284,33710.476485012245,33710.476485012245,0,0,0,7223.1445101479349,0
2025-03-01,q4_2_gru_mean,6360.8097153524686,6648.5949346217822,14275.097992399114,0,0,0,14275.097992399114,34572.145581782315,34572.145581782315,0,0,0,7398.3607439535417,0
2025-03-02,q4_2_gru_mean,6648.5949346217822,6243.4000319138668,47816.10586463059,0,0,25151.189224180955,72967.295088811545,73339.222582521412,73339.222582521412,0,0,3970.0804625689098,1672.7949056727853,8
2025-03-03,q4_2_gru_mean,6243.4000319138668,6125.9490600545387,47922.296698548875,0,0,19773.539661469105,67695.836360017973,73919.772868254295,73919.772868254295,0,0,3256.9461959543023,1079.3549690652655,15
2025-03-04,q4_2_gru_mean,6125.9490600545387,6574.3643969727282,49570.370255495844,0,0,0,49570.370255495844,76190.995486863234,76190.995486863234,0,0,0,2290.6242869243615,0
2025-03-05,q4_2_gru_mean,6574.3643969727282,6633.0768353377325,50868.436805441561,0,0,0,50868.436805441561,79071.49283637332,79071.49283637332,0,0,0,9061.4940295879624,0
2025-03-06,q4_2_gru_mean,6633.0768353377325,6567.7950671869485,49348.312469327786,0,0,0,49348.312469327786,76532.429202890533,76532.429202890533,0,0,0,6788.3400154260898,0
2025-03-07,q4_2_gru_mean,6567.7950671869485,6430.0328982681112,13501.973518733525,0,0,0,13501.973518733525,32835.400703224099,32835.400703224099,0,0,0,9106.5035492468432,0
