date,strategy,soc_start_kwh,soc_end_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,plan_kwh,increase_kwh,decrease_kwh,emergency_kwh,spill_kwh,emergency_intervals
2025-02-01,q4_2_seasonal,9902.8112878703687,7208.1860357492051,18361.862477592622,0,0,0,18361.862477592622,42331.246148632912,42331.246148632912,0,0,0,7357.2083779522327,0
2025-02-02,q4_2_seasonal,7208.1860357492051,7266.1178191228955,65416.637184264262,0,0,0,65416.637184264262,92574.158555517468,92574.158555517468,0,0,0,10222.895000144319,0
2025-02-03,q4_2_seasonal,7266.1178191228955,7044.0470353592154,64269.44784254011,0,0,0,64269.44784254011,89767.724753629154,89767.724753629154,0,0,0,5706.1435481966164,0
2025-02-04,q4_2_seasonal,7044.0470353592154,7040.3511181205149,64002.442306195546,0,0,0,64002.442306195546,89962.812874758354,89962.812874758354,0,0,0,4307.3320917420815,0
2025-02-05,q4_2_seasonal,7040.3511181205149,6101.1529311614913,58540.923330039703,0,0,7237.4538646812707,65778.377194720975,83394.778123709082,83394.778123709082,0,0,1199.661602689948,291.21448378951129,9
2025-02-06,q4_2_seasonal,6101.1529311614913,6036.9005991629956,60977.689161702379,0,0,397.59390372326192,61375.283065425647,86565.733591732598,86565.733591732598,0,0,56.458860649377584,1778.1152336817647,3
2025-02-07,q4_2_seasonal,6036.9005991629956,5735.1091447757462,16415.721778388372,0,0,1388.1508824010061,17803.872660789377,39341.32115703095,39341.32115703095,0,0,303.86718568242691,4342.1378704304207,6
2025-02-08,q4_2_seasonal,5735.1091447757462,5851.8463529404426,14464.813769715738,0,0,5784.7641745824803,20249.57794429822,35454.476705179128,35454.476705179128,0,0,1216.7687199241554,1031.7718409864208,8
2025-02-09,q4_2_seasonal,5851.8463529404426,5912.2819434556095,56332.266509956942,0,0,13190.156707102444,69522.423217059375,81784.047868484311,81784.047868484311,0,0,2194.5354236500725,66.625211173447838,18
2025-02-10,q4_2_seasonal,5912.2819434556095,5749.3303657633687,55627.473694549364,0,0,1622.4137645591773,57249.88745910854,82090.926725096069,82090.926725096069,0,0,295.31733362739715,4336.533700574686,9
2025-02-11,q4_2_seasonal,5749.3303657633687,5921.9728630209447,54739.744836341022,0,0,3929.9533335605493,58669.698169901574,80735.669580470538,80735.669580470538,0,0,644.50771262861019,1623.9288945696358,9
2025-02-12,q4_2_seasonal,5921.9728630209447,6058.5378855541048,55706.053216241467,0,0,700.49499490247308,56406.548211143941,82486.923011042454,82486.923011042454,0,0,127.54243514756965,2734.8659492265401,6
2025-02-13,q4_2_seasonal,6058.5378855541048,6194.2909116735382,54745.147338015224,0,0,0,54745.147338015224,81819.549954279442,81819.549954279442,0,0,0,6272.5285688912663,0
2025-02-14,q4_2_seasonal,6194.2909116735382,5875.8819714834408,14559.788580174483,0,0,2933.9020205271404,17493.690600701622,35112.187224038906,35112.187224038906,0,0,612.57769394565048,2370.4195694588616,6
2025-02-15,q4_2_seasonal,5875.8819714834408,5800.9229067954066,15150.844221230454,0,0,954.76099327277302,16105.605214503226,35562.392348180227,35562.392348180227,0,0,230.21532396727378,2817.8264732884591,8
2025-02-16,q4_2_seasonal,5800.9229067954066,6193.3902109201044,53561.746049287642,0,0,5539.8425094805752,59101.588558768221,79679.503010232016,79679.503010232016,0,0,993.41566263001653,602.24731242607186,8
2025-02-17,q4_2_seasonal,6193.3902109201044,6099.1541243825623,52527.458164410287,0,0,366.47678006531157,52893.934944475601,78474.415914453391,78474.415914453391,0,0,58.836164965247463,3468.0320945342792,2
2025-02-18,q4_2_seasonal,6099.1541243825623,6242.7320730602969,51704.087608295536,0,0,39.49449670846532,51743.58210500401,78231.546655001366,78231.546655001366,0,0,7.7500974702639951,1811.9007464881497,1
2025-02-19,q4_2_seasonal,6242.7320730602969,5970.3197031413401,51889.401114165259,0,0,2378.7847727009453,54268.185886866209,78420.731813991006,78420.731813991006,0,0,447.0194594216955,1930.5503813310575,8
