date,strategy,soc_start_kwh,soc_end_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,plan_kwh,increase_kwh,decrease_kwh,emergency_kwh,spill_kwh,emergency_intervals
2025-02-01,q4_3_gru17,9902.8112878703687,6400.918742389169,16662.899136571628,116.62749078636605,-373.05555093635633,0,16406.471076421636,38204.282127597784,36960.629665691726,91.504837618270017,1335.1572995243293,0,2764.2588649485951,0
2025-02-02,q4_3_gru17,6400.918742389169,6599.8449111653999,61483.124889421611,327.4737920259351,-837.53047726297871,0,60973.068204184558,88403.860907908267,86453.117218831932,211.88679976340302,2162.6304888397462,0,3670.6932390759976,0
2025-02-03,q4_3_gru17,6599.8449111653999,6462.7703431848167,64604.921029560785,543.55598918230112,-1442.2072939521313,0,63706.269724790953,90403.920394034008,87066.525427874265,304.56434649089545,3641.9593126506334,0,2849.6044403272222,0
2025-02-04,q4_3_gru17,6462.7703431848167,6715.5148774609888,67281.837669879649,734.63831827848219,-2093.2506119641344,0,65923.225376193994,93759.496597592864,89112.803194420296,382.98317082602557,5029.6765739985967,0,3323.8083588489271,0
2025-02-05,q4_3_gru17,6715.5148774609888,5939.5104361204512,57600.819789444686,2078.8354760410375,-30.612934203333317,6487.0606799940033,66136.103011276398,82198.864127705499,83410.624069592857,1286.2268668873535,74.466924999999947,1163.6212699631885,168.72699014047203,10
2025-02-06,q4_3_gru17,5939.5104361204512,5777.9927328904141,63880.442241477009,2843.4336303726673,-2726.8357430152287,1128.5911475221758,65125.631276356617,89981.199874600279,85247.77157255754,1550.1418264645613,6283.5701285072992,211.72304203322818,793.65553470020666,7
2025-02-07,q4_3_gru17,5777.9927328904141,5561.262204354015,16142.473728282996,420.5564815064713,-403.7892273224158,3973.5043579470412,20132.745340414094,39254.320313225166,38083.980957023392,330.93837071645538,1501.2777269182266,854.67761866164938,3516.6139499569763,8
2025-02-08,q4_3_gru17,5561.262204354015,5621.8593967629104,12878.346827549587,1900.0740672528864,0,10384.848449029691,25163.269343832162,32714.920710190829,34276.347790757776,1561.4270805669435,0,2168.4749197860237,988.88236666666683,13
2025-02-09,q4_3_gru17,5621.8593967629104,5674.4000764305929,55850.332840946736,4036.7408755764345,-4.2131726977083481,4743.604654544095,64626.465198369566,81063.716557817592,83590.242149296071,2539.3140956451489,12.788504166666712,798.67063061340957,418.35065848103795,8
2025-02-10,q4_3_gru17,5674.4000764305929,5534.2946972738227,52436.068484941512,2112.0450887562006,-559.99665739061493,4094.2656844141643,58082.382600721256,78380.626656003849,78033.834400211606,1156.8319419804711,1503.6241977727104,710.95432836391979,475.48240934637533,9
2025-02-11,q4_3_gru17,5534.2946972738227,5765.2734192310845,52972.919727087618,3760.3982325326606,-1348.7146949524631,13613.850844438253,68998.454109106082,78386.865307056025,77257.668830880808,1978.5000329692398,3107.6965091444517,2365.3918486307284,76.679192215599642,18
2025-02-12,q4_3_gru17,5765.2734192310845,5878.0704799390232,54582.813832252796,3419.4179484863157,-1105.8725217546291,2817.5299918258825,59713.88925081036,80882.302992542202,79802.052315343841,1820.9775706865798,2901.2282478849402,497.49397591300016,793.64778428237048,9
2025-02-13,q4_3_gru17,5878.0704799390232,5964.2949941546076,49854.829741224385,1547.5357682870701,-93.660731563657521,2836.7987387120429,54145.503516659846,75901.653613042756,76502.508811041014,932.98023555379791,332.12503755555372,470.64024645147947,1214.771286411232,7
2025-02-14,q4_3_gru17,5964.2949941546076,5619.2151921234608,13339.112211090447,1178.1159591056048,0,5342.6425172500585,19859.87068744611,33370.725625382634,34437.724212788831,1066.9985874062011,0,1157.6729206320197,2252.3646834854817,13
2025-02-15,q4_3_gru17,5619.2151921234608,5591.6144747169619,14140.374345838958,900.54290534393795,-130.26746384159091,7025.1898745274593,21935.839661868766,33679.30049568104,33946.670592255534,655.87287499897457,388.502778424479,1690.0272053798842,2751.7510789130965,14
2025-02-16,q4_3_gru17,5591.6144747169619,5931.0918147514994,55678.516844411046,4286.4019083509284,-1797.6797401609779,2030.4157963634789,60197.654808964478,82061.669759935248,79959.306415903571,2272.9448346627046,4375.3081786943831,342.80780962454389,508.00109642921086,5
