plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
1406.6410999999998,833.3333333333333,0.0,0.0,6000.0,6750.0,573.3077666666666,0.0,0.0,0.4248
1406.3298666666665,833.3333333333333,0.0,0.0,6750.0,7500.0,572.9965333333333,0.0,0.0,0.4245
1407.38385,833.3333333333333,0.0,0.0,7500.0,8250.0,574.0505166666667,0.0,0.0,0.4269
1409.07395,833.3333333333333,0.0,0.0,8250.0,9000.0,575.7406166666666,0.0,0.0,0.4272
1409.8045499999998,833.3333333333333,0.0,0.0,9000.0,9750.0,576.4712166666666,0.0,0.0,0.4271
576.6400166666666,0.0,0.0,0.0,9750.0,9750.0,576.6400166666666,0.0,0.0,0.4285
577.8597,0.0,0.0,0.0,9750.0,9750.0,577.8597,0.0,0.0,0.4311
577.9938666666667,0.0,0.0,0.0,9750.0,9750.0,577.9938666666667,0.0,0.0,0.4302
911.1613833333333,333.3333333333333,0.0,0.0,9750.0,10050.0,577.82805,0.0,0.0,0.4279
580.41545,0.0,0.0,0.0,10050.0,10050.0,580.41545,0.0,0.0,0.4312
582.5140166666666,0.0,0.0,0.0,10050.0,10050.0,582.5140166666666,0.0,0.0,0.4333
583.0740499999999,0.0,0.0,0.0,10050.0,10050.0,583.0740499999999,0.0,0.0,0.4311
584.2049166666666,0.0,0.0,0.0,10050.0,10050.0,584.2049166666666,0.0,0.0,0.4293
585.4397833333333,0.0,0.0,0.0,10050.0,10050.0,585.4397833333333,0.0,0.0,0.4324
586.1447499999999,0.0,0.0,0.0,10050.0,10050.0,586.1447499999999,0.0,0.0,0.4367
586.3207666666666,0.0,0.0,0.0,10050.0,10050.0,586.3207666666666,0.0,0.0,0.4348
586.4253,0.0,0.0,0.0,10050.0,10050.0,586.4253,0.0,0.0,0.4335
586.8496,0.0,0.0,0.0,10050.0,10050.0,586.8496,0.0,0.0,0.4357
587.8210166666667,0.0,0.0,0.0,10050.0,10050.0,587.8210166666667,0.0,0.0,0.4374
589.5475666666666,0.0,0.0,0.0,10050.0,10050.0,589.5475666666666,0.0,0.0,0.4371
590.8134666666666,0.0,0.0,0.0,10050.0,10050.0,590.8134666666666,0.0,0.0,0.4356
590.2131166666666,0.0,0.0,0.0,10050.0,10050.0,590.2131166666666,0.0,0.0,0.4353
591.0662666666666,0.0,0.0,0.0,10050.0,10050.0,591.0662666666666,0.0,0.0,0.436
593.3678333333332,0.0,0.0,0.0,10050.0,10050.0,593.3678333333332,0.0,0.0,0.4378
593.6596833333333,0.0,0.0,0.0,10050.0,10050.0,593.6596833333333,0.0,0.0,0.4401
592.7863833333333,0.0,0.0,0.0,10050.0,10050.0,592.7863833333333,0.0,0.0,0.4389
593.3378666666666,0.0,0.0,0.0,10050.0,10050.0,593.3378666666666,0.0,0.0,0.4364
596.6757666666666,0.0,0.0,0.0,10050.0,10050.0,596.7756666666667,0.0999,0.0,0.4393
597.78025,0.0,0.0,0.0,10050.0,10050.0,597.8193333333334,0.03908333333333333,0.0,0.4422
595.1624999999999,0.0,0.0,0.0,10050.0,10050.0,595.2105833333333,0.048083333333333325,0.0,0.4395
590.6065,0.0,0.0,0.0,10050.0,10050.0,593.7195166666667,3.1130166666666668,0.0,0.4333
