question,month,v1,candidate,saving
q2,2025-02,1214927.981741064,1215226.0726585672,-298.09091750343941
q2,2025-03,1159109.6293534883,1159262.2636441805,-152.63429069232734
q2,2025-04,973909.0458124883,972721.11963994335,1187.9261725451252
q2,2025-05,1011633.7111892755,1013872.1535339009,-2238.4423446253531
q2,2025-06,1498032.3998690282,1501111.3575921219,-3078.9577230939685
q2,2025-07,1586742.0038398004,1588060.1602136244,-1318.1563738238801
q2,2025-08,1336380.3573860794,1335722.8885444445,657.4688416349054
q2,2025-09,1259034.6919374818,1263966.1989510052,-4931.5070135235947
q2,2025-10,1134721.7698954935,1134662.3476758238,59.422219670137565
q2,2025-11,1249770.0472803661,1250506.0495177021,-736.00223733628809
q2,2025-12,1708350.5209416826,1707849.0202971587,501.50064452376682
q3,2025-02,1268057.9364398681,1237053.5092174476,31004.427222420476
q3,2025-03,1161066.937227709,1122992.7239218499,38074.213305859026
q3,2025-04,956076.77355265524,923617.84747424733,32458.926078407982
q3,2025-05,1029261.4374867743,1003198.6247175923,26062.812769181772
q3,2025-06,1321857.4298604163,1316834.8525383712,5022.5773220450392
q3,2025-07,1559026.6795160663,1560972.1546355237,-1945.4751194574128
q3,2025-08,1292564.2501974313,1280276.1117009071,12288.13849652401
q3,2025-09,1312653.0258628922,1225669.1149335585,86983.910929333739
q3,2025-10,1210464.3943578678,1150911.4942140398,59552.900143828185
q3,2025-11,1292673.3942299148,1257923.6377755948,34749.756454320071
q3,2025-12,1684862.6679357018,1685867.6271324551,-1004.959196753236
q4-2,2025-02,1275024.3913518297,1276448.5042089419,-1424.1128571120826
q4-2,2025-03,1153623.383266333,1155687.6953632107,-2064.3120968778821
q4-2,2025-04,944073.67691634269,947609.50020001107,-3535.8232836685456
q4-2,2025-05,989089.8845569758,994457.02919084369,-5367.1446338681435
q4-2,2025-06,1582055.1581426421,1582835.7371117442,-780.57896910215823
q4-2,2025-07,1815919.9717266599,1805650.2277323324,10269.743994327528
q4-2,2025-08,1479406.2170054906,1469242.332640216,10163.884365273989
q4-2,2025-09,1264934.0839671188,1270376.9274805814,-5442.843513462698
q4-2,2025-10,1126906.9331761792,1129793.7388863992,-2886.8057102199364
q4-2,2025-11,1303684.3440339535,1306809.2809468701,-3124.9369129169354
q4-2,2025-12,1945817.0053086826,1948105.745197346,-2288.7398886629926
q4-3,2025-02,1327865.3723603196,1299786.6205367306,28078.751823588867
q4-3,2025-03,1153367.438793276,1118330.8135855952,35036.625207680707
q4-3,2025-04,931212.36403898813,901173.44632011116,30038.917718876743
q4-3,2025-05,1007959.9866861356,983882.37534047151,24077.611345664089
q4-3,2025-06,1400721.9251790603,1395670.4443790063,5051.480800053916
q4-3,2025-07,1773860.6459735858,1773911.1833766182,-50.537403032270959
q4-3,2025-08,1432939.7113537793,1419093.1355088295,13846.575844950177
q4-3,2025-09,1312553.8403778926,1229324.7621461055,83229.078231786814
q4-3,2025-10,1197800.3934321802,1143301.5887899692,54498.804642210838
q4-3,2025-11,1345519.6005478497,1313897.567177356,31622.033370493558
q4-3,2025-12,1906700.1436237877,1907969.4843795532,-1269.3407557658575
