model,issue_hour,n_pairs,mae,rmse
seasonal,0,48096,0.055274221199302531,0.075543084549387102
seasonal,6,36072,0.061171217121320023,0.082818255733388135
seasonal,12,24048,0.057608056752765403,0.078699305791239418
seasonal,18,12024,0.044994909968093799,0.060331630357952797
ridge,0,48096,0.045673593061409862,0.062121973314173282
ridge,6,36072,0.049378964782960874,0.067167781087022288
ridge,12,24048,0.049281101533696407,0.067626028522029286
ridge,18,12024,0.045656223820883246,0.064642602014962483
gru17,0,48096,0.042423140064565962,0.056895211060291551
gru17,6,36072,0.045871511898098412,0.061497409833084819
gru17,12,24048,0.044263411725136488,0.060348710523588193
gru17,18,12024,0.039264451589912708,0.054705771879099765
gru42,0,48096,0.042700449489376298,0.057260789210600557
gru42,6,36072,0.046026181366383354,0.06178186457019795
gru42,12,24048,0.04446529718708056,0.06079278027953397
gru42,18,12024,0.039721185814477721,0.055670185972993259
gru2026,0,48096,0.04427085461092943,0.059997711025363762
gru2026,6,36072,0.048070563635016578,0.065102479435402677
gru2026,12,24048,0.046391835187132649,0.063762903011097979
gru2026,18,12024,0.040413075266182617,0.057191832510054455
gru_mean,0,48096,0.042532701749419213,0.057255142731895102
gru_mean,6,36072,0.046032615787590596,0.061976700693652964
gru_mean,12,24048,0.044478683309063696,0.060969611907874227
gru_mean,18,12024,0.039409986983386706,0.055456903352476876
