date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q3_bias_ablation,9902.8112878703687,5965.0023200651467,36942.325306685627,15533.663544909567,16126.295542401445,25.29140240705712,3182.0727732512305,39992.170686951256,0,3049.8453802656222,21375.839322582422,0,-1037.5211893134754,124.82571658003042,20463.143849848977,1
2025-02-02,q3_bias_ablation,5965.0023200651467,6205.2544235856558,86363.838944053306,22814.211300852308,18263.284260521923,131.5612438962205,3588.1951976191358,90839.348824520712,0,4475.5098804674108,57125.123033167372,0,-1611.566736380043,917.77123742003425,56431.327534207361,1
2025-02-03,q3_bias_ablation,6205.2544235856558,6159.8918602449858,87434.855670087185,22721.549841250762,18445.28167841972,91.307043639601829,3032.9780508957529,92407.577292810529,57.333006932973376,5030.0546296563152,58287.587067151573,110.77596934554451,-1772.7603005803376,636.95793642986234,57262.560672346634,1
2025-02-04,q3_bias_ablation,6159.8918602449858,6501.4363478610139,89028.804806588363,23336.202129357385,18594.933685925062,0,3092.6724131560532,95118.10240016086,829.50390490777056,6918.8014984802703,60411.120041988186,1552.4755007279773,-2549.829421578746,0,59413.766121137422,0
2025-02-05,q3_bias_ablation,6501.4363478610139,6031.1220248377522,84355.02840327294,23454.976172812749,19421.813590699261,704.70310170281471,278.14193952894789,83102.249900068156,1395.3418334326029,142.5633302278178,51755.751691479541,2160.5015795261775,-48.58766663275614,3687.2817318824764,57554.947336255434,9
2025-02-06,q3_bias_ablation,6031.1220248377522,6096.5671163599618,85495.137753404793,23493.292283568844,18970.666167320789,8.1797199875314845,709.63414047761239,90524.022340106705,1484.4221557434728,6513.3067424453811,56988.033782600607,2678.1363502779459,-2352.4684551074497,47.633561440505972,57361.335239211607,2
2025-02-07,q3_bias_ablation,6096.5671163599618,5528.2884800291986,37258.767402610945,20305.102006572401,16958.583398021332,960.27344106581222,3066.8425684590206,39501.919777118354,0,2243.1523745074087,20182.704275703312,0,-694.46247583868205,4962.8641508086312,24451.105950673264,7
2025-02-08,q3_bias_ablation,5528.2884800291986,5891.2830324075994,34867.929794307231,18935.094445913252,15010.731404049171,1633.2106312489225,999.61466702540451,32776.321609276711,2091.6081850305172,0,16278.696115938768,2881.7677832602858,0,8132.3486832973158,27292.812582496372,10
2025-02-09,q3_bias_ablation,5891.2830324075994,5885.1308254965597,85402.121639099409,24283.701664322827,19675.335334321426,75.868186162144568,1314.2075285935048,81685.053996817558,3717.0676422818642,0,50474.211267814462,4668.9522117209017,0,360.31090039198233,55503.474379927342,4
2025-02-10,q3_bias_ablation,5885.1308254965597,5598.0950040142052,78401.382183581081,22488.059193330279,18473.66018593164,474.61234031256913,534.95793316169136,79005.94515425706,745.19194332700044,1349.7549140029694,48863.246044809799,1148.4315498316732,-380.65801325656338,2658.2910606187338,52289.310642003642,10
2025-02-11,q3_bias_ablation,5598.0950040142052,5886.072599106139,78292.267239429377,23604.331180162175,18860.328420348626,1811.9802468820214,139.64759316453058,79341.429472125892,1128.3568115158582,2177.5190442123571,49059.03074525304,1924.2942507511034,-862.58314286040672,9323.7480492259929,59444.489902369722,17
2025-02-12,q3_bias_ablation,5886.072599106139,5932.1985337938995,80234.736459240696,22554.427462953499,18227.572903773347,197.32583160289585,838.47159833012233,81722.098717518325,1184.3865608047117,2671.7488190823201,50774.287493560347,2201.450755718563,-840.07838999715136,1040.8253883056027,53176.485247587363,9
2025-02-13,q3_bias_ablation,5932.1985337938995,6015.7397011664052,77163.697715063419,22733.31489472762,18338.798014094118,308.37558676155555,1748.0774045248104,76670.895906874546,922.70595438125747,429.90414619238129,46890.116810124789,1167.4173563355957,-112.30153025187749,1858.3805628766952,49803.613199085201,8
2025-02-14,q3_bias_ablation,6015.7397011664052,5610.1520165984966,34544.062004580206,18651.651222064498,15472.866405983361,917.21293513218461,2480.6883069645883,33640.578135366435,926.02641860096196,22.542549387193276,17142.118430993902,1217.5377024192596,-5.0242262096513404,4880.7634684074528,23235.395375610962,10
2025-02-15,q3_bias_ablation,5610.1520165984966,5678.0166847407991,34322.081513713783,18171.462427963721,14657.806365322545,1218.3139051166622,2746.6482561892635,34255.718133562426,386.833945708295,320.47056555694132,17716.205192554684,562.85694336177403,-128.75508615240807,5517.8156228999533,23668.122672664002,13
2025-02-16,q3_bias_ablation,5678.0166847407991,6287.5916729043811,80746.758251516963,22557.354594230306,17722.839731979322,60.089159931799145,594.95344919778279,83248.528429027676,2297.8813123044119,4799.6514898151208,51548.518800284211,4299.0574104952284,-1678.9048065158688,275.42131439707947,54444.092718660657,2
2025-02-17,q3_bias_ablation,6287.5916729043811,5897.7167509941173,76665.489690184884,19434.550500030491,16092.873334743939,131.70465387455113,2271.6540121062299,82427.363546059583,1374.9819040167386,7136.8557598914322,50782.810023516395,2584.9928125660631,-2018.6465980700623,873.50404982051737,52222.660287832914,3
2025-02-18,q3_bias_ablation,5897.7167509941173,6615.7884107587406,77247.706337482945,22565.886688359831,17632.103723783301,60.630732483316137,283.16632205640519,73718.024889351582,3529.6814481313663,0,45314.717654552871,4797.3946157091605,0,274.30814420235708,50386.420414464388,4
2025-02-19,q3_bias_ablation,6615.7884107587406,5873.9212597818123,77135.599457624296,23280.822506076853,19525.146665801487,117.76193825307853,618.35817226867937,74308.126634317217,2829.208344852239,1.7355215451568711,46025.175986895563,3046.0911655601581,-0.37494363438995165,527.22127643932345,49598.113485260648,4
2025-02-20,q3_bias_ablation,5873.9212597818123,6329.0999591646469,77281.899820017599,22272.565036417422,17631.11685005356,44.749493398165896,1692.0673937185825,78451.047445543314,690.78069987519734,1859.9283254009028,47974.710229547869,1117.5964246045062,-522.92022544127735,209.60662707700905,48778.993055788109,1
2025-02-21,q3_bias_ablation,6329.0999591646469,5569.8302323452044,33113.549099080665,17983.634032815924,15250.086320718394,437.8820675074636,5257.6214211572697,33163.907234745202,96.070563750079941,146.42869941461527,16974.136376848786,125.69013431366898,-50.92546987183524,2303.385238891894,19352.28628018251,7
2025-02-22,q3_bias_ablation,5569.8302323452044,5998.6626431093146,34785.200660313814,18300.998294416997,14437.85944879007,335.256461789105,3412.5553931426621,34811.32067510765,253.08822132510332,279.20823611893735,17991.466557540931,400.79895755395535,-94.634745695616118,1844.5232207014847,20142.153990100753,4
2025-02-23,q3_bias_ablation,5998.6626431093146,6223.1350874887685,76582.746844733862,23515.071806640808,18845.182963437554,23.466642487940476,404.47096068520682,77763.49737412596,603.29448463513882,1784.0450140272521,47619.219801140818,1082.9646392955842,-612.58439615286102,106.84667791351318,48196.446722197055,2
2025-02-24,q3_bias_ablation,6223.1350874887685,6198.2250938097341,72902.43568235953,21418.859277278672,17371.695008906849,52.87557581176145,705.11337313280899,73989.975447146848,316.56152312183758,1404.1012879091465,46003.544635291924,602.33391459540428,-563.15510788988763,239.68010335229064,46282.403545349734,2
2025-02-25,q3_bias_ablation,6198.2250938097341,5896.0786770421428,71844.388476698616,20011.941492869966,16481.604384315506,62.847672778132349,2555.5758075889648,76600.524285947497,390.84240717439457,5146.9782164232784,46959.562152457445,742.86040032217102,-1371.9414562558018,277.60406397819492,46608.085160502014,4
2025-02-26,q3_bias_ablation,5896.0786770421428,6428.1819408224674,74419.244206145377,23014.199550701022,18162.608698665535,11.225448775833797,764.03076955240181,71034.729175309913,3485.5324100699936,101.0173792345247,43314.687157137232,3502.4211497696206,-31.587782626266375,49.159333029907629,46834.67985731049,2
2025-02-27,q3_bias_ablation,6428.1819408224674,6305.9080180487035,72427.594100714166,22710.676958672964,18505.694867021484,16.702291071779655,1282.7301001344763,71027.323312223714,1555.1908675906084,154.9200791001511,43608.518554791277,2182.6339516407161,-38.453271691231784,73.139332603323112,45825.838567344079,1
2025-02-28,q3_bias_ablation,6305.9080180487035,5772.9186318647298,31710.434052574037,16980.533957493481,14233.922953135299,1034.1905432978758,6705.4200415137338,32491.36293413087,0,780.92888155682863,16779.270689382942,0,-330.77804606589842,4735.9128099066211,21184.405453223662,8
2025-03-01,q3_bias_ablation,5772.9186318647298,5986.002650542765,35464.412343516051,16836.720769438762,13445.968206435165,244.03479983543843,8658.9286470145635,36801.491247954466,211.82200605004965,1548.9009104884622,18880.66224417679,304.82586409952393,-566.86238827047282,1333.8685309527664,19952.494250958611,4
2025-03-02,q3_bias_ablation,5986.002650542765,6129.843362691081,78295.01529392309,23181.224578576934,18647.335267713825,0,1402.8189163933152,79742.233941057551,1380.7124003081944,2827.9310474426593,49022.972643690315,2468.3932831162751,-1070.200290438187,0,50421.165636368401,0
2025-03-03,q3_bias_ablation,6129.843362691081,5937.4450625880791,77714.623443112854,21248.250334219818,17384.241240810756,137.15470044562989,1970.6224168160954,82217.089203362368,1329.9949664759888,5832.4607267255005,50821.510021852868,2134.507166558084,-1725.4000678989423,653.48015690305522,51884.097277415072,6
2025-03-04,q3_bias_ablation,5937.4450625880791,6109.4440217712727,74420.102568064496,21442.792422108767,17213.862798643222,0,991.71501126562646,73950.203943826156,1517.705371840847,1047.8067476024985,45434.260319177542,2860.316492230374,-398.61363980254816,0,47895.963171605363,0
2025-03-05,q3_bias_ablation,6109.4440217712727,6103.2305704733199,72054.555319124484,19756.629711987702,16008.462172878195,0,2175.9157633483201,77311.242266391928,1520.8217831798811,6777.5087304473054,47392.999485307497,2886.2630663387895,-2027.3447421636147,0,48251.917809482671,0
2025-03-06,q3_bias_ablation,6103.2305704733199,6312.2541227493994,70801.242338899217,21433.780691583943,17173.241163134531,0,600.04867711647762,71881.208879955622,1126.1682631135816,2206.1348041699825,43980.323612290871,1985.4376477005519,-734.71892369085276,0,45231.042336300568,0
2025-03-07,q3_bias_ablation,6312.2541227493994,5772.0770912509806,31211.71009482559,15646.799386346655,13160.066831289361,153.44414463407767,7956.1361510690404,32755.419868100864,423.16813346952375,1966.8779067448017,17271.186676802477,580.52675814441693,-831.0964222301443,726.22435298804066,17746.841365704789,4
2025-03-08,q3_bias_ablation,5772.0770912509806,6019.4571340634502,30629.244640142504,16230.741412744826,12924.258505792088,718.27933092203443,8977.9015474451353,30484.667115826669,171.08817264765969,26.510648331823631,15772.573137145522,224.39958929196752,-7.4188045273677599,2801.064267035551,18790.618188945671,6
2025-03-09,q3_bias_ablation,6019.4571340634502,6404.4207132571946,69869.189042438025,22009.177409344222,17480.966480294454,0,2007.4530633882673,73676.958716522829,269.63160101941673,4077.4012751042119,44655.558678478585,405.62582381626123,-1123.7993874925389,0,43937.38511480231,0
2025-03-10,q3_bias_ablation,6404.4207132571946,6021.6009781293587,71129.56809146078,21768.699837127337,17977.184629688203,1266.4955797628677,562.47701378451632,70136.778132862048,1096.3402642189862,103.55030562024547,42384.8888760794,1170.4779408892416,-39.173859639040742,6408.6196913229487,49924.812648652551,9
2025-03-11,q3_bias_ablation,6021.6009781293587,6535.4786679939907,68959.837270183634,22549.687535615212,17802.756982970161,700.2291077568982,974.21702529548418,61839.998959353739,7121.2099393234603,1.3716284935630938,37740.687052842157,7280.2198266720388,-0.80814417352328183,3602.3006291022243,48622.399364442899,5
2025-03-12,q3_bias_ablation,6535.4786679939907,6044.8548785920766,67065.011631798756,21491.788285316819,17849.909921568345,0,987.59858471695247,70582.172208593751,171.31525689989849,3688.475833694888,42914.632679606984,306.36978041523548,-1104.2145649834677,0,42116.787895038753,0
2025-03-13,q3_bias_ablation,6044.8548785920766,6102.3567238395899,73455.064850852737,22116.990790263197,17863.010879390429,177.12741995773092,1832.5943432710428,71260.711027284298,2455.0211057839124,260.66728221545986,43009.653648063701,2658.3985438051427,-133.20666777152866,1230.9839893364117,46765.829513433731,2
2025-03-14,q3_bias_ablation,6102.3567238395899,5807.973789912201,29269.987757060157,16129.492359216802,13329.833451500261,764.61082612497739,11205.51369213526,29000.504451064662,533.19772583478289,263.7144198392902,14942.83028182956,713.77389046294172,-108.42791194144688,3142.9097764268686,18691.086036777924,6
2025-03-15,q3_bias_ablation,5807.973789912201,5753.3944466269568,30125.242780608503,16049.182663562307,13048.95936644219,675.17846964338673,6876.0728031317703,29607.662872934037,551.65122631507688,34.071318640612162,14980.26240393507,748.36516255030392,-15.058195619391212,2982.5709757764776,18696.14034664246,11
2025-03-16,q3_bias_ablation,5753.3944466269568,6593.8636347731708,69332.523949244642,22521.010194311173,17485.595988060464,1.6400000000001,947.70280966059715,68814.776852257492,682.62999352634915,164.88289653918821,41866.109022945551,798.87608765178561,-55.686130091631924,7.4611800000004553,42616.760160505706,1
2025-03-17,q3_bias_ablation,6593.8636347731708,6192.2543217182647,63140.928440336858,21370.651278823509,17671.675917596469,224.05534535435964,1807.8769911308448,63744.951592406062,1063.9109727070704,1667.9341247762761,38005.398552982719,1346.7683354932924,-409.95730687846265,1159.4828235063187,40101.692405103866,4
2025-03-18,q3_bias_ablation,6192.2543217182647,6173.490083474906,67996.567396225757,20050.339583981528,16257.662877444061,0,3077.9323230216287,71992.521089584712,313.21871289851066,4309.172406257474,43692.239722251332,557.88893295994922,-1101.0121903000913,0,43149.116464911189,0
2025-03-19,q3_bias_ablation,6173.490083474906,6437.9547804808617,65425.012846414043,22064.655659847827,17634.352857171387,328.74619195852227,1857.9857856961203,59206.72556541588,6224.4013782742722,6.1140972761079411,36230.42301405123,6011.8899074427673,-3.8114783159901378,1600.5438003895624,43839.045243567569,3
