date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q3_lp_control,9902.8112878703687,6322.1250528079199,36811.298829131687,15562.311527034281,15828.089948453973,0,2698.9013172180489,38204.282127597791,90.375455125170333,1483.3587535912709,20271.762314168624,165.73954715404986,-478.17733303014353,0,19959.324528292527,0
2025-02-02,q3_lp_control,6322.1250528079199,6606.9509767703139,86553.716111286558,22656.575656577414,18095.482950261554,0,3636.3454549706967,88533.601170034701,247.04732615229216,2226.9323849004263,55496.941406820995,335.19315407515114,-696.40018432700322,0,55135.734376569148,0
2025-02-03,q3_lp_control,6606.9509767703139,6365.6900051503708,87215.9344698239,22351.074089385191,18321.504886859955,0,2969.4487672986825,90522.691432250766,304.56434649089385,3611.3213089177543,56970.734620880234,588.46400207238059,-1220.0190166884483,0,56339.179606264166,0
2025-02-04,q3_lp_control,6365.6900051503708,6723.6495872618807,89264.918560068647,23412.213999496264,18641.729715691617,0,3299.5703262640022,93867.363639853356,370.12113225666167,4972.5662120413681,59497.012663822177,715.12954568970883,-1765.0916378266422,0,58447.050571685235,0
2025-02-05,q3_lp_control,6723.6495872618807,5880.2497625370897,83373.270650732695,22848.78429797303,19266.575123610459,1159.9235503805603,202.55804341734756,82189.825561260062,1248.6719436392941,65.226854166666726,51123.794389284143,1991.5026889214041,-21.668678741666689,6669.3637362998625,59762.992135763743,12
2025-02-06,q3_lp_control,5880.2497625370897,5820.6556289625569,85108.75569781274,23207.911778565332,18852.043260855018,211.72304203323023,693.55300546899025,89919.201708614084,1538.2804282140521,6348.726439015395,56433.545065893413,3018.1880204837857,-2289.41354135847,1131.2918743426467,58293.611419361368,7
2025-02-07,q3_lp_control,5820.6556289625569,5569.8309185588787,37664.153720840135,20570.214813565355,16887.616238351249,854.67761866164778,3030.5530976210061,39292.926189020764,330.11213771523614,1958.8846058958688,19936.732348251404,488.7805367080644,-613.1617911990096,4771.8763459987822,24584.227439759241,8
2025-02-08,q3_lp_control,5569.8309185588787,5608.0233773790433,33944.280896323413,18673.734656121709,15091.351858520433,2204.1469846111977,988.88236666666683,32382.853815756469,1561.4270805669432,0,15958.314132665226,2461.7592774768395,0,11934.920109627052,30354.993519769119,13
2025-02-09,q3_lp_control,5608.0233773790433,5668.4717913123977,83840.207751837501,24163.719786454327,19518.20945448798,798.67063061341219,437.95208381790576,81292.460571827192,2560.535684176969,12.788504166666712,50015.053670772948,3847.3363556031172,-2.8205045939583435,4915.1573986414987,58774.726920423615,8
2025-02-10,q3_lp_control,5668.4717913123977,5520.1280006685938,78165.146530260128,22247.392312167322,18153.897184434951,758.31167846303026,503.32549765746296,78555.488256735611,1146.6430314238889,1536.9847578993654,48384.070234910323,2131.8750024575911,-434.53361799748575,4478.6480683952723,54560.059687765708,10
2025-02-11,q3_lp_control,5520.1280006685938,5782.7153278259293,77471.608750748346,22709.547954010843,18158.405248307179,2363.9056081979825,63.774519909332525,78608.117309124849,1973.7491102445481,3110.2576686210568,48405.505400507689,3851.9151231011911,-1212.5694465526826,12814.806128816886,63859.657205873089,18
2025-02-12,q3_lp_control,5782.7153278259293,5867.9903377651071,79891.346142348426,22234.32499348174,17933.055735774953,497.05324809367005,820.39399940198018,80958.147720917041,1818.1447669918784,2884.9463455604996,50078.082375815386,3571.3481072492846,-917.970651716612,2942.5865017872184,55674.046333135273,9
2025-02-13,q3_lp_control,5867.9903377651071,5978.3161324499479,76424.1596604074,22786.394065568376,18357.685977894027,511.58054890577029,1177.553104972164,75912.853771013775,933.26779137318613,421.96190197955866,46215.694820467586,1501.1262463405806,-105.17085541537386,3136.9420873464414,50748.592298739233,8
2025-02-14,q3_lp_control,5978.3161324499479,5585.492130440869,34085.486653071057,18630.868173811683,15444.544822595633,1147.0738122224911,2244.435297410836,33018.48806566486,1066.9985874062008,0,16620.138878932841,1451.5521483030607,0,6091.1316915658554,24162.822718801759,13
2025-02-15,q3_lp_control,5585.492130440869,5599.3714590516802,33753.854908326823,17965.617424422813,14539.658718032753,1679.7407131388693,2727.5458150756381,33486.484811752329,655.87287499897457,388.502778424479,17091.911919823622,1078.7047429918182,-159.99404249797129,8059.0011384655818,26069.623758783051,14
2025-02-16,q3_lp_control,5599.3714590516802,5928.8254419992372,80087.53619468004,22370.758837216767,17823.806073492779,392.60699331271962,555.81132426877332,82277.534655846859,2280.2870539278879,4470.2855150947125,50695.590380360227,4508.6536209532305,-1565.5000426714334,2312.8726742096665,55951.616632851699,6
2025-02-17,q3_lp_control,5928.8254419992372,5785.5907753703905,76553.969811478892,19737.311352935227,16116.133395843501,501.06147767709092,2249.9901653975908,81849.847323916707,1813.3620071298606,7109.2395195676745,50114.271709505789,3563.6812047539929,-2042.1785137449242,3197.9331929300333,54833.707593444895,8
2025-02-18,q3_lp_control,5785.5907753703905,5938.9038638037864,76263.850925952283,21928.70724632177,17624.271089930575,296.85989644858216,164.88688267634791,72781.661691780886,3482.1892341714056,0,44475.638799112327,5399.9537549874985,0,1809.1940526521103,51684.786606751935,9
2025-02-19,q3_lp_control,5938.9038638037864,5726.2277060896313,76644.232656544089,23454.906475041294,19189.882786726186,699.628547460562,199.51013235621213,73833.944899816925,2810.2877567271698,0,45333.904296868284,3565.4966487313768,0,3709.1343964744851,52608.535342074145,16
2025-02-20,q3_lp_control,5726.2277060896313,5930.3013245502352,76484.493306271164,22203.528744144336,17801.192026142366,169.99722297548692,1259.0200779113418,77240.61171383578,1252.4089359949257,2008.5273435595436,46919.687005376611,2324.3925382032817,-562.09693626919784,847.00441592836296,49528.987023239053,7
2025-02-21,q3_lp_control,5930.3013245502352,5527.4252166578999,33033.140302902575,18122.84608122264,15042.093822893439,858.92901126159143,5251.0550225016286,32408.46686158645,624.67344131612299,0,16274.950135407289,969.45449726690458,0,4120.1404465549604,21364.545079229156,11
2025-02-22,q3_lp_control,5527.4252166578999,5780.1232432258739,34005.417512123488,18064.090438799067,14404.485031516069,717.36928682129076,3218.4185083284497,33467.289301371376,674.16751966849438,136.03930891637981,16982.624799998259,1133.5380653186842,-49.563560442164068,3439.3240733067955,21505.923378181578,9
2025-02-23,q3_lp_control,5780.1232432258739,5945.033992948167,75856.235172653091,22875.663868809843,18380.86805898591,430.33200841436496,259.91768791018762,76574.316175293439,1648.1647284946025,2366.2457311349563,46542.822244458323,3257.243615989144,-801.06867602749901,2267.7638436339848,51266.761028053952,13
2025-02-24,q3_lp_control,5945.033992948167,5916.9556024100239,72234.325372330495,21552.755603946589,17483.002590681062,207.07071152289132,168.60945392119919,72857.562552620569,1038.3074016816722,1661.5445819717352,44953.210712029038,2029.6037644721332,-657.44237376664478,985.03367423547616,47310.405776970001,6
2025-02-25,q3_lp_control,5916.9556024100239,5817.3505455205686,71426.434982767911,20296.898896699629,16530.132657527203,337.51109563526063,2175.8566058974197,75583.137641720663,1195.2216496599081,5351.9243086126553,45987.256024464979,2337.6146465060942,-1449.4018300144644,1762.8753377045305,48638.344178661144,12
2025-02-26,q3_lp_control,5817.3505455205686,6197.1548402654016,73750.205774188216,23086.110931371317,18357.925989140418,53.432133172905878,260.60493179688808,69818.20322490402,3932.0025492841842,0,42268.644288574629,4603.4097635453963,0,236.65077047694632,47108.70482259697,3
2025-02-27,q3_lp_control,6197.1548402654016,6099.5173231452445,71854.265063975501,22648.821261738711,18433.418987416502,285.40576009082338,967.68434974411014,69949.727561145643,2031.1665917187327,126.62908888888865,42598.972354384532,3311.5853708882373,-28.123940938055501,1736.2591546352592,47618.692938969965,7
2025-02-28,q3_lp_control,6099.5173231452445,5808.3792231080815,31572.928483274354,16987.179206026674,14021.639446915053,1230.2646310450486,6545.0598052077803,31407.783882542113,346.9472146554221,181.80261392318261,15898.449298334632,513.70739337955069,-86.503620078558896,5583.1200226701321,21908.773094305754,12
2025-03-01,q3_lp_control,5808.3792231080815,5933.3411702777439,34877.561174316485,16810.727033242278,13504.223144473546,321.89213135012528,8234.1834835645495,35366.129097056539,434.46350464074942,923.03142738080498,17825.51290363411,733.62549234243465,-297.02057297870772,1779.9499394258637,20042.0677624237,6
2025-03-02,q3_lp_control,5933.3411702777439,5894.8577687197212,77461.856541978093,23365.807157458923,18960.938858943951,362.26044608018901,1060.9416228766463,78394.111750740296,944.89937068584993,1877.1545794480542,47875.075147555035,1836.3472387871354,-686.27628871715081,2075.6043241519037,51100.750421776924,7
2025-03-03,q3_lp_control,5894.8577687197212,5838.1027217581304,77503.285236434269,21505.503894984082,17470.537697202541,428.27099142037343,1879.443396739769,81038.943786715652,1774.4677228424262,5310.1262731238094,49737.224688882154,2963.9233013653734,-1596.8200779499316,2451.4568126216536,53555.784724919242,8
2025-03-04,q3_lp_control,5838.1027217581304,5844.4058090600665,73803.832946536379,21648.795983453216,17529.851968025352,144.46706299185473,629.89806076704633,72519.221640248303,1465.816830704272,181.20552441619702,44201.444648048258,2882.5688936170886,-68.367786568304993,803.02435398891544,47818.670109085957,8
2025-03-05,q3_lp_control,5844.4058090600665,5893.8556565417512,71489.342952078645,19776.093791873798,15974.131108684258,253.26431780589161,1810.1725700283228,75985.504298830725,1920.7708039061156,6416.9321506582055,46179.444255654191,3797.8620336526856,-1851.8326140954669,1627.0249508861705,49752.498626097571,7
2025-03-06,q3_lp_control,5893.8556565417512,5760.5941863766111,70283.675668103097,21743.920596424221,17732.511006252251,42.750530621095344,374.3624752188889,70567.682646774163,967.59051659235683,1251.5974952634256,42795.11834233642,1879.3119385572659,-373.69449376019111,195.53842878575321,44496.274215919249,2
2025-03-07,q3_lp_control,5760.5941863766111,5687.3842016403923,31237.329761337092,16268.780877376348,13243.601496937445,264.88424195751946,7554.7490895223737,31813.590900174524,444.16112255026025,1020.422261387693,16354.501731704466,680.66831647292486,-427.91388107623192,1390.7298394126703,17997.986006513831,7
2025-03-08,q3_lp_control,5687.3842016403923,5762.0138047941846,29708.804683240829,15988.12912611942,12883.217949318323,1226.5837775482337,8767.3377673212999,29178.930685058582,535.23954794597398,5.3655497637288931,14755.24208529038,856.19191176924392,-2.6368118151163658,5110.5773840091661,20719.374569253676,13
2025-03-09,q3_lp_control,5762.0138047941846,6026.5584869692366,68955.975296589138,21844.949341579813,17456.318752722105,116.23314087931666,1350.0527986107547,72535.674405527054,1098.123707641289,4677.8228165791961,43586.047807302006,2142.5388536302271,-1329.6620133901065,706.03993675764605,45104.964584299771,5
2025-03-10,q3_lp_control,6026.5584869692366,5835.4446871337213,70414.632508244918,21564.286468977276,17639.074459723553,1633.0114188217945,80.360467812986712,69246.677581612894,1221.0351421732666,53.080215541249345,41462.880287347522,2023.9976254460994,-13.285499480834549,8484.3266836311941,51957.919096943988,10
2025-03-11,q3_lp_control,5835.4446871337213,6091.6066382457211,68031.278116714064,21904.898031032546,17512.421649135558,875.7122699018521,575.59520471894348,60815.968355446195,7215.3097612678721,0,36788.087056758624,8442.926786437989,0,4581.9602658788881,49812.974109075498,9
2025-03-12,q3_lp_control,6091.6066382457211,5766.175376234165,66838.833148992082,21206.97052224091,17470.534258825541,194.28873775084682,861.15093999423152,69879.160403906717,1271.7106473758258,4312.0379022904754,42107.228254648122,2498.7496850365578,-1313.2368505545426,1232.9690001373012,44525.710089267435,4
2025-03-13,q3_lp_control,5766.175376234165,5934.1534117482224,72072.095779255789,22236.869060311707,17860.683706889831,370.45076477619421,520.7431739434478,70372.115660953859,1748.1921849686064,48.212066666666487,42134.685723794297,2299.3151810583845,-10.704423544999958,2526.3773340038356,46949.673815311515,5
2025-03-14,q3_lp_control,5934.1534117482224,5751.0127701277825,28674.077461955476,16073.306042030972,13184.204471503483,1011.7083197096092,10767.258227804265,28028.767539424254,645.30992253122258,0,14124.655561302665,910.07749512975215,0,4406.382463513165,19441.115519945582,8
2025-03-15,q3_lp_control,5751.0127701277825,5638.802057006953,29365.609017624978,15985.373512147964,13049.142186648598,1111.5911078743839,6616.8436499999971,28652.005626220147,713.60339140483507,0,14203.816815176939,1008.5132799843166,0,5239.4575180681541,20451.787613229404,12
2025-03-16,q3_lp_control,5638.802057006953,6122.8612398092055,68148.805374724878,22195.067326764045,17542.351270156851,1.6400000000001,146.68238478435603,67803.810923501602,955.60775109566544,610.61329987238923,40942.956592259863,1834.3136412224978,-227.27962354492405,7.4611800000004553,42557.45178993744,1
2025-03-17,q3_lp_control,6122.8612398092055,6025.1545070688735,62774.08478859887,21290.094704405419,17332.912770034691,432.81892539588705,1391.5903462907024,63157.023375630633,1537.2465642374793,1920.1851512692488,37290.062236688558,2598.2183224559744,-428.042557338525,2322.9687201631045,41783.206721969109,9
2025-03-18,q3_lp_control,6025.1545070688735,5819.5362699365551,67397.583538749663,19975.575775249894,16365.272791371504,94.328362533303334,2755.6505507379206,71089.443448727921,910.57295075351169,4602.4328607317657,42835.532553268691,1760.4401197538468,-1211.6133216253043,640.34311202528056,44024.702463422516,2
2025-03-19,q3_lp_control,5819.5362699365551,6118.293975487336,64147.736863125108,22283.26183593829,17780.560152114318,422.15762389255951,601.72235319369122,58573.635091347132,5574.1017717779723,0,35513.687958353919,5566.3305113695405,0,2068.9073394022344,43148.925809125692,4
