date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q3_no_refund,9902.8112878703687,6506.4431848739605,39992.170686951256,15524.547527732955,15631.614790160462,0,5721.0620160454218,39992.170686951256,0,0,21375.839322582422,0,0,0,21375.839322582422,0
2025-02-02,q3_no_refund,6506.4431848739605,6715.9157992619866,90366.874679892702,22360.423401272543,17923.417602081539,0,7573.5909307017009,90237.747863622018,129.12681627067434,0,56867.858548920398,168.3102330959839,0,0,57036.168782016379,0
2025-02-03,q3_no_refund,6715.9157992619866,6419.521373447129,91892.362589447934,22047.951065376903,18125.595346188667,0,7753.0903702597079,91840.175764281274,52.186825166670701,0,58045.119443159994,100.82931581849083,0,0,58145.948758978484,0
2025-02-04,q3_no_refund,6419.521373447129,6650.8083309366712,94829.625163269608,22932.423119337109,18367.104464922471,0,9069.4425588549675,94829.625163269608,0,0,60287.773593390644,0,0,0,60287.773593390644,0
2025-02-05,q3_no_refund,6650.8083309366712,5880.2497625370897,83671.503302560566,23141.172458745088,19437.852403143144,1158.993667871719,378.74993149701118,82936.281029984093,735.2222725764625,0,51684.849790179629,1165.8932111686872,0,6664.9058795524779,59515.648880900786,12
2025-02-06,q3_no_refund,5880.2497625370897,5820.6556289625569,90898.392588784249,23548.402594088282,19127.840821428603,211.30643289464678,6418.0800323525491,90691.658187107445,206.7344016767986,0,57059.765161532225,392.16489943547612,0,1128.3856089918886,58580.315669959586,7
2025-02-07,q3_no_refund,5820.6556289625569,5569.8309185588787,39808.488096448804,20576.710985945891,16892.878137979478,811.20153098400237,5130.177112799729,39808.488096448804,0,0,20313.884859544814,0,0,4096.4805699491808,24410.365429493992,7
2025-02-08,q3_no_refund,5569.8309185588787,5616.261372648255,34016.93051615874,18704.303302079803,15108.698266004194,2144.7196032502015,988.88236666666683,32730.163344243731,1286.7671719150051,0,16258.991152596191,1895.0046918404296,0,11550.658340855782,29704.654185292406,13
2025-02-09,q3_no_refund,5616.261372648255,5687.3016393072694,83948.784571158554,24320.770628220045,19635.887968865121,731.08083755970642,439.56678269668839,81990.633618772379,1958.1509523861851,0,50604.968788048936,2721.2628223337006,0,4484.9154530090163,57811.147063391647,8
2025-02-10,q3_no_refund,5687.3016393072694,5538.7049605956454,79613.249709951313,22692.631182160385,18514.768268390369,690.40587000186611,1799.1550828498312,79225.755361134041,387.49434881726489,0,48957.302832332469,651.13862458419874,0,4048.3328899906223,53656.774346907288,10
2025-02-11,q3_no_refund,5538.7049605956454,5802.1781582649655,79560.86666949495,23921.031223173246,19138.909412867946,2232.8101636854863,1790.9578895418103,79407.418409257632,153.44826023733231,0,49087.274941477968,289.1169249832015,0,12031.80568588994,61408.197552351114,18
2025-02-12,q3_no_refund,5802.1781582649655,5892.7774407186371,81965.977787586802,23183.038027135313,18696.721447771299,359.27920829131074,2572.2042831807789,81815.314762897397,150.6630246894149,0,50814.174639378056,284.129436042191,0,2071.0347558197104,53169.338831239955,9
2025-02-13,q3_no_refund,5892.7774407186371,6009.0672647530728,77369.093052997981,22754.698818235498,18326.645201139756,359.61218813428798,1971.172607369881,76714.697121402627,654.39593159537799,0,46908.859349821345,880.51959676882302,0,2180.0220684564219,49969.401015046591,8
2025-02-14,q3_no_refund,6009.0672647530728,5624.4729651877051,34588.443109985419,18660.10276532346,15460.818109520833,885.50280952511343,2472.8594470412381,33647.991953603472,940.4511563819442,0,17145.283389999291,1246.9760078044342,0,4734.8001390153759,23127.059536819103,12
2025-02-15,q3_no_refund,5624.4729651877051,5642.0985620240108,34390.376628799379,18034.90003511119,14592.405991287389,1389.3574238660722,3057.1489088416547,34239.805968463304,150.57066033607845,0,17709.44570482058,222.94244822661454,0,6454.0296373463261,24386.41779039352,13
2025-02-16,q3_no_refund,5642.0985620240108,5976.9829827863523,83545.807688250192,23187.095066976264,18480.151025564672,191.56194957812929,3653.046496416729,83288.437454268555,257.37023398163956,0,51565.595872184786,493.03376259182591,0,1083.0000866144469,53141.629721391058,5
2025-02-17,q3_no_refund,5976.9829827863523,5845.0532325847171,83163.185049419961,20447.925153281893,16681.556149339805,285.06258296996509,8498.015461781175,82772.484312857414,390.70073656255909,0,50930.487199629177,750.49974073496583,0,1880.2562661764478,53561.243206540596,6
2025-02-18,q3_no_refund,5845.0532325847171,6039.5810544033384,76547.625413956441,22003.25804460729,17647.563976495148,98.130250534506445,198.6738130454878,73776.539909806466,2771.0855041499822,0,45339.756231805521,3997.5605220074358,0,535.90478212746075,49873.221535940414,5
2025-02-19,q3_no_refund,6039.5810544033384,5819.5001284953496,77324.838331365245,23788.052042774441,19466.394987964486,209.86178716783999,333.71568038980433,74948.357030267667,2376.4813010975822,0,46298.884960114396,2548.9144407280523,0,961.21838563880806,49809.01778648125,11
2025-02-20,q3_no_refund,5819.5001284953496,6185.8579080876489,79050.982903079886,22232.059082250093,17678.245854989509,44.749493398165896,3548.785435884156,78511.515369194938,539.46753388496495,0,48000.584454078402,895.11431507520751,0,209.60662707700905,49105.305396230615,1
2025-02-21,q3_no_refund,6185.8579080876489,5672.1466523785657,33543.266133671896,18164.40838853467,15175.51092485126,316.33321293885501,5310.4398495940059,33323.065069275195,220.20106439669519,0,17041.74662495713,302.89182705905358,0,1735.4556751120765,19080.094127128257,5
2025-02-22,q3_no_refund,5672.1466523785657,6085.9690066665225,34965.253332935608,18211.293606159441,14378.707702129992,335.256461789105,3623.161007361934,34697.635763959472,267.61756897614077,0,17943.173207285185,457.43878005351354,0,1844.5232207014847,20245.135208040181,4
2025-02-23,q3_no_refund,6085.9690066665225,6107.6592457267416,77812.150473473797,23400.43281842173,18934.829367767412,23.466642487940476,1838.1599819740863,77666.490303506842,145.66016996694901,0,47577.710475622895,280.58623055064231,0,106.84667791351318,47965.143384087052,2
2025-02-24,q3_no_refund,6107.6592457267416,6168.0981928893689,74285.779428328533,21491.722493598703,17353.900167368582,52.87557581176145,1997.7990612435208,74118.281937993539,167.49749033500387,0,46058.446982725225,323.62312461077778,0,239.68010335229064,46621.750210688297,2
2025-02-25,q3_no_refund,6168.0981928893689,5953.4457425676237,76732.060853053001,20185.651956786282,16543.56529028646,61.322711515832907,7329.973664735684,76633.998620303464,98.062232749533791,0,46973.885820128366,185.68726790617598,0,271.68416435794848,47431.25725239249,3
2025-02-26,q3_no_refund,5953.4457425676237,6579.818848833751,74547.965570612694,23048.705856566652,18105.71594817947,11.225448775833797,801.35307766802566,70970.987991392714,3576.9775792199862,0,43287.412304539059,3629.1181093667374,0,49.159333029907629,46965.689746935706,2
