date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q3_v2,9902.8112878703687,6454.1554940443566,37730.861247087822,15551.608060562085,15700.592743498701,0,3501.6699966911028,39992.170686951256,0,2261.3094398634275,21375.839322582422,0,-701.40063984338599,0,20674.438682739034,0
2025-02-02,q3_v2,6454.1554940443566,6715.9157992619866,87403.307272073958,22421.376138291693,17925.730397320407,0,4551.3835811026693,90295.845297877138,129.12681627067434,3021.6648420738647,56892.677772834184,168.3102330959839,-986.04847288897099,0,56074.939533041193,0
2025-02-03,q3_v2,6715.9157992619866,6419.521373447129,87607.03971681917,22243.295184913783,18283.82408301354,0,3430.6521149189316,91840.175764281274,101.72767893221027,4334.8637263943092,58045.119443159994,196.54967642157811,-1495.8769184144357,0,56745.792201167133,0
2025-02-04,q3_v2,6419.521373447129,6729.1038464671738,89463.43504368476,23414.657103009919,18687.248027719994,0,3541.1620183948367,94829.625163269608,103.1999713715814,5469.3900909564254,60287.773593390644,199.39782468560099,-1958.1922088700194,0,58528.979209206227,0
2025-02-05,q3_v2,6729.1038464671738,5880.2497625370897,83447.118135733821,23054.177441488973,19437.852403143144,1158.993667871719,241.35978192638845,82849.286012727986,735.2222725764625,137.39014957062273,51647.685518807819,1165.8932111686872,-46.987587823921018,6664.9058795524779,59431.497021705065,12
2025-02-06,q3_v2,5880.2497625370897,5820.6556289625569,85139.16691557625,23365.778139749164,18979.91501341392,211.30643289464803,693.55300546899025,90691.658187107445,1104.2375927657974,6656.7288642969925,57059.765161532225,2146.0079749339211,-2406.4966628715911,1128.3856089918972,57927.662082586452,7
2025-02-07,q3_v2,5820.6556289625569,5569.8309185588787,37718.437192662546,20639.093431160705,16943.407918603476,854.26100952306706,3071.3330229617154,39808.488096448804,27.720771616344337,2117.7716754026069,20313.884859544814,41.044760493740242,-647.67276014835852,4392.3443708367286,24099.601230726919,7
2025-02-08,q3_v2,5569.8309185588787,5616.261372648255,34016.93051615874,18704.303302079803,15108.698266004194,2144.7196032502015,988.88236666666683,32730.163344243731,1286.7671719150051,0,16258.991152596191,1895.0046918404296,0,11550.658340855782,29704.654185292406,13
2025-02-09,q3_v2,5616.261372648255,5687.3016393072694,83946.35475536689,24307.982124053378,19625.529280490122,731.08083755970642,439.56678269668839,81990.633618772379,1968.5096407611845,12.788504166666712,50604.968788048936,2741.277362077456,-2.8205045939583435,4484.9154530090163,57828.341098541445,8
2025-02-10,q3_v2,5687.3016393072694,5538.7049605956454,78266.03550540049,22378.583246172177,18260.389440239924,690.40587000186451,511.60998613676941,79225.755361134041,651.68306936527006,1611.4029250988267,48957.302832332469,1156.4615294981008,-461.40951698703998,4048.3328899906114,53700.687734834137,10
2025-02-11,q3_v2,5538.7049605956454,5802.1781582649655,77648.578157820157,22886.559001133282,18300.986913015571,2232.8101636854863,75.219100054593014,79407.418409257632,1413.6965651186006,3172.5368165560772,49087.274941477968,2733.5341419869519,-1235.2455176450087,12031.80568588994,62617.369251709853,18
2025-02-12,q3_v2,5802.1781582649655,5892.7774407186371,80071.334350655292,22418.242697050307,18077.237230402447,360.82645862502306,824.4192092991193,81815.314762897397,1197.477207020579,2941.4576192626901,50814.174639378056,2332.5657054914732,-932.00180335606797,2081.8283741476876,54296.566915661148,9
2025-02-13,q3_v2,5892.7774407186371,6009.0672647530728,76868.109661978,22754.698818235498,18326.645201139756,359.61218813428798,1470.1892163498733,76714.697121402627,654.39593159537799,500.98339102000682,46908.859349821345,880.51959676882302,-127.56202572085311,2180.0220684564219,49841.838989325741,8
2025-02-14,q3_v2,6009.0672647530728,5624.4729651877051,34588.443109985419,18660.10276532346,15460.818109520833,885.50280952511343,2472.8594470412381,33647.991953603472,940.4511563819442,0,17145.283389999291,1246.9760078044342,0,4734.8001390153759,23127.059536819103,12
2025-02-15,q3_v2,5624.4729651877051,5642.0985620240108,34080.054258580974,18105.502786553276,14649.594219955476,1389.3574238660722,2733.4120158492487,34239.805968463304,227.29785662318181,387.04956650551247,17709.44570482058,347.17274051660473,-158.76278646803939,6504.4072120308838,24402.262870900027,13
2025-02-16,q3_v2,5642.0985620240108,5976.9829827863523,80319.525698990052,22451.839016622718,17884.593624778296,191.56194957812724,566.46315672376056,83288.437454268555,1654.697100900351,4623.6088561788529,51565.595872184786,3260.551759969333,-1612.9199746159265,1083.0000866144326,54296.227744152624,5
2025-02-17,q3_v2,5976.9829827863523,5845.0532325847171,76783.075733102043,19713.082750960129,16086.333803459182,285.06426113878143,2257.527880073204,82772.484312857414,1143.8060813834095,7133.2146611387734,50930.487199629177,2230.5753854411705,-2018.7522953671296,1880.2679730821105,53022.578262785333,6
2025-02-18,q3_v2,5845.0532325847171,6039.5810544033384,76547.625413956441,22003.25804460729,17647.563976495148,98.130250534506445,198.6738130454878,73776.539909806466,2771.0855041499822,0,45339.756231805521,3997.5605220074358,0,535.90478212746075,49873.221535940414,5
2025-02-19,q3_v2,6039.5810544033384,5819.5001284953496,77324.838331365245,23788.052042774441,19466.394987964486,209.86178716783999,333.71568038980433,74948.357030267667,2376.4813010975822,0,46298.884960114396,2548.9144407280523,0,961.21838563880806,49809.01778648125,11
