date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q4_2_seasonal,9902.8112878703687,2544.8929316879744,37239.18072876348,11958.405411499794,16308.434903878991,0,7211.0342878093443,37239.18072876348,0,0,16573.503339716335,0,0,0,16573.503339716335,0
2025-02-02,q4_2_seasonal,2544.8929316879744,2774.3154347301429,92722.527611127094,22321.372555919166,17873.831517556573,0,9918.7086227645086,92722.527611127094,0,0,65629.929943433905,0,0,0,65629.929943433905,0
2025-02-03,q4_2_seasonal,2774.3154347301429,2441.5457426767998,89425.282958509983,21163.992848905444,17442.326930461419,0,5486.7005400659682,89425.282958509983,0,0,64127.52818074781,0,0,0,64127.52818074781,0
2025-02-04,q4_2_seasonal,2441.5457426767998,2476.0452802105106,89743.369866627705,23605.893199954895,19089.723908183129,0,4032.3366248559378,89743.369866627705,0,0,63899.308891076544,0,0,0,63899.308891076544,0
2025-02-05,q4_2_seasonal,2476.0452802105106,1317.914620684425,83132.895721386842,22882.040826748977,19576.770663240153,1199.661602689948,278.86017723464516,83132.895721386842,0,0,58684.181916956106,0,0,7237.4538646812707,65921.635781637378,9
2025-02-06,q4_2_seasonal,1317.914620684425,1289.2605136849434,86519.910110766054,24307.80611507998,19715.111649514325,87.712584733437097,1743.8710132671695,86519.910110766054,0,0,61144.127649851827,0,0,456.17900951883149,61600.306659370661,4
2025-02-07,q4_2_seasonal,1289.2605136849434,1200,39283.143474228782,19912.713081078258,16209.632057989851,545.95468317290192,4320.3374676466137,39283.143474228782,0,0,16464.002075470446,0,0,1797.547247170206,18261.549322640647,17
2025-02-08,q4_2_seasonal,1200,1200,35166.082959604493,20571.734676966811,16663.10508834312,1377.7329143343122,1058.0235686484521,35166.082959604493,0,0,14405.352904289386,0,0,6091.810916449831,20497.163820739221,10
2025-02-09,q4_2_seasonal,1200,1200,81757.033541212615,23164.8405344819,18763.520832930342,2257.7006646530117,57.998537647406579,81757.033541212615,0,0,56630.167235432884,0,0,13252.830284212156,69882.997519645054,19
2025-02-10,q4_2_seasonal,1200,1200,82117.832609953592,21010.166275964581,17018.234683531307,547.54570606622065,4346.8091402532136,82117.832609953592,0,0,55860.166009915527,0,0,2138.7877449706516,57998.953754886184,15
2025-02-11,q4_2_seasonal,1200,1258.6525646872838,80415.066909657573,22719.318652118502,18349.860799997434,644.50771262861019,1469.5196368317872,80415.066909657573,0,0,54757.663309553696,0,0,3929.9533335605493,58687.616643114248,9
2025-02-12,q4_2_seasonal,1258.6525646872838,1329.5956723216698,82335.056675857631,23562.345552543895,19021.651100689607,127.54243514756965,2655.1685258175821,82335.056675857631,0,0,55710.182195848116,0,0,700.49499490247308,56410.67719075059,6
2025-02-13,q4_2_seasonal,1329.5956723216698,1532.4339087299986,81740.596857871045,21453.310107642948,17194.62677442329,0,6152.4345079847262,81740.596857871045,0,0,54978.703017037114,0,0,0,54978.703017037114,0
