date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q3_m2,9902.8112878703687,6496.8420720619324,37769.356345122505,15552.014259608743,15662.503844510675,0,3501.6699966911028,39992.170686951256,0,2222.8143418287441,21375.839322582422,0,-682.4013842083682,0,20693.437938374052,0
2025-02-02,q3_m2,6496.8420720619324,6715.5319482234836,87357.724256410933,22373.946607161055,17926.075863255057,0,4553.5755625049396,90248.415766746504,128.78135033602246,3019.4728606715944,56872.415877135172,167.66015257345273,-984.67446640674859,0,56055.401563301879,0
2025-02-03,q3_m2,6715.5319482234836,6306.5706752653205,87505.810589609435,22243.721686067674,18385.479711377167,0,3430.6521149189316,91840.602265435169,0.072050568582540109,4334.8637263943092,58045.301644452935,0.13575407879479295,-1495.8769184144357,0,56549.560480117296,0
2025-02-04,q3_m2,6306.5706752653205,6614.4372116098612,89485.735848070748,23540.157878767484,18790.447999091575,0,3541.1620183948367,94955.125939027173,0,5469.3900909564254,60341.387524794278,0,-1958.1922088700194,0,58383.195315924262,0
2025-02-05,q3_m2,6614.4372116098612,5880.2497625370897,83021.599971088246,23181.584813552654,19437.852403143144,1711.919204580983,241.35978192638845,82976.693384791666,182.29673586720116,137.39014957062273,51702.113948153419,119.34786384379781,-46.987587823921018,10434.861254567764,62209.335478741064,13
2025-02-06,q3_m2,5880.2497625370897,5820.6556289625569,84035.017192084837,23365.778139749164,18979.91501341392,1315.4561563860534,693.55300546899025,90691.658187107445,0.08786927439439296,6656.7288642969925,57059.765161532225,0.1655588933501955,-2406.4966628715911,8733.8952045396272,63387.329262093612,8
2025-02-07,q3_m2,5820.6556289625569,5569.8309185588787,37690.7164210462,20639.093431160705,16943.407918603476,881.9817811394114,3071.3330229617154,39808.488096448804,0,2117.7716754026069,20313.884859544814,0,-647.67276014835852,4529.1602391491961,24195.372338545647,7
2025-02-08,q3_m2,5569.8309185588787,5616.261372648255,33252.369657388255,18704.303302079803,15108.698266004194,2909.2804620206821,988.88236666666683,32730.163344243731,522.20631314452464,0,16258.991152596191,648.15239067659036,0,15706.832678068578,32613.976221341363,13
2025-02-09,q3_m2,5616.261372648255,5687.3016393072694,83254.50983821477,24307.982124053378,19625.529280490118,1422.9257547118348,439.56678269668839,81990.633618772379,1276.6647236090566,12.788504166666712,50604.968788048936,1424.6775661714823,-2.8205045939583435,9209.3587305722831,61236.184580198744,9
2025-02-10,q3_m2,5687.3016393072694,5538.7049605956454,77739.611769112438,22378.583246172177,18260.38944023992,1216.829606289911,511.60998613676941,79225.755361134041,125.25933307722516,1611.4029250988267,48957.302832332469,157.04851967760294,-461.40951698703998,7687.7393807629433,56340.681215785968,11
2025-02-11,q3_m2,5538.7049605956454,5802.1781582649655,76235.034489951155,22886.559001133282,18300.986913015571,3646.3538315544856,75.219100054593014,79407.418409257632,0.15289724960007334,3172.5368165560772,49087.274941477968,0.28546680986581691,-1235.2455176450087,21572.467229402399,69424.782120045216,20
2025-02-12,q3_m2,5802.1781582649655,5892.7774407186371,78876.324974527437,22403.498873521283,18065.294733343933,1553.0345082823642,824.4192092991193,81815.314762897397,2.4678308927221906,2941.4576192626901,50814.174639378056,4.6295143365032416,-932.00180335606797,10251.991339018674,60138.793689377169,10
2025-02-13,q3_m2,5892.7774407186371,6009.0672647530728,76736.670726855577,22754.698818235498,18326.64520113976,491.05112325670785,1470.1892163498733,76714.697121402627,522.9569964729568,500.98339102000682,46908.859349821345,632.86892715791316,-127.56202572085311,3096.9400798704228,50511.106331128831,8
