date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q4_2_oracle,9902.8112878703687,7060.7141035100094,42580.063677535021,16957.764484306568,16293.676698212648,0,7537.7999581077656,42580.063677535021,0,0,17998.970342377099,0,0,0,17998.970342377099,0
2025-02-02,q4_2_oracle,7060.7141035100094,7372.5697676685622,92699.703203150493,21302.385251450898,16974.261955932532,0,10015.301957632133,92699.703203150493,0,0,65039.690889475249,0,0,0,65039.690889475249,0
2025-02-03,q4_2_oracle,7372.5697676685622,7005.2466642973905,89649.444810800633,21633.791181287299,17853.961649876768,0,5652.6987793901062,89649.444810800633,0,0,63724.169306340133,0,0,0,63724.169306340133,0
2025-02-04,q4_2_oracle,7005.2466642973905,7077.9672007232039,90160.555228769008,24583.164979107278,19846.915150293662,0,4229.4414499554023,90160.555228769008,0,0,63646.0571242074,0,0,0,63646.0571242074,0
2025-02-05,q4_2_oracle,7077.9672007232039,6027.9753997339039,83404.986482334381,23506.868593578947,19985.556181689324,1193.2816059167526,328.52869302819056,83404.986482334381,0,0,58162.974987793139,0,0,7247.8336452315816,65410.808633024732,10
2025-02-06,q4_2_oracle,6027.9753997339039,5985.7991735469741,86597.591665842367,24220.591219371549,19656.637491259193,80.882992101815859,1843.4637131651689,86597.591665842367,0,0,60363.792865004521,0,0,513.12624629298386,60876.919111297502,5
2025-02-07,q4_2_oracle,5985.7991735469741,5743.5485813838786,39816.489983530599,21982.146298550568,18023.564034772746,438.14701727820102,4490.3750703643163,39816.489983530599,0,0,16121.64523345102,0,0,1843.8712049756939,17965.516438426712,2
2025-02-08,q4_2_oracle,5743.5485813838786,5829.1800793279472,35563.904604684503,21524.322421506746,17357.632813270808,1273.9505412723561,1094.0028210542591,35563.904604684503,0,0,14146.7117766376,0,0,6080.7658727914404,20227.477649429042,8
2025-02-09,q4_2_oracle,5829.1800793279472,5904.2248610409006,81720.120275030669,22237.67896855314,17944.979660986392,2293.2965728691661,165.30157366641276,81720.120275030669,0,0,55984.890421888442,0,0,14159.427238768279,70144.317660656729,13
2025-02-10,q4_2_oracle,5904.2248610409006,5772.0236595273354,82315.893425140603,22015.108678080891,17951.21911060773,334.00481334144592,4259.3710876755631,82315.893425140603,0,0,55260.919628454816,0,0,1721.4062024033165,56982.325830858135,10
