date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q4_3_gru_mean,9902.8112878703687,6535.7780435262566,37353.843941192354,15624.183605842039,15685.918640641754,0,3037.4030426587287,39992.170686951249,0,2638.3267457589018,17594.928707703446,0,-662.06118288855532,0,16932.867524814894,0
2025-02-02,q4_3_gru_mean,6535.7780435262566,6709.0169453920626,86501.605944230279,21395.079141392362,17174.099092848584,0,3924.3479456865016,89989.757172529498,139.20377504044848,3627.3550033396746,63033.681890686523,224.51175889266474,-1419.2140767538981,0,61838.979572825294,0
2025-02-03,q4_3_gru_mean,6709.0169453920626,6528.253750161638,86519.349428984948,22468.568710456704,18362.227531177316,0,2196.0917497055575,91721.174490803416,101.71398932417958,5303.5390511426458,65848.37561226965,181.52895674686329,-2275.1913163317913,0,63754.71325268472,0
2025-02-04,q4_3_gru_mean,6528.253750161638,6720.583174269821,89179.617896527212,22774.609263901337,18274.337022062722,0,3484.4817046885946,94708.811411364586,325.45795219124534,5854.6514670286278,68197.778964489145,591.18276512824673,-2419.834214775693,0,66369.127514841704,0
2025-02-05,q4_3_gru_mean,6720.583174269821,5939.5104361204512,84199.027410663693,23069.148966461798,19388.976127168502,646.41651209799534,416.84410013505203,82858.7534262806,2176.1480042385283,835.87401985544329,58210.011166836848,3237.7236080547782,-378.34922722978342,3631.4238034754994,64700.809351137337,7
2025-02-06,q4_3_gru_mean,5939.5104361204512,5777.9927328904141,85005.016486801178,24248.237016654264,19786.437916396997,257.48784747968597,529.6480173569347,90758.323408389901,1114.5539979819878,6867.8609195707213,64601.6769034467,2016.0114556990191,-2999.5235781737379,1426.726845315311,65044.891626287288,8
2025-02-07,q4_3_gru_mean,5777.9927328904141,5561.262204354015,37837.0918877394,20462.015017205464,16769.289639619179,854.26100952306797,3192.9478530095153,39855.89131430674,134.00965515827048,2152.8090817256134,16405.537187688689,133.01730348179692,-498.89643992901733,3479.8240741626546,19519.482125404124,7
2025-02-08,q4_3_gru_mean,5561.262204354015,5629.9150761228257,35363.740207499432,20160.431385539261,16268.161837694868,1094.5744236782941,988.88236666666683,33062.230238678094,2301.5099688213381,0,13121.276788951767,2649.5273969538612,0,5535.116050069656,21305.920235975282,8
2025-02-09,q4_3_gru_mean,5629.9150761228257,5693.7244463193119,83507.192341168964,22965.21477731728,18544.395536450156,731.35495634529548,262.31208998048703,81756.457365644659,1985.8450713576567,235.11009583333384,56505.85980089962,3015.2525779031789,-87.307538194375198,4332.2047340283789,63766.009574636802,8
2025-02-10,q4_3_gru_mean,5693.7244463193119,5554.4752049114104,77710.394841880494,21906.877578406958,17869.895155776743,670.28371531478774,17.058551231748424,79023.334634323954,666.68545600517439,1979.6252484486217,53069.956055842173,1221.8608843952518,-712.21224312708114,3821.4924558751081,57401.097152985458,10
2025-02-11,q4_3_gru_mean,5554.4752049114104,5784.4565710254883,77796.313773768983,21850.498276065802,17491.920374110636,1866.3695681875145,83.50830666799493,79180.438359591528,1807.8825894874635,3192.007175310021,53712.912580373813,3262.8366334693687,-1382.9222856471138,10668.481582081926,66261.308510278002,17
