mode,month,baseline,online,saving
3,2,1226363.1458960657,1226363.1458960657,0.0
3,3,1100799.5158352363,1107572.0828676168,-6772.567032380501
3,4,919246.2244367378,919250.8752529768,-4.650816238819971
3,5,989094.8422755464,989094.8422755464,0.0
3,6,1314108.667657075,1288881.8471050537,25226.820552020712
3,7,1524914.4730350531,1494072.2607680843,30842.21226696848
3,8,1271093.1918087453,1269962.513619691,1130.6781890542152
3,9,1181141.2882164933,1143974.871858348,37166.41635814534
3,10,1129089.8929587028,1129820.6140335014,-730.7210747984027
3,11,1248697.2583564988,1248706.6032710064,-9.344914507408248
3,12,1671428.2790644935,1671428.2790644935,0.0
4,2,1288948.131918256,1288948.131918256,0.0
4,3,1097597.4863263294,1102375.7100661546,-4778.223739825071
4,4,897737.1402008504,897740.643754847,-3.5035539966847864
4,5,968814.4235560773,968814.4235560773,0.0
4,6,1395820.746214389,1370117.3339121786,25703.41230221042
4,7,1746937.235010884,1707283.979866227,39653.25514465715
4,8,1413564.6791668297,1410566.3603858908,2998.3187809390183
4,9,1184907.1180824852,1149684.7592023192,35222.3588801662
4,10,1122724.9053522074,1123397.3914084577,-672.4860562499653
4,11,1304596.7871985752,1304603.4168705733,-6.629671998169215
4,12,1892793.8257622404,1892793.8257622404,0.0
