mode,month,candidate,validation_first_day,validation_last_day,initial_soc,final_soc,cost,selected
3,3,baseline,31,58,9902.8112878703687,5912.8102055904055,1226363.1458960657,False
3,3,adaptive,31,58,9902.8112878703687,5770.7268853040232,1215131.0845077978,True
3,4,baseline,62,89,5953.8186829946944,6199.8804069131456,981559.8976400441,True
3,4,adaptive,62,89,5953.8186829946944,6190.0983676167252,986563.03144377272,False
3,5,baseline,92,119,6090.2588298742075,6020.0302041932327,838086.61715950421,True
3,5,adaptive,92,119,6090.2588298742075,6020.5826764758658,838923.18154815794,False
3,6,baseline,123,150,5464.3444160351974,6033.0029419504826,896859.23397883319,False
3,6,adaptive,123,150,5464.3444160351974,5968.1760411518953,880563.30268282222,True
3,7,baseline,153,180,5984.0525611276689,6042.9423007831219,1193417.4929373367,False
3,7,adaptive,153,180,5984.0525611276689,5887.3859667910447,1180063.2533553145,True
3,8,baseline,184,211,6077.3318922601657,6082.1436426641276,1335805.968748308,False
3,8,adaptive,184,211,6077.3318922601657,6077.6278186743912,1318355.3538099348,True
3,9,baseline,215,242,6350.7796721447776,6890.1024874393624,1169419.2740287469,False
3,9,adaptive,215,242,6350.7796721447776,6910.943298970662,1167632.5683349033,True
3,10,baseline,245,272,6928.3519276257903,6507.053150559087,1096781.7580639131,False
3,10,adaptive,245,272,6928.3519276257903,6130.3430916034094,1059338.7930618913,True
3,11,baseline,276,303,5966.1621742986899,5652.1319895134366,1033744.543345676,True
3,11,adaptive,276,303,5966.1621742986899,5632.3194499217461,1035156.3427012044,False
3,12,baseline,306,333,6229.924995477606,6013.8541688713458,1182246.1076393169,True
3,12,adaptive,306,333,6229.924995477606,6015.9944945216375,1184649.414634296,False
4,3,baseline,31,58,9902.8112878703687,5957.1587265008002,1288948.1319182559,False
4,3,adaptive,31,58,9902.8112878703687,5809.7999659739044,1279098.2782824975,True
4,4,baseline,62,89,5976.8204837991934,6261.8690403096616,975122.73552777793,True
4,4,adaptive,62,89,5976.8204837991934,6254.9282553723597,978488.95850321511,False
4,5,baseline,92,119,6087.1901520861829,6054.2451070934612,814066.6599240069,True
4,5,adaptive,92,119,6087.1901520861829,6054.7975793760934,814766.63241547439,False
4,6,baseline,123,150,5462.2663788265399,6088.2934042553534,885058.19995103357,False
4,6,adaptive,123,150,5462.2663788265399,5959.9375715857523,867627.43191296398,True
4,7,baseline,153,180,5994.0060479588274,6025.0014908911244,1264971.328527991,False
4,7,adaptive,153,180,5994.0060479588274,5894.8619535023272,1251621.2787216606,True
4,8,baseline,184,211,6078.4403309494046,6258.851860595596,1521536.020779107,False
4,8,adaptive,184,211,6078.4403309494046,6251.5306733383313,1499330.2935405637,True
4,9,baseline,215,242,6364.4650805963756,6964.2649570049407,1306997.4477364696,False
4,9,adaptive,215,242,6364.4650805963756,6983.331963858016,1303980.1068529899,True
4,10,baseline,245,272,6953.6510925921366,6844.483222706921,1098199.683406593,False
4,10,adaptive,245,272,6953.6510925921366,6382.5168930734135,1062730.6583817222,True
4,11,baseline,276,303,6034.617009516247,5708.6467837932869,1031075.7248659575,True
4,11,adaptive,276,303,6034.617009516247,5688.8342442015955,1032363.7713029592,False
4,12,baseline,306,333,6231.8398710468082,6010.8427529912897,1239274.7998643685,True
4,12,adaptive,306,333,6231.8398710468082,6013.0669826949488,1241897.1524130551,False
