objective,dual_objective,gap,stationarity,dual_sign_violation,complementarity,equality_residual,inequality_violation,case,difference
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_0,0.0
-5567.839193905264,-5567.839193905265,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,random_1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_2,0.0
-607.6849386366243,-607.6849386366245,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,random_3,1.1368683772161603e-13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_4,0.0
-31860.908516755593,-31860.9085167556,7.275957614183426e-12,0.0,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,random_5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_6,0.0
-4233.6003335316955,-4233.600333531695,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,random_7,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4569682106375694e-12,random_8,0.0
-2046.0339350112251,-2046.0339350112254,2.2737367544323206e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,random_9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_10,0.0
-33536.645892945955,-33536.645892945955,0.0,0.0,0.0,0.0,0.0,0.0,random_11,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_12,0.0
-4443.290859834884,-4443.290859834884,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,random_13,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_14,0.0
-2378.665838625899,-2378.665838625899,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,random_15,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,random_16,0.0
-30041.89702117014,-30041.89702117014,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0,random_17,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_18,0.0
-6197.144675590195,-6197.144675590195,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,random_19,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_20,0.0
-1101.0093178963944,-1101.0093178963944,0.0,0.0,0.0,0.0,0.0,0.0,random_21,2.2737367544323206e-13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_22,0.0
-36832.86012732562,-36832.86012732563,7.275957614183426e-12,6.938893903907228e-18,0.0,0.0,1.4210854715202004e-14,8.185452315956354e-12,random_23,0.0
226.42786904768428,226.42786904768437,8.526512829121202e-14,0.0,0.0,0.0,0.0,0.0,random_24,2.2737367544323206e-13
-4338.183885444027,-4338.1838854440275,9.094947017729282e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,random_25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_26,0.0
-1164.1447479065152,-1164.1447479065152,0.0,0.0,0.0,0.0,0.0,0.0,random_27,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_28,0.0
-33388.17361230717,-33388.17361230716,7.275957614183426e-12,0.0,0.0,0.0,0.0,0.0,random_29,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_30,0.0
-5437.058930604233,-5437.058930604233,0.0,0.0,0.0,0.0,0.0,6.821210263296962e-13,random_31,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,random_32,0.0
-1605.0665844630723,-1605.0665844630723,0.0,0.0,0.0,0.0,0.0,0.0,random_33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_34,0.0
-28504.886378021285,-28504.88637802129,3.637978807091713e-12,0.0,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,random_35,0.0
35126.84858928962,35126.848589289635,1.4551915228366852e-11,1.1102230246251565e-16,0.0,0.0,4.433786671143025e-12,7.275957614183426e-12,q1,7.275957614183426e-12
-1224.796170134744,-1224.7961701347494,5.4569682106375694e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,3.637978807091713e-12,q3_baseline_2025-03-20_1,1.3642420526593924e-12
-74.55171382103958,-74.55171382103435,5.229594535194337e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q3_baseline_2025-03-20_2,6.963318810448982e-12
1055.9040704254262,1055.904070425426,2.2737367544323206e-13,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q3_baseline_2025-03-20_3,1.1368683772161603e-12
121.01865434103314,121.0186543410203,1.2846612662542611e-11,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,0.0,q3_baseline_2025-06-21_1,9.848122317634989e-12
89.90695082646309,89.90695082646226,8.242295734817162e-13,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,3.410605131648481e-13,q3_baseline_2025-06-21_2,8.242295734817162e-13
-0.18390125989421335,-0.18390125989543193,1.2185807918285718e-12,1.1102230246251565e-16,0.0,0.0,1.1368683772161603e-13,1.1368683772161603e-13,q3_baseline_2025-06-21_3,8.482103908136196e-14
-548.1691777133758,-548.1691777133799,4.092726157978177e-12,4.440892098500626e-16,0.0,0.0,1.1368683772161603e-13,4.547473508864641e-12,q3_baseline_2025-09-23_1,2.0463630789890885e-12
-284.057954915551,-284.05795491555386,2.8421709430404007e-12,4.440892098500626e-16,0.0,0.0,1.1368683772161603e-13,3.410605131648481e-13,q3_baseline_2025-09-23_2,3.637978807091713e-12
863.5371103708896,863.5371103708861,3.524291969370097e-12,0.0,0.0,0.0,1.1368683772161603e-13,4.547473508864641e-13,q3_baseline_2025-09-23_3,2.2737367544323206e-13
-341.5261090149258,-341.5261090149147,1.1084466677857563e-11,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,8.185452315956354e-12,q3_baseline_2025-12-21_1,3.467448550509289e-12
1390.3403027936542,1390.3403027936492,5.002220859751105e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,5.684341886080801e-13,q3_baseline_2025-12-21_2,1.3642420526593924e-12
-2.8421709430404007e-13,3.9257486150745535e-12,4.209965709378594e-12,0.0,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,q3_baseline_2025-12-21_3,2.8421709430404007e-13
-1565.6164803329343,-1565.616480332937,2.7284841053187847e-12,5.551115123125783e-17,0.0,0.0,0.0,1.8189894035458565e-12,q4_baseline_2025-03-20_1,4.547473508864641e-13
-349.36653958634156,-349.3665395863444,2.8421709430404007e-12,1.6653345369377348e-16,0.0,0.0,0.0,1.8189894035458565e-12,q4_baseline_2025-03-20_2,2.6716406864579767e-12
1057.7376484361446,1057.7376484361448,2.2737367544323206e-13,2.220446049250313e-16,0.0,0.0,0.0,2.2737367544323206e-13,q4_baseline_2025-03-20_3,2.0463630789890885e-12
121.37655715472724,121.37655715472047,6.764366844436154e-12,3.3306690738754696e-16,0.0,0.0,1.1368683772161603e-13,1.1368683772161603e-13,q4_baseline_2025-06-21_1,6.906475391588174e-12
84.94402674190081,84.9440267419026,1.7905676941154525e-12,1.1102230246251565e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q4_baseline_2025-06-21_2,6.821210263296962e-13
-45.598724754425035,-45.59872475442589,8.526512829121202e-13,0.0,0.0,0.0,1.1368683772161603e-13,1.1368683772161603e-13,q4_baseline_2025-06-21_3,8.526512829121202e-14
-550.175446970111,-550.1754469700988,1.2164491636212915e-11,2.7755575615628914e-16,0.0,0.0,1.1368683772161603e-13,5.4569682106375694e-12,q4_baseline_2025-09-23_1,7.958078640513122e-12
-292.4727872852064,-292.4727872852068,3.979039320256561e-13,2.7755575615628914e-16,0.0,0.0,1.1368683772161603e-13,1.7053025658242404e-13,q4_baseline_2025-09-23_2,8.526512829121202e-13
773.2282223094583,773.2282223094588,5.684341886080801e-13,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,4.547473508864641e-13,q4_baseline_2025-09-23_3,5.684341886080801e-13
-441.34705531335317,-441.3470553133402,1.2960299500264227e-11,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,7.275957614183426e-12,q4_baseline_2025-12-21_1,1.9895196601282805e-12
1504.998031196698,1504.9980311966965,1.5916157281026244e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,q4_baseline_2025-12-21_2,2.5011104298755527e-12
-4.263256414560601e-13,-5.826450433232822e-13,1.5631940186722204e-13,1.1102230246251565e-16,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,q4_baseline_2025-12-21_3,4.263256414560601e-13
