question,month,saving
2,2,3806.5440131796613
2,3,12762.03583694794
2,4,7055.273690245656
2,5,3779.2302931561862
2,6,29384.397058612736
2,7,26698.960619516292
2,8,18722.11847788733
2,9,27039.00234422843
2,10,5854.242577242337
2,11,105.80898057182131
2,12,6011.9413661182425
3,2,1019.2287648485305
3,3,21.108750937476266
3,4,349.6611197546483
3,5,1354.0081117886668
3,6,252.82063446052888
3,7,2389.3235631137172
3,8,1533.3907698945247
3,9,2496.402875012787
3,10,45.344544264201005
3,11,209.2441305672802
3,12,174.08661349933772
4-2,2,1626.6624064719774
4-2,3,6615.49942121053
4-2,4,6020.113888318385
4-2,5,2738.6070497064356
4-2,6,24227.347584536583
4-2,7,19981.70820026671
4-2,8,21128.18619691058
4-2,9,23839.04283530504
4-2,10,2084.202535335388
4-2,11,20.603115742753182
4-2,12,6760.394771033163
4-3,2,534.3680453293964
4-3,3,21.204836659249786
4-3,4,469.4112137447
4-3,5,1072.9014143426434
4-3,6,171.22149380478294
4-3,7,318.8167581018722
4-3,8,56.22141735716272
4-3,9,2405.046861858633
4-3,10,54.17473299312636
4-3,11,76.76353214790178
4-3,12,264.8362791960267
