date,strategy,normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,emergency_kwh,emergency_intervals,spill_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,solve_seconds,mip_gap
2025-02-01,greedy,22372.694293931898,0,22372.694293931898,42195.525208830652,0,0,7454.0994303467724,15136.336126696529,14773.08628154598,9902.8112878703687,7110.9734890683812,0,0
2025-02-02,greedy,59004.704734642233,0,59004.704734642233,92802.1927747523,0,0,10296.824236434295,21323.629790823361,17174.539202505348,7110.9734890683812,7219.4189646923542,0,0
2025-02-03,greedy,56981.892754652887,0,56981.892754652887,89968.903965144069,0,0,5891.8569886865844,21802.639771297167,17942.50929483967,7219.4189646923542,6905.6733201490597,0,0
2025-02-04,greedy,56883.057424927945,0,56883.057424927945,90170.811330044293,0,0,4239.094372060581,23957.71438962844,19220.86138164471,6905.6733201490597,7111.1036245427522,0,0
2025-02-05,greedy,51968.241640508742,7137.8758728029243,59106.117513311663,83293.510290129372,1158.66381064197,9,317.99681704841657,22928.858964624291,19543.108664234693,7111.1036245427522,6032.5115102216332,0,0
2025-02-06,greedy,54194.605700556654,326.73357686501834,54521.33927742167,86532.557386198925,56.458860649377584,3,1786.3993822410155,23848.994908354176,19317.435260413553,6032.5115102216332,6032.7899717253395,0,0
2025-02-07,greedy,20204.81822237443,2123.7999700085315,22328.618192382961,39409.139078367662,438.14701727820119,5,4479.2524274150028,20119.938337615386,16557.584336051197,6032.7899717253395,5743.4185466334202,0,0
2025-02-08,greedy,17938.875806781674,6916.4451515477322,24855.320958329408,35113.066422530312,1248.519144635306,8,1038.0762494880573,19285.399818077465,15539.053217066576,5743.4185466334202,5834.6636972736142,0,0
2025-02-09,greedy,50735.293194258447,13684.615680515561,64419.90887477401,81944.805559929402,2231.6748775977308,15,114.90367798019827,23444.376450615026,18938.215657734749,5834.6636972736142,5892.1406608996349,0,0
2025-02-10,greedy,51239.100841406427,1735.4988481368366,52974.599689543262,82435.011881770479,304.89288785885913,9,4381.1989542635019,22034.075369050413,18002.007137017903,5892.1406608996349,5720.5783408028901,0,0
2025-02-11,greedy,49893.924750600869,3990.9470237232517,53884.871774324121,80845.50711831497,635.88972230925776,8,1590.5778065813088,23507.728585091096,18837.506684381518,5720.5783408028901,5946.9710847387478,0,0
2025-02-12,greedy,51114.413426938474,2155.7677646335733,53270.181191572046,82350.269986716754,332.59807749399494,6,3018.7432096977523,22688.772934622586,18291.384213442921,5946.9710847387478,6043.1064887402745,0,0
2025-02-13,greedy,50758.564366455452,191.82314303083723,50950.387509486289,81688.994400051306,35.845208563516373,2,6335.6437999979598,20755.224229321124,16695.507437370929,6043.1064887402745,6172.2444758282545,0,0
2025-02-14,greedy,18120.687669504634,3145.7460020380177,21266.433671542651,34747.063132439405,576.25883086132569,6,2351.4877467432198,18298.810057959297,15128.777658068449,6172.2444758282545,5831.4205745822355,0,0
2025-02-15,greedy,18332.665486205384,1011.4979971845769,19344.163483389959,35370.743539783674,211.23606074005238,8,2778.6534695895816,18637.174342386064,15113.939311451917,5831.4205745822355,5811.6115811164555,0,0
2025-02-16,greedy,49192.715174555473,5737.8075358616024,54930.522710417077,79825.960038764184,998.63438710901846,8,612.84328188226641,23647.636623716477,18813.264579725528,5811.6115811164555,6190.8572316551363,0,0
2025-02-17,greedy,48368.233094228533,387.10683387005781,48755.33992809859,78635.563669192255,60.289087938268267,2,3456.6317446322314,21840.777534501442,17785.419688669812,6190.8572316551363,6085.9795808510898,0,0
2025-02-18,greedy,48198.566630018831,191.92468655071676,48390.491316569547,78409.269295741629,41.956764136930701,2,1805.4529035027704,22993.224390554948,18438.839017512488,6085.9795808510898,6292.2826240033328,0,0
2025-02-19,greedy,48368.840004339705,2431.6604081057908,50800.500412445494,78524.008979609862,465.59460781566463,8,1891.798689057297,23581.053910934617,19362.57639589972,6292.2826240033328,6001.2573706225749,0,0
2025-02-20,greedy,48408.681332157917,184.63164204524003,48593.31297420316,78775.447181272772,39.417515381135786,1,2907.7255335818754,23086.390119822456,18172.384690083756,6001.2573706225749,6587.4699339252729,0,0
2025-02-21,greedy,17990.95097649395,152.12257443520255,18143.073550929152,34338.080498097494,27.788040696459028,2,5771.7817641836145,17690.949940583254,14657.125199306251,6587.4699339252729,6223.6302145543714,0,0
2025-02-22,greedy,18303.913496681744,0,18303.913496681744,35107.297885339562,0,0,3628.1189741116696,17894.311381939318,14259.895354044762,6223.6302145543714,6484.1822871389086,0,0
2025-02-23,greedy,47930.068385101717,0,47930.068385101717,77820.756020983899,0,0,1869.4559234355979,22950.383002056878,18530.936587841912,6484.1822871389086,6549.5974469435296,0,0
2025-02-24,greedy,46606.694120557637,262.64101929040879,46869.335139848044,75927.072350985167,57.777564696927584,2,3943.7078424826614,21494.526083813515,17656.417627280745,6549.5974469435296,6276.4291142859756,0,0
2025-02-25,greedy,46783.953028390046,195.44357713964249,46979.396605529691,76328.023791309912,44.234877308513092,3,6493.723062720469,20935.380660646559,16878.168288081924,6276.4291142859756,6364.7513887768519,0,0
2025-02-26,greedy,46521.983166279286,778.37519787905899,47300.358364158346,75843.10194147256,111.57901345743392,1,2845.3769167286059,21967.707780517463,17673.251775649413,6364.7513887768519,6498.7419738543249,0,0
2025-02-27,greedy,45700.873011750751,2598.9733959593264,48299.84640771008,74654.273732339294,535.38899599539934,5,3769.2096092679512,23055.703211711014,18591.834292644271,6498.7419738543249,6591.2812059006101,0,0
2025-02-28,greedy,17467.5311051385,0,17467.5311051385,33569.795865466411,0,0,7286.2089055087781,17129.5915174658,14138.598107508162,6591.2812059006101,6298.360118832994,0,0
2025-03-01,greedy,17956.483819848727,0,17956.483819848727,34523.083532551573,0,0,7403.5285703953887,16649.258628236952,13188.469599414098,6298.360118832994,6628.837773786142,0,0
2025-03-02,greedy,44989.542682412837,26567.000679669152,71556.543362081982,73509.797507554147,3930.3626155524071,8,1793.8133831769978,19726.5953787775,16438.555705514591,6628.837773786142,6117.7117196696854,0,0
2025-03-03,greedy,45253.116176553391,19972.06740121495,65225.183577768345,74010.120794896167,3278.7509661121694,15,1108.6147377007105,21969.027273128682,17805.916883154387,6117.7117196696854,6105.4841730917424,0,0
2025-03-04,greedy,46763.831464680799,0,46763.831464680799,76386.611037668772,0,0,2435.2530042430149,23183.676435317633,18431.776335225197,6105.4841730917424,6491.0414812940553,0,0
2025-03-05,greedy,48794.072106510925,0,48794.072106510925,79121.788900296408,0,0,9313.8974974089997,19536.967688147884,15859.548301927134,6491.0414812940553,6452.5920651525566,0,0
2025-03-06,greedy,47288.735334293378,0,47288.735334293378,76712.609099882771,0,0,6921.9605572123683,19991.316437789188,16141.322028452119,6452.5920651525566,6509.9746053271365,0,0
2025-03-07,greedy,17231.332414862798,0,17231.332414862798,32899.645660846116,0,0,9105.7091929605576,15411.715110846404,12540.06417629418,6509.9746053271365,6447.1135647620349,0,0
2025-03-08,greedy,16736.92757361602,0,16736.92757361602,31723.948197161164,0,0,9568.4664049735584,16310.635637576446,13218.293362055509,6447.1135647620349,6439.6930140747199,0,0
2025-03-09,greedy,45914.182994070979,0,45914.182994070979,74877.398402824634,0,0,7357.5573396860091,21172.039451942572,16985.723438803943,6439.6930140747199,6621.5024777075441,0,0
2025-03-10,greedy,43735.239641776527,3340.050337027109,47075.289978803637,71460.531837890099,480.39685505435557,3,108.73764982392549,21374.787593421701,17584.668000301186,6621.5024777075441,6320.2913114524281,0,0
2025-03-11,greedy,44390.914979497378,0,44390.914979497378,73115.613150122459,0,0,5052.819312458676,20584.462828086926,16460.587790423138,6320.2913114524281,6556.7658673716205,0,0
2025-03-12,greedy,43264.468747400948,0,43264.468747400948,71187.432232090447,0,0,5110.4527875361246,20579.754618896382,16938.309857675391,6556.7658673716205,6258.2007380723771,0,0
2025-03-13,greedy,42198.396501459196,14246.360333237586,56444.756834696782,69788.692666650837,2348.2796000767416,10,643.60957083608605,20620.705771161993,16672.961091937166,6258.2007380723771,6291.3236077435377,0,0
2025-03-14,greedy,16014.702149317351,855.5290990159674,16870.231248333319,30388.112360168256,226.84373977027113,4,11382.971528016336,16525.372580989286,13322.813992400432,6291.3236077435377,6361.0322724111948,0,0
2025-03-15,greedy,15845.68773272223,1039.9807751457356,16885.668507867966,30500.980261069031,253.91466398042053,5,7156.4585271102105,16287.452974537799,13613.141726598555,6361.0322724111948,5894.0269199412623,0,0
2025-03-16,greedy,43809.296937712694,7.4611800000004553,43816.758117712692,72325.969200877094,1.6400000000001,1,4103.2001759469349,21531.405517174586,16658.043425577751,5894.0269199412623,6763.354745867563,0,0
2025-03-17,greedy,42524.954167270436,0,42524.954167270436,70227.944986406539,0,0,9038.8108520881378,18882.191296991135,15551.188596006061,6763.354745867563,6478.2284731528543,0,0
2025-03-18,greedy,40112.321464160304,5622.4335164524964,45734.754980612801,66789.793152917438,1114.9094483721628,8,2791.7989536322066,21713.311480672077,17726.366199681343,6478.2284731528543,6324.2463616673522,0,0
2025-03-19,greedy,41028.992114754568,979.81667061530857,42008.808785369874,68052.46067175144,203.62481929691094,3,4369.0313986342744,21884.545401824296,17462.96175941022,6324.2463616673522,6617.0463795200885,0,0
2025-03-20,greedy,41276.854123926372,0,41276.854123926372,68036.469944704833,0,0,1974.847188610574,21414.621445624893,17561.960506197298,6617.0463795200885,6376.9162292521587,0,0
2025-03-21,greedy,15485.525499829613,1437.5044742103046,16923.029974039917,29616.842220552178,366.8992521363416,4,15154.311759607193,16148.806187792943,13352.84099137828,6376.9162292521587,6074.3518078454972,0,0
2025-03-22,greedy,16272.415645604538,0,16272.415645604538,31174.225206009563,0,0,11355.039907420351,16332.357212253355,12394.371646997473,6074.3518078454972,7001.9492466541005,0,0
2025-03-23,greedy,40336.699235466709,131.15523964252606,40467.854475109234,66711.128281499259,18.800923113894214,1,4628.772095628995,20431.395922656906,17099.95893033941,7001.9492466541005,6390.2512100015283,0,0
2025-03-24,greedy,39355.80851858214,0,39355.80851858214,65177.359011269036,0,0,3089.5194019565479,21589.100359648692,17499.75783366953,6390.2512100015283,6376.2661629414324,0,0
2025-03-25,greedy,38864.703121661863,3206.0575868460783,42070.760708507943,64722.555249732322,569.15976694790834,9,436.06764253355982,21638.432887146191,17732.910229666188,6376.2661629414324,6147.6221728550227,0,0
2025-03-26,greedy,39496.626018012277,0,39496.626018012277,65732.571126301453,0,0,6013.8045820630978,20784.041662110634,16657.829984538948,6147.6221728550227,6344.5596859335419,0,0
2025-03-27,greedy,39284.080597518812,0,39284.080597518812,65205.182168283165,0,0,2400.4036446558694,21091.102663950089,17003.313540322793,6344.5596859335419,6433.9814831299655,0,0
2025-03-28,greedy,15037.770084050999,310.93185466223758,15348.701938713237,29181.621073659539,74.171739857149618,2,15338.0756304018,16435.221245804867,13339.384829356641,6433.9814831299655,6404.1419050691893,0,0
2025-03-29,greedy,15116.139935917587,0,15116.139935917587,29563.493085212169,0,0,18784.762616737447,15973.207757630233,12901.686472488844,6404.1419050691893,6444.8216952821376,0,0
2025-03-30,greedy,38319.063489699955,0,38319.063489699955,63489.007939714764,0,0,3903.3152409973072,20743.216152685844,16503.14315396838,6444.8216952821376,6776.8905060678671,0,0
2025-03-31,greedy,36711.602408816398,1982.7925237401282,38694.394932556526,60876.622178874502,284.23057966458259,1,891.27722315097981,19408.29794642765,16090.111894372872,6776.8905060678671,6366.4565529940073,0,0
2025-04-01,greedy,37599.503310559565,10410.620974906586,48010.124285466154,62557.476150785136,1520.4768865633187,4,391.69900180158584,18639.647119225876,15162.244600345672,6366.4565529940073,6295.2005154687668,0,0
2025-04-02,greedy,37824.298258887597,10273.276162091181,48097.574420978781,63133.465931840197,1946.8279476227324,11,675.23327146726581,20868.958081338606,16899.232873342935,6295.2005154687668,6300.3373738480268,0,0
2025-04-03,greedy,38985.498827088522,635.39813572243145,39620.896962810955,65430.789564250037,128.76955643467679,2,5365.7264841238766,21559.367996497873,17229.065626603697,6300.3373738480268,6560.3623189142254,0,0
2025-04-04,greedy,14245.589626129498,0,14245.589626129498,28070.152150366732,0,0,18605.664717214437,16590.683305934748,13556.99812278245,6560.3623189142254,6428.6460467194493,0,0
2025-04-05,greedy,14762.456782269983,0,14762.456782269983,29086.60896874468,0,0,14145.042514138433,15737.788851850486,12840.337380577574,6428.6460467194493,6325.6144794098072,0,0
2025-04-06,greedy,37896.186577707056,0,37896.186577707056,63511.505252289891,0,0,5036.2380007138563,20613.800186075387,16548.609201166018,6325.6144794098072,6490.691090026522,0,0
2025-04-07,greedy,36872.899065540143,0,36872.899065540143,61759.763728814753,0,0,4851.2486565775971,19881.149028607852,16215.353239704025,6490.691090026522,6366.6660605468978,0,0
2025-04-08,greedy,37240.688596610504,513.44157749999556,37754.130174110498,62432.45952158024,104.15124999999911,4,4382.205975695404,21172.716846757627,17371.505667539452,6366.6660605468978,6120.4382586960364,0,0
2025-04-09,greedy,37059.712824525392,12155.354576876616,49215.067401402004,62211.096570055117,1779.5706847757619,4,1120.243097586389,19397.684924667476,15661.57178408965,6120.4382586960364,6176.6082641304865,0,0
2025-04-10,greedy,37591.121685681544,0,37591.121685681544,63101.42553361546,0,0,4386.2611115143918,21149.837641133628,16895.311119032558,6176.6082641304865,6438.8942311145674,0,0
2025-04-11,greedy,13768.004440552324,0,13768.004440552324,27469.806573113965,0,0,19435.965900702417,16212.917279852434,13495.726774107548,6438.8942311145674,6035.2678117511432,0,0
2025-04-12,greedy,14589.236505846256,0,14589.236505846256,28992.916894832273,0,0,16541.14442962925,15477.549103427282,12050.937188224261,6035.2678117511432,6575.1317956976272,0,0
2025-04-13,greedy,35865.356409749002,0,35865.356409749002,60039.017086094471,0,0,2070.9418930036372,20252.517718021401,16560.801008263898,6575.1317956976272,6401.5077327347817,0,0
2025-04-14,greedy,35310.396454839458,594.8232312076384,35905.219686047094,59505.587428771745,86.985114599138569,2,3484.0086870960777,19962.793718323541,16382.261662048728,6401.5077327347817,6165.5091213940559,0,0
2025-04-15,greedy,36294.818683913341,0,36294.818683913341,60904.244642392165,0,0,6710.9212390541825,19292.843318876548,15238.948748871906,6165.5091213940559,6596.9028318586097,0,0
