date,strategy,normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,emergency_kwh,emergency_intervals,spill_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,solve_seconds,mip_gap
2025-02-01,value_night,22372.694293931898,2.5351980070809075e-11,22372.694293931923,42195.525208830652,4.9453774408902973e-12,0,7454.0994303467724,15136.336126696529,14773.08628154598,9902.8112878703687,7110.9734890683812,0,0
2025-02-02,value_night,59004.704734642233,1.6449327233658552e-11,59004.704734642248,92802.1927747523,3.5065284009760944e-12,0,10296.824236434297,21323.629790823357,17174.539202505352,7110.9734890683812,7219.4189646923542,0,0
2025-02-03,value_night,56981.892754652887,4.294555644435149e-11,56981.89275465293,89968.903965144069,8.326228595478824e-12,0,5891.8569886865844,21802.639771297167,17942.50929483967,7219.4189646923542,6905.6733201490597,0,0
2025-02-04,value_night,56883.057424927945,2.8241206706525191e-11,56883.057424927974,90170.811330044293,5.3930193644191604e-12,0,4239.094372060581,23957.71438962844,19220.86138164471,6905.6733201490597,7111.1036245427522,0,0
2025-02-05,value_night,51968.241640508742,6965.7147048258821,58933.956345334627,83293.510290129372,1158.6638106419784,12,317.99681704841646,22928.858964624294,19543.108664234693,7111.1036245427522,6032.5115102216332,0,0
2025-02-06,value_night,54194.605700556654,326.73357686506381,54521.339277421721,86532.557386198925,56.458860649386892,3,1786.3993822410155,23848.994908354176,19317.435260413546,6032.5115102216332,6032.7899717253395,0,0
2025-02-07,value_night,20204.81822237443,2119.056787975228,22323.875010349657,39409.139078367662,438.14701727820932,5,4479.2524274150028,20119.938337615386,16557.584336051194,6032.7899717253395,5743.4185466334202,0,0
2025-02-08,value_night,17938.875806781674,5959.9152878376408,23898.791094619315,35113.066422530312,1248.5191446353144,10,1038.0762494880571,19285.399818077465,15539.053217066574,5743.4185466334202,5834.6636972736142,0,0
2025-02-09,value_night,50735.293194258447,12382.812608462133,63118.10580272058,81944.805559929402,2231.6748775977394,29,114.90367798019838,23444.376450615022,18938.215657734752,5834.6636972736142,5892.1406608996349,0,0
2025-02-10,value_night,51239.100841406427,1723.3681449882306,52962.468986394655,82435.011881770479,304.89288785886816,10,4381.1989542635001,22034.075369050417,18002.007137017907,5892.1406608996349,5720.5783408028901,0,0
2025-02-11,value_night,49893.924750600869,3897.7845517683613,53791.709302369229,80845.50711831497,635.88972230926822,10,1590.5778065813092,23507.728585091096,18837.506684381518,5720.5783408028901,5946.9710847387478,0,0
2025-02-12,value_night,51114.413426938474,2106.6758748561888,53221.089301794666,82350.269986716754,332.59807749400727,8,3018.7432096977527,22688.772934622586,18291.384213442918,5946.9710847387478,6043.1064887402745,0,0
2025-02-13,value_night,50758.564366455452,191.82314303088216,50950.387509486332,81688.994400051306,35.845208563527919,2,6335.6437999979607,20755.224229321124,16695.507437370929,6043.1064887402745,6172.2444758282545,0,0
2025-02-14,value_night,18120.687669504634,2325.4475782732525,20446.135247777886,34747.063132439405,576.25883086133274,6,2351.4877467432198,18298.810057959297,15128.777658068451,6172.2444758282545,5831.4205745822355,0,0
2025-02-15,value_night,18332.665486205384,985.65705452575344,19318.322540731137,35370.743539783674,211.23606074005636,8,2778.6534695895816,18637.174342386064,15113.939311451921,5831.4205745822355,5811.6115811164555,0,0
2025-02-16,value_night,49192.715174555473,5534.7217755203856,54727.436950075862,79825.960038764184,998.63438710902778,13,612.84328188226641,23647.636623716477,18813.264579725532,5811.6115811164555,6190.8572316551363,0,0
2025-02-17,value_night,48368.233094228533,387.10683387008896,48755.33992809862,78635.563669192255,60.289087938275443,2,3456.6317446322319,21840.777534501442,17785.419688669816,6190.8572316551363,6085.9795808510898,0,0
2025-02-18,value_night,48198.566630018831,191.92468655074288,48390.491316569576,78409.269295741629,41.956764136936506,2,1805.4529035027701,22993.224390554948,18438.839017512491,6085.9795808510898,6292.2826240033328,0,0
2025-02-19,value_night,48368.840004339705,2425.6940684246915,50794.5340727644,78524.008979609862,465.5946078156702,9,1891.798689057297,23581.053910934617,19362.576395899727,6292.2826240033328,6001.2573706225749,0,0
2025-02-20,value_night,48408.681332157917,184.63164204527357,48593.312974203189,78775.447181272772,39.41751538114319,1,2907.7255335818754,23086.390119822456,18172.38469008376,6001.2573706225749,6587.4699339252729,0,0
2025-02-21,value_night,17990.95097649395,136.84705818140998,18127.798034675361,34338.080498097494,27.788040696465124,3,5771.7817641836155,17690.949940583254,14657.125199306247,6587.4699339252729,6223.6302145543714,0,0
2025-02-22,value_night,18303.913496681744,2.6626427229725638e-11,18303.913496681769,35107.297885339562,5.9044436007127388e-12,0,3628.1189741116696,17894.311381939318,14259.895354044762,6223.6302145543714,6484.1822871389086,0,0
2025-02-23,value_night,47930.068385101717,2.7963370979877675e-11,47930.068385101746,77820.756020983899,5.8820448511909262e-12,0,1869.4559234355979,22950.383002056878,18530.936587841912,6484.1822871389086,6549.5974469435296,0,0
2025-02-24,value_night,46606.694120557637,262.64101929042874,46869.335139848066,75927.072350985167,57.777564696932231,2,3943.7078424826614,21494.526083813515,17656.417627280749,6549.5974469435296,6276.4291142859756,0,0
2025-02-25,value_night,46783.953028390046,195.44357713966846,46979.396605529713,76328.023791309912,44.234877308519359,3,6493.7230627204681,20935.380660646559,16878.168288081924,6276.4291142859756,6364.7513887768519,0,0
2025-02-26,value_night,46521.983166279286,642.34789188611285,47164.3310581654,75843.10194147256,146.63977254572632,6,2845.3769167286059,21967.707780517463,17638.191016561123,6364.7513887768519,6537.6983728413088,0,0
2025-02-27,value_night,45682.381707698267,2598.9733959593696,48281.355103657639,74610.988844575972,535.38899599540719,5,3769.2096092679521,23012.418323947699,18591.834292644267,6537.6983728413088,6591.2812059006101,0,0
2025-02-28,value_night,17467.5311051385,3.3560072498772798e-11,17467.531105138532,33569.795865466411,6.9606542751898814e-12,0,7286.2089055087781,17129.5915174658,14138.598107508156,6591.2812059006101,6298.360118832994,0,0
2025-03-01,value_night,17956.483819848727,2.5894418609340163e-11,17956.483819848752,34523.083532551573,5.1709747594941291e-12,0,7403.5285703953887,16649.258628236952,13188.4695994141,6298.360118832994,6628.837773786142,0,0
2025-03-02,value_night,44989.542682412837,20215.091411383786,65204.634093796623,73509.797507554147,3930.3626155524148,33,1793.8133831769978,19726.5953787775,16438.555705514587,6628.837773786142,6117.7117196696854,0,0
2025-03-03,value_night,45253.116176553391,16288.319478561571,61541.435655114961,74010.120794896167,3278.7509661121776,30,1108.6147377007105,21969.027273128682,17805.916883154379,6117.7117196696854,6105.4841730917424,0,0
2025-03-04,value_night,46763.831464680799,2.4978606960601721e-11,46763.831464680821,76386.611037668772,5.787592627370941e-12,0,2435.2530042430149,23183.676435317633,18431.7763352252,6105.4841730917424,6491.0414812940553,0,0
2025-03-05,value_night,48794.072106510925,1.9397938755272291e-11,48794.072106510946,79121.788900296408,3.7892744497725062e-12,0,9313.8974974089979,19536.967688147888,15859.548301927136,6491.0414812940553,6452.5920651525566,0,0
2025-03-06,value_night,47288.735334293378,4.9673000074301752e-11,47288.735334293429,76712.609099882771,9.7130775644771461e-12,0,6921.9605572123692,19991.316437789188,16141.322028452118,6452.5920651525566,6509.9746053271365,0,0
2025-03-07,value_night,17231.332414862798,1.6515979028852713e-11,17231.332414862816,32899.645660846116,3.5033087542046815e-12,0,9105.7091929605576,15411.715110846404,12540.064176294183,6509.9746053271365,6447.1135647620349,0,0
2025-03-08,value_night,16736.92757361602,2.9015558095091266e-11,16736.927573616049,31723.948197161164,6.1741167733941893e-12,0,9568.4664049735584,16310.635637576446,13218.293362055507,6447.1135647620349,6439.6930140747199,0,0
2025-03-09,value_night,45914.182994070979,2.3362638157387043e-11,45914.182994071001,74877.398402824634,5.2938209371689027e-12,0,7357.55733968601,21172.039451942572,16985.723438803943,6439.6930140747199,6621.5024777075441,0,0
2025-03-10,value_night,43735.239641776527,2810.8329662844681,46546.072608060997,71460.531837890099,495.19869499791901,7,108.73764982392549,21374.787593421701,17569.866160357629,6621.5024777075441,6336.7378002786018,0,0
2025-03-11,value_night,44383.108379467885,5.1635041228847991e-11,44383.108379467936,73097.339273648948,9.8847874330232344e-12,0,5052.819312458676,20566.188951613396,16460.587790423138,6336.7378002786018,6556.7658673716205,0,0
2025-03-12,value_night,43264.468747400948,3.0105045234485311e-11,43264.468747400977,71187.432232090447,7.659428646888955e-12,0,5110.4527875361246,20579.754618896382,16938.309857675395,6556.7658673716205,6258.2007380723771,0,0
2025-03-13,value_night,42198.396501459196,12757.439560625822,54955.836062085014,69788.692666650837,2348.2796000767407,26,643.60957083608616,20620.705771161993,16672.96109193717,6258.2007380723771,6291.3236077435377,0,0
2025-03-14,value_night,16014.702149317351,748.49048685382638,16763.192636171178,30388.112360168256,226.84373977027579,5,11382.971528016336,16525.372580989286,13322.813992400432,6291.3236077435377,6361.0322724111948,0,0
2025-03-15,value_night,15845.68773272223,1039.9807751457552,16885.668507867984,30500.980261069031,253.91466398042508,5,7156.4585271102096,16287.452974537799,13613.141726598555,6361.0322724111948,5894.0269199412623,0,0
2025-03-16,value_night,43809.296937712694,7.4611800000415744,43816.758117712736,72325.969200877094,1.6400000000089332,1,4103.2001759469331,21531.405517174589,16658.043425577747,5894.0269199412623,6763.354745867563,0,0
2025-03-17,value_night,42524.954167270436,3.5442408896635411e-11,42524.954167270473,70227.944986406539,7.8845818762829367e-12,0,9038.8108520881342,18882.191296991135,15551.188596006057,6763.354745867563,6478.2284731528543,0,0
2025-03-18,value_night,40112.321464160304,5622.7741946093147,45735.09565876962,66789.793152917438,1114.9094483721717,8,2791.7989536322061,21713.311480672077,17726.366199681343,6478.2284731528543,6324.2463616673522,0,0
2025-03-19,value_night,41028.992114754568,979.81667061533881,42008.808785369911,68052.46067175144,203.62481929691711,3,4369.0313986342726,21884.545401824296,17462.961759410216,6324.2463616673522,6617.0463795200885,0,0
2025-03-20,value_night,41276.854123926372,25.581681623292031,41302.435805549663,68036.469944704833,5.1879297552814707,1,1974.847188610574,21414.621445624893,17556.772576442025,6617.0463795200885,6382.6805956469079,0,0
2025-03-21,value_night,15483.242291944316,1271.8349671693725,16755.077259113688,29611.654290796905,366.89925213634581,7,15154.311759607193,16148.806187792943,13358.028921133555,6382.6805956469079,6074.3518078454972,0,0
2025-03-22,value_night,16272.415645604538,1.8316260508299821e-11,16272.415645604557,31174.225206009563,4.1975312115027918e-12,0,11355.039907420351,16332.357212253355,12394.371646997475,6074.3518078454972,7001.9492466541005,0,0
