date,soc_start_kwh,soc_end_kwh,total_cost_yuan,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh
2025-02-01,9902.8112878703687,6454.1554940443566,20588.349894318271,21375.839322582422,0,-787.4894282641784,2.7942403280079019e-11,37342.373934719624,5.279887638209857e-12,15551.608060562086,15700.592743498699,3113.1826843229064
2025-02-02,6454.1554940443566,6715.9157992619866,55880.843704169791,56892.677772834184,212.93435413355454,-1224.7684227979673,2.5077406817786142e-11,86621.779439014441,4.8681059183763864e-12,22578.78301176531,18053.229964834034,3739.9484420831786
2025-02-03,6715.9157992619866,6419.521373447129,56390.24745145395,58045.119443159994,196.5266844727137,-1851.3986761788208,5.9134714014419387e-11,86511.742118701281,1.2423839734765352e-11,22583.061588364046,18559.034869808245,2270.7989001454807
2025-02-04,6419.521373447129,6729.1038464671738,58846.014900321963,60287.773593390644,446.51438715685327,-2032.2695087814479,143.99642855590483,89342.279443331237,30.335922544235601,23289.369238887226,18585.76485778061,3474.1470347688628
2025-02-05,6729.1038464671738,5880.2497625370897,59447.220784894715,51647.685518807819,1982.1045127929488,-327.13509365830873,6144.5658469522577,83700.798584989549,1156.9332685815239,22954.708099937325,19357.28223648631,511.87900678672509
2025-02-06,5880.2497625370897,5820.6556289625569,59959.119138399532,57059.765161532225,748.41767925611896,-2502.2156593028003,4653.1519569140028,84123.933972956962,970.90182499205662,23409.83059670377,19015.597503547138,429.54548812571835
2025-02-07,5820.6556289625569,5569.8309185588787,24254.509330923171,20313.884859544814,155.4943780741454,-656.70126798613626,4441.8313612903466,37788.290197745388,877.10291603292455,20474.356054022937,16809.970643121891,3195.3280362105925
2025-02-08,5569.8309185588787,5616.261372648255,27170.783138105337,16258.991152596191,2018.1184568885524,0,8893.6735286205912,34278.323517961093,1883.3266014478529,18704.303302079803,15108.698266004201,988.88236666666683
2025-02-09,5616.261372648255,5687.3016393072694,59176.313504153055,50604.968788048936,1514.738302264424,-72.06556900714115,7128.6719828468376,82861.689216501836,1533.8646787747157,23854.97861170469,19258.596435487685,243.75575239288469
2025-02-10,5687.3016393072694,5538.7049605956454,54870.285454114717,48957.302832332469,1112.7390982194329,-819.13805581354563,5619.3815793763597,77535.225693994056,1160.3998980311683,23467.163333851939,19142.139311260533,43.963986100487887
2025-02-11,5538.7049605956454,5802.1781582649655,63919.394070098657,49087.274941477968,1263.1319392988742,-1232.9701735095223,14801.957362831326,77014.294597499407,2875.4441920208451,22930.508832789157,18336.586276656832,75.219100054593014
2025-02-12,5802.1781582649655,5892.7774407186371,57344.897290018031,50814.174639378056,713.00977295763153,-1315.5851489291285,7133.2980266114682,78567.737582246045,1459.5634406809886,23802.50851472047,19198.492542715278,156.5489175885009
2025-02-13,5892.7774407186371,6009.0672647530728,50761.023452094189,46908.859349821345,1488.6312459338981,-681.46221687823936,3044.9950732171828,75816.925043560725,694.27439191988299,23393.056988198419,18843.715318809729,632.37874942524707
2025-02-14,6009.0672647530728,5624.4729651877051,21655.528742969691,17145.283389999291,1348.3180749904468,0,3161.9272779799539,34686.372343387367,787.57357612316287,18660.102765323456,15460.818109520835,2472.8594470412404
2025-02-15,5624.4729651877051,5642.0985620240108,21846.087598933947,17709.44570482058,876.31122436436158,-156.8536378592116,3417.1843076082209,34575.630877972646,898.75443282986771,18131.679777897825,14670.797582944564,2733.4120158492487
2025-02-16,5642.0985620240108,5976.9829827863523,59650.168041516554,51565.595872184786,1038.7078666177715,-2009.2093233766668,9055.0736260906669,78262.609855907824,1932.7097657080917,23149.588310125466,18449.770552515525,118.12276400595772
2025-02-17,5976.9829827863523,5845.0532325847171,53974.567977751154,50930.487199629177,784.67088277856158,-2825.6378286988152,5085.0477240422279,74463.726310809492,1040.4015925775325,21789.749181783722,17768.433612426288,298.9491673629326
2025-02-18,5845.0532325847171,6039.5810544033384,51578.132738871747,45339.756231805521,2869.1407812507678,-10.565954977079963,3379.8016807925433,75924.947945388092,750.20211581323019,21706.386892627896,17407.098343391837,284.47372863192743
2025-02-19,6039.5810544033384,5819.5001284953496,49856.792214425135,46298.884960114396,2652.6926203425,-24.283572342222271,929.49820631046623,77326.66106231985,203.21812200325013,23788.035020616582,19466.381200016629,328.89798038980439
2025-02-20,5819.5001284953496,6185.8579080876489,48643.334794910319,48000.584454078402,916.30346295391303,-860.11709035255819,586.56396823056298,76389.438841459036,124.43276353818541,23248.053319569583,18501.201187218299,773.88573931260532
2025-02-21,6185.8579080876489,5672.1466523785657,18385.022298940246,17041.74662495713,795.4127153632478,0,547.86295861986991,34000.394723857768,250.91861003917685,17680.810873366539,14783.79693756507,5794.0373647621391
2025-02-22,5672.1466523785657,6085.9690066665225,18850.101071977711,17943.173207285185,856.77987704895077,-79.217533449505225,129.36552109307812,35117.280867180372,56.085332472065083,18138.636814323385,14319.855700742783,3509.8222027384954
2025-02-23,6085.9690066665225,6107.6592457267416,49856.667592830716,47577.710475622895,853.62598985823092,-853.05901279490399,2278.3901401444928,75687.867163345261,559.32696292553021,22795.593669139234,18444.909656848587,364.65643064680717
2025-02-24,6107.6592457267416,6168.0981928893689,46593.701985246385,46058.446982725225,603.6718962169806,-648.19585903072186,579.77896533490241,72920.013290170129,122.00148656202285,21507.187542598214,17366.426857058188,698.22047452546394
2025-02-25,6168.0981928893689,5953.4457425676237,46644.502785883335,46973.885820128366,360.16444736093592,-2030.8680928008241,1341.3206111948612,70619.697974375042,322.60966203924687,21640.158466457833,17721.715563120419,1202.5414997435394
2025-02-26,5953.4457425676237,6579.7701932575583,46885.874875326292,43287.412304539059,3524.663244327427,0,73.799326459803467,74598.018259730772,15.418870561854462,23030.100832547585,18090.689668742605,859.17793315430492
