date,soc_start_kwh,soc_end_kwh,total_cost_yuan,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh
2025-02-01,9902.8112878703687,6454.1554940443566,20588.349894318271,21375.839322582422,0,-787.4894282641784,2.7942403280079019e-11,37342.373934719624,5.279887638209857e-12,15551.608060562086,15700.592743498699,3113.1826843229064
2025-02-02,6454.1554940443566,6715.9157992619866,55880.843704169791,56892.677772834184,212.93435413355454,-1224.7684227979673,2.5077406817786142e-11,86621.779439014441,4.8681059183763864e-12,22578.78301176531,18053.229964834034,3739.9484420831786
2025-02-03,6715.9157992619866,6419.521373447129,56390.24745145395,58045.119443159994,196.5266844727137,-1851.3986761788208,5.9134714014419387e-11,86511.742118701281,1.2423839734765352e-11,22583.061588364046,18559.034869808245,2270.7989001454807
2025-02-04,6419.521373447129,6729.1038464671738,58760.632024509927,60287.773593390644,505.1279399006894,-2032.2695087814479,2.9490770714346584e-11,89372.615365875477,5.7198690228688065e-12,23289.369238887226,18585.76485778061,3474.1470347688628
2025-02-05,6729.1038464671738,5880.2497625370897,58326.027659146181,51647.685518807819,2877.8210058299437,-327.13509365830873,4127.6562281667329,84211.315341473077,646.41651209800875,22954.708099937325,19357.28223648631,511.87900678672509
2025-02-06,5880.2497625370897,5820.6556289625569,58084.359425733863,57059.765161532225,2146.0079749339175,-2502.2156593028003,1380.8019485705245,84837.055630613948,257.78016733506433,23409.83059670377,19015.597503547138,429.54548812571835
2025-02-07,5820.6556289625569,5569.8309185588787,24228.660287421302,20313.884859544814,179.13232502586447,-656.70126798613626,4392.3443708367604,37811.132104255244,854.26100952307604,20474.356054022937,16809.970643121887,3195.3280362105925
2025-02-08,5569.8309185588787,5616.261372648255,26059.144613131484,16258.991152596191,3081.4723969452948,0,6718.6810635899974,35067.075695730644,1094.5744236783005,18704.303302079803,15108.698266004201,988.88236666666683
2025-02-09,5616.261372648255,5687.3016393072694,57714.066608149034,50604.968788048936,2798.6628899422913,-67.779856796180695,4378.2147869539858,83777.1375099078,731.08083755972018,24307.982124053378,19625.529280490126,270.34953723760236
2025-02-10,5687.3016393072694,5538.7049605956454,53885.004667905479,48957.302832332469,1555.6472832014074,-726.84975984569917,4098.9043122173016,77976.977643990773,718.64794803445147,23467.163333851939,19142.139311260533,43.963986100487887
2025-02-11,5538.7049605956454,5802.1781582649655,61174.817663941481,49087.274941477968,3214.7028456987782,-1232.9701735095223,10105.810050274251,78022.906871959945,1866.8319175603106,22930.508832789157,18336.586276656832,75.219100054593014
2025-02-12,5802.1781582649655,5892.7774407186371,55173.595963529668,50814.174639378056,2336.3295777197359,-1315.5851489291285,3338.6768953610017,79394.47579168182,634.37248157891304,23810.651937529496,19205.088715190584,156.5489175885009
2025-02-13,5892.7774407186371,6009.0672647530728,50292.151273489741,46908.859349821345,1488.6312459338981,-566.43042135572068,2461.0910990902112,76084.409744229284,426.78969125131329,23393.056988198419,18843.715318809729,632.37874942524707
2025-02-14,6009.0672647530728,5624.4729651877051,21320.459338183842,17145.283389999291,1685.8458354440445,0,2489.3301127405052,34994.399705184631,479.54621432590397,18660.102765323456,15460.818109520835,2472.8594470412404
2025-02-15,5624.4729651877051,5642.0985620240108,21440.816762395669,17709.44570482058,1362.718389955472,-156.8536378592116,2525.5063054788307,34989.392891483454,486.51919986693974,18139.715464991918,14677.306489490778,2733.4120158492487
2025-02-16,5642.0985620240108,5976.9829827863523,56907.653730944527,51565.595872184786,3226.4474169139635,-2009.2093233766668,4124.8197652224526,79360.780833741621,834.53878787428755,23149.588310125466,18449.770552515525,118.12276400595772
2025-02-17,5976.9829827863523,5845.0532325847171,52216.493275487323,50930.487199629177,2258.7818466993845,-2825.6378286988152,1852.8620578575769,75213.342497592646,290.7854057943905,21789.749181783722,17768.433612426288,298.9491673629326
2025-02-18,5845.0532325847171,6039.5810544033384,50010.702328327694,45339.756231805521,4207.1440842936481,-10.565954977079963,474.36796720560204,76590.54151327243,84.608547928896513,21706.386892627896,17407.098343391837,284.47372863192743
2025-02-19,6039.5810544033384,5819.5001284953496,49856.792214425135,46298.884960114396,2652.6926203425,-24.283572342222271,929.49820631046623,77326.66106231985,203.21812200325013,23788.035020616582,19466.381200016629,328.89798038980439
2025-02-20,5819.5001284953496,6185.8579080876489,48468.46998844466,48000.584454078402,1030.3626856579531,-860.11709035255819,297.63993906086222,76448.471122961011,65.400482036211514,23248.053319569583,18501.201187218299,773.88573931260532
2025-02-21,6185.8579080876489,5672.1466523785657,18129.120648095071,17041.74662495713,1087.3740231379134,0,2.8777061789053702e-11,34251.313333896942,7.3648864784559009e-12,17685.623706055303,14787.695332042969,5793.1229265512738
2025-02-22,5672.1466523785657,6085.9690066665225,18785.042993097126,17943.173207285185,921.08731926141104,-79.217533449505225,3.4977462121110751e-11,35173.366199652432,8.3303919318211683e-12,18138.636814323385,14319.855700742783,3509.8222027384954
2025-02-23,6085.9690066665225,6103.8992807680052,48713.050605940967,47577.710475622895,1923.8478944184333,-853.05901279490399,64.551248694536255,76232.757250909024,14.43687536177198,22813.404029470097,18462.72001717945,364.65643064680717
2025-02-24,6103.8992807680052,6168.0981928893689,46362.497415655729,46060.234637176167,755.80830524753515,-648.19585903072186,194.65033226274636,73002.930469031067,43.26204654413916,21511.365281441253,17366.426857058188,698.22047452546599
2025-02-25,6168.0981928893689,5953.4457425676237,46079.711920500267,46973.885820128366,865.01002881473642,-2030.8680928008241,271.68416435799071,70880.984924898454,61.322711515842542,21640.158466457833,17721.715563120422,1202.5414997435394
2025-02-26,5953.4457425676237,6579.7701932575583,46848.93173099526,43287.412304539059,3548.8773991586409,0,12.642027297563097,74610.550493165647,2.8866371269691409,23030.100832547585,18090.689668742605,859.17793315430492
