case,n,initial,terminal_rate,dp,lp,error
0,3,1503.4363620040072,0.0,359.71184341246845,359.7118434124684,5.684341886080802e-14
1,12,7326.882746588955,0.5,9627.137683636278,9627.137683636274,3.637978807091713e-12
2,24,4627.717900429715,2.0,18949.453731843576,18949.453731843576,0.0
3,144,6505.854308555974,0.0,102442.09611136481,102442.09611136478,2.9103830456733704e-11
4,3,3287.2488078726333,0.5,4172.230952312932,4172.230952312932,0.0
5,12,6299.058653007817,2.0,18347.16170015668,18347.16170015668,0.0
6,24,10064.11273066439,0.0,7383.0664035545815,7383.066403554586,4.547473508864641e-12
7,144,4506.360246966911,0.5,77580.92318133907,77580.92318133908,1.4551915228366852e-11
8,3,5814.954568778593,2.0,2707.394027649065,2707.394027649067,2.2737367544323206e-12
9,12,8011.78035297897,0.0,0.0,0.0,0.0
10,24,9406.414920397237,0.5,4235.27102441764,4235.271024417637,2.7284841053187847e-12
11,144,1309.9625415739665,2.0,148024.59453617653,148024.5945361766,5.820766091346741e-11
12,3,5972.082613165795,0.0,4170.271192379021,4170.271192379021,0.0
13,12,2873.5829887199516,0.5,15964.466687029966,15964.466687029964,1.8189894035458565e-12
14,24,7709.48845265186,2.0,13212.09789552141,13212.097895521403,7.275957614183426e-12
15,144,2648.7561359582787,0.0,128273.14325210055,128273.14325210056,1.4551915228366852e-11
16,3,1338.5099010642957,0.5,2446.9678754873557,2446.967875487356,4.547473508864641e-13
17,12,9877.369593703925,2.0,4563.425531552733,4563.4255315527325,9.094947017729282e-13
18,24,7294.79552959821,0.0,5587.418638250885,5587.418638250889,3.637978807091713e-12
19,144,10369.02749980165,0.5,95152.6767664002,95152.6767664002,0.0
20,3,7115.4006322365385,2.0,4091.0657586280577,4091.065758628057,4.547473508864641e-13
21,12,2573.1483399093313,0.0,3847.3088849102155,3847.3088849102155,0.0
22,24,3568.096476984919,0.5,27991.413869792035,27991.41386979203,3.637978807091713e-12
23,144,9149.87652972625,2.0,77978.76815916254,77978.7681591625,4.3655745685100555e-11
24,3,3569.079043358773,0.0,0.0,0.0,0.0
25,12,7987.4605408794305,0.5,2126.048063322811,2126.04806332281,9.094947017729282e-13
26,24,5976.707960178996,2.0,19085.566663314916,19085.566663314916,0.0
27,144,8122.6531034521695,0.0,81092.19813423748,81092.19813423748,0.0
28,3,8061.545394947914,0.5,1585.5814460781748,1585.5814460781744,4.547473508864641e-13
29,12,2007.994304142763,2.0,22604.378784544704,22604.378784544697,7.275957614183426e-12
30,24,5523.496167776343,0.0,14027.61579209672,14027.615792096713,7.275957614183426e-12
31,144,4874.070580013615,0.5,107384.6251001042,107384.62510010415,4.3655745685100555e-11
32,3,5075.109186319292,2.0,9219.852645323292,9219.85264532329,1.8189894035458565e-12
33,12,7456.173804058778,0.0,3403.9332062472877,3403.933206247288,4.547473508864641e-13
34,24,5151.385071370218,0.5,26463.656461855597,26463.656461855597,0.0
35,144,8151.531387378504,2.0,95136.97413081717,95136.97413081727,1.0186340659856796e-10
36,3,9134.207579634362,0.0,699.2974719196645,699.297471919664,5.684341886080801e-13
37,12,2746.7140766948714,0.5,15153.226914437524,15153.22691443753,5.4569682106375694e-12
38,24,5039.01891089118,2.0,13002.845409462841,13002.845409462845,3.637978807091713e-12
39,144,6155.362282604189,0.0,86674.99010062832,86674.99010062827,4.3655745685100555e-11
40,3,7286.147282899337,0.5,719.7406065054811,719.7406065054813,2.2737367544323206e-13
41,12,2880.848500306068,2.0,3780.2164326334632,3780.2164326334614,1.8189894035458565e-12
42,24,10537.109824988376,0.0,16554.21433900622,16554.214339006212,7.275957614183426e-12
43,144,1912.709072967732,0.5,72801.39336114093,72801.39336114093,0.0
44,3,7491.003829166211,2.0,0.0,0.0,0.0
45,12,10729.874020315156,0.0,5714.437729574219,5714.43772957422,9.094947017729282e-13
46,24,7400.058304277125,0.5,4966.617082624225,4966.617082624227,1.8189894035458565e-12
47,144,10457.961314801676,2.0,122963.53607372049,122963.53607372043,5.820766091346741e-11
