plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
1406.6410999999998,833.33333333333326,0,0,6000,6750,573.30776666666657,0,0,0.42480000000000001
1406.3298666666665,833.33333333333326,0,0,6750,7500,572.99653333333333,0,0,0.42449999999999999
1407.3838499999999,833.33333333333326,0,0,7500,8250,574.05051666666668,0,0,0.4269
1409.07395,833.33333333333326,0,1.1368683772161603e-13,8250,9000,575.7406166666666,0,0,0.42720000000000002
1409.8045499999998,833.33333333333326,0,0,9000,9750,576.47121666666658,0,0,0.42709999999999998
576.64001666666661,0,0,0,9750,9750,576.64001666666661,0,0,0.42849999999999999
577.85969999999998,0,0,0,9750,9750,577.85969999999998,0,0,0.43109999999999998
577.99386666666669,0,0,0,9750,9750,577.99386666666669,0,0,0.43020000000000003
911.16138333333333,333.33333333333331,0,5.6843418860808015e-14,9750,10050,577.82804999999996,0,0,0.4279
580.41544999999996,0,0,0,10050,10050,580.41544999999996,0,0,0.43120000000000003
582.51401666666663,0,0,0,10050,10050,582.51401666666663,0,0,0.43330000000000002
583.07404999999994,0,0,0,10050,10050,583.07404999999994,0,0,0.43109999999999998
584.20491666666658,0,0,0,10050,10050,584.20491666666658,0,0,0.42930000000000001
585.43978333333325,0,0,0,10050,10050,585.43978333333325,0,0,0.43240000000000001
586.14474999999993,0,0,0,10050,10050,586.14474999999993,0,0,0.43669999999999998
586.3207666666666,0,0,0,10050,10050,586.3207666666666,0,0,0.43480000000000002
586.42529999999999,0,0,0,10050,10050,586.42529999999999,0,0,0.4335
586.84960000000001,0,0,0,10050,10050,586.84960000000001,0,0,0.43569999999999998
587.82101666666665,0,0,0,10050,10050,587.82101666666665,0,0,0.43740000000000001
589.54756666666663,0,0,0,10050,10050,589.54756666666663,0,0,0.43709999999999999
590.81346666666661,0,0,0,10050,10050,590.81346666666661,0,0,0.43559999999999999
590.21311666666656,0,0,0,10050,10050,590.21311666666656,0,0,0.43530000000000002
591.06626666666659,0,0,0,10050,10050,591.06626666666659,0,0,0.436
593.36783333333324,0,0,0,10050,10050,593.36783333333324,0,0,0.43780000000000002
593.65968333333331,0,0,0,10050,10050,593.65968333333331,0,0,0.44009999999999999
592.78638333333333,0,0,0,10050,10050,592.78638333333333,0,0,0.43890000000000001
593.33786666666663,0,0,0,10050,10050,593.33786666666663,0,0,0.43640000000000001
596.67576666666662,0,0,0,10050,10050,596.77566666666667,0.099900000000000003,0,0.43930000000000002
597.78025000000002,0,0,0,10050,10050,597.81933333333336,0.039083333333333331,0,0.44219999999999998
595.16249999999991,0,0,0,10050,10050,595.21058333333326,0.048083333333333325,0,0.4395
590.60649999999998,0,0,0,10050,10050,593.71951666666666,3.1130166666666668,0,0.43330000000000002
589.48518333333334,0,0,0,10050,10050,598.56348333333335,9.0782999999999987,0,0.44390000000000002
578.45544999999993,0,0,0,10050,10050,596.6174166666666,18.161966666666665,0,0.43009999999999998
1383.6597833333331,833.33333333333326,0,0,10050,10800,581.01983333333328,30.693383333333333,0,0.37130000000000002
591.14019999999994,0,0,0,10800,10800,637.31656666666663,46.176366666666667,0,0.57079999999999997
3.4106051316484809e-13,0,668.25388333333285,0,10800,10057.495685185186,733.01211666666654,64.758233333333322,0,0.90990000000000004
0,0,655.4553333333339,5.6843418860808015e-13,10057.495685185186,9329.2119814814814,742.33538333333331,86.880049999999997,0,0.93679999999999997
4.5474735088646412e-13,0,616.50403333333293,1.1368683772161603e-13,9329.2119814814814,8644.2075000000004,728.63198333333332,112.12795,0,0.87580000000000002
1.1368683772161603e-13,0,591.45448333333331,0,8644.2075000000004,7987.0358518518524,732.1588333333334,140.70434999999998,0,0.87590000000000001
1.1368683772161603e-13,0,557.48686666666651,1.1368683772161603e-13,7987.0358518518524,7367.6060000000007,730.76593333333324,173.27906666666667,0,0.86009999999999998
0,0,529.2397000000002,2.2737367544323206e-13,7367.6060000000007,6779.5618888888894,739.12928333333332,209.88958333333335,0,0.84419999999999995
0,0,502.47071666666687,2.2737367544323206e-13,6779.5618888888894,6221.2610925925928,753.90935000000002,251.43863333333334,0,0.83340000000000003
0,0,455.44356666666675,1.1368683772161603e-13,6221.2610925925928,5715.2126851851854,754.01201666666668,298.56844999999998,0,0.80920000000000003
0,0,410.06670000000003,0,5715.2126851851854,5259.5830185185187,757.64778333333334,347.58108333333331,0,0.79720000000000002
0,0,356.99678333333361,3.4106051316484809e-13,5259.5830185185187,4862.9199259259258,753.87363333333326,396.87684999999999,0,0.76439999999999997
0,0,283.36356666666688,2.2737367544323206e-13,4862.9199259259258,4548.0715185185181,730.55943333333335,447.19586666666669,0,0.68989999999999996
0,0,320.68411666666691,3.4106051316484809e-13,4548.0715185185181,4191.7558333333327,818.40998333333323,497.72586666666666,0,0.85999999999999999
0,0,418.42145000000011,1.1368683772161603e-13,4191.7558333333327,3726.8431111111104,966.62211666666656,548.20066666666662,0,1.1617
5.6843418860808015e-14,0,381.9107833333332,0,3726.8431111111104,3302.4977962962957,980.80433333333326,598.89355,0,1.1682999999999999
0,0,309.55635000000012,1.1368683772161603e-13,3302.4977962962957,2958.5462962962956,958.01188333333323,648.45553333333328,0,1.0955999999999999
5.6843418860808015e-14,0,264.61939999999998,1.1368683772161603e-13,2958.5462962962956,2664.5247407407401,961.50968333333333,696.89028333333329,0,1.0849
0,0,213.74080000000004,0,2664.5247407407401,2427.0349629629623,959.03508333333332,745.29428333333328,0,1.0609999999999999
0,0,178.55891666666685,1.1368683772161603e-13,2427.0349629629623,2228.6361666666658,970.69678333333331,792.13786666666658,0,1.0429999999999999
2.8421709430404007e-14,0,155.39211666666674,0,2228.6361666666658,2055.9782592592583,992.3766833333334,836.98456666666664,0,1.036
0,0,112.25950000000019,1.1368683772161603e-13,2055.9782592592583,1931.2454814814803,993.16160000000002,880.9020999999999,0,1.0146999999999999
1.4210854715202004e-14,0,64.396866666666583,0,1931.2454814814803,1859.6934074074063,988.25923333333333,923.86236666666673,0,0.99219999999999997
