date,soc_start_kwh,soc_end_kwh,total_cost_yuan,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh
2025-02-01,9902.8112878703687,6535.7780435262566,16907.30085814825,17569.36204103678,0,-662.06118288855532,2.4427952605154955e-11,37353.843941192354,5.2230442193490489e-12,15624.183605842039,15685.918640641752,3037.4030426587287
2025-02-02,6535.7780435262566,6724.9814623902748,61744.742198601125,63023.51585666724,224.51175889266474,-1503.2854169588177,2.370099094761713e-11,86446.995732985757,4.3920422854171193e-12,22315.517954609968,17905.286466256461,3680.4862946322564
2025-02-03,6724.9814623902748,6514.9619835752155,63714.292517123846,65774.430163600176,199.40558185246806,-2259.5432283288578,5.4271322547094767e-11,86547.680624674409,1.0230039038106042e-11,22612.313250849369,18504.991264121541,2223.4421379465853
2025-02-04,6514.9619835752155,6658.7069047063387,66352.693075820251,68217.583300939616,585.2280460876209,-2450.1182712070149,3.4065312348730002e-11,89197.828485067133,5.8619775700208265e-12,22858.857522599297,18386.30416428742,3530.4111767552577
2025-02-05,6658.7069047063387,5939.5104361204512,65008.542991836381,58176.02316890817,3317.6454763400243,-375.92146379349128,3890.7958103816804,84313.631783409015,646.41651209800864,23158.61649221792,19405.756180423814,458.76100037957508
2025-02-06,5939.5104361204512,5823.9096035227403,65202.012906905205,64626.605524186212,2145.6118743169595,-2998.8881260251505,1428.6836344271849,85000.817251713393,257.78016733506502,24249.219449293902,19745.908503266,484.2292563538881
2025-02-07,5823.9096035227403,5561.262204354015,20387.904463093571,16491.791212165488,47.05204160600222,-412.68487225757326,4261.7460815796558,38158.854872417745,854.26100952307229,19963.041822223266,16406.446535252697,3650.8409283035749
2025-02-08,5561.262204354015,5629.9150761228248,21180.47277971033,13108.226788951766,2649.5273969538612,0,5422.7185938047023,35363.740207499432,1094.5744236783021,20160.431385539261,16268.161837694872,988.88236666666683
2025-02-09,5629.9150761228248,5693.7244463193119,64857.733841990354,56441.418342937854,2705.2477166858994,-87.307538194375198,5798.375320560981,83306.863265275082,988.81236686628927,23225.492027194836,18755.220108850983,269.98774713083753
2025-02-10,5693.7244463193119,5554.4752049114104,57342.108042161402,53090.265916291733,1192.0320801274679,-707.71777529185078,3767.5278210340475,77721.78905264035,670.28371531479684,21966.8471087219,17918.470475331851,17.058551231748424
2025-02-11,5554.4752049114104,5784.4565710254883,66132.094634254929,53713.225183381786,3305.7775731436145,-1382.9222856471138,10496.014163376654,77801.28622367054,1866.3695681875322,21850.498276065802,17491.920374110632,88.480756569561891
2025-02-12,5784.4565710254883,5902.3676280306099,60288.282973959562,55439.304169369207,2306.4389464989281,-1613.8327075102882,4156.3725656017268,79114.651141769689,771.66523412135393,23008.06034224735,18530.408925915748,141.92882622609909
2025-02-13,5902.3676280306099,5989.5013500451496,53964.269933927884,50549.719603817997,1617.7719873171095,-627.32646023788539,2424.1048030306633,76133.00796897446,431.78665857595604,23481.793682515883,18941.832533024783,695.35446139264832
2025-02-14,5989.5013500451496,5658.6656455354805,17476.736086610865,13793.275720680507,1497.8614802531172,0,2185.5988856772433,35281.142457845031,479.54621432590437,19878.433914486373,16399.283604792665,2479.7365458105578
2025-02-15,5658.6656455354805,5633.3002342640766,17890.379697164812,14645.425879714458,1255.572776222446,-127.66121228394196,2117.0422535118478,35189.484767605521,486.51919986694179,19264.656303434058,15627.200475925854,2758.4570399642521
2025-02-16,5633.3002342640766,5979.5900337350413,61753.971203042747,56541.663835835076,3164.3442974201707,-2358.8649813234165,4406.8280511109124,79216.114371937845,813.11011361336728,22317.509050971068,17765.521511762701,99.857846342845164
