initial_soc,dp,milp,error
1200,37419.29858928962,37419.298589289625,7.275957614183426e-12
1800,37131.898589289616,37131.89858928963,1.4551915228366852e-11
2400,36844.498589289615,36844.49858928962,7.275957614183426e-12
3000,36557.54858928962,36557.548589289625,7.275957614183426e-12
3600,36270.781922622955,36270.78192262296,7.275957614183426e-12
4200,35984.18192262294,35984.18192262296,2.1827872842550278e-11
4800,35697.981922622945,35697.98192262296,1.4551915228366852e-11
5400,35412.31525595628,35412.315255956295,1.4551915228366852e-11
6000,35126.94858928961,35126.948589289634,2.1827872842550278e-11
6600,34841.91525595628,34841.9152559563,2.1827872842550278e-11
7200,34557.131922622946,34557.13192262297,2.1827872842550278e-11
7800,34272.39858928961,34272.39858928963,2.1827872842550278e-11
8400,33987.79858928962,33987.798589289625,7.275957614183426e-12
9000,33704.248589289615,33704.24858928964,2.1827872842550278e-11
9600,33421.148589289616,33421.14858928963,1.4551915228366852e-11
10200,33147.015255956285,33147.0152559563,1.4551915228366852e-11
10800,32899.481922622945,32899.48192262296,1.4551915228366852e-11
