slot,interval,plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
0,00:00-00:10,1406.6410999999998,833.33333333333326,0,0,6000,6750,573.30776666666657,0,0,0.42480000000000001
1,00:10-00:20,1406.3298666666665,833.33333333333326,0,0,6750,7500,572.99653333333333,0,0,0.42449999999999999
2,00:20-00:30,1407.3838499999999,833.33333333333326,0,0,7500,8250,574.05051666666668,0,0,0.4269
3,00:30-00:40,1409.07395,833.33333333333326,0,0,8250,9000,575.7406166666666,0,0,0.42720000000000002
4,00:40-00:50,1409.8045499999998,833.33333333333326,0,0,9000,9750,576.47121666666658,0,0,0.42709999999999998
5,00:50-01:00,576.64001666666661,0,0,0,9750,9750,576.64001666666661,0,0,0.42849999999999999
6,01:00-01:10,577.85969999999998,0,0,0,9750,9750,577.85969999999998,0,0,0.43109999999999998
7,01:10-01:20,577.99386666666669,0,0,0,9750,9750,577.99386666666669,0,0,0.43020000000000003
8,01:20-01:30,911.16138333333333,333.33333333333331,0,0,9750,10050,577.82804999999996,0,0,0.4279
9,01:30-01:40,580.41544999999996,0,0,0,10050,10050,580.41544999999996,0,0,0.43120000000000003
10,01:40-01:50,582.51401666666663,0,0,0,10050,10050,582.51401666666663,0,0,0.43330000000000002
11,01:50-02:00,583.07404999999994,0,0,0,10050,10050,583.07404999999994,0,0,0.43109999999999998
12,02:00-02:10,584.20491666666658,0,0,0,10050,10050,584.20491666666658,0,0,0.42930000000000001
13,02:10-02:20,585.43978333333325,0,0,0,10050,10050,585.43978333333325,0,0,0.43240000000000001
14,02:20-02:30,586.14474999999993,0,0,0,10050,10050,586.14474999999993,0,0,0.43669999999999998
15,02:30-02:40,586.3207666666666,0,0,0,10050,10050,586.3207666666666,0,0,0.43480000000000002
16,02:40-02:50,586.42529999999999,0,0,0,10050,10050,586.42529999999999,0,0,0.4335
17,02:50-03:00,586.84960000000001,0,0,0,10050,10050,586.84960000000001,0,0,0.43569999999999998
18,03:00-03:10,587.82101666666665,0,0,0,10050,10050,587.82101666666665,0,0,0.43740000000000001
19,03:10-03:20,589.54756666666663,0,0,0,10050,10050,589.54756666666663,0,0,0.43709999999999999
20,03:20-03:30,590.81346666666661,0,0,0,10050,10050,590.81346666666661,0,0,0.43559999999999999
21,03:30-03:40,590.21311666666656,0,0,0,10050,10050,590.21311666666656,0,0,0.43530000000000002
22,03:40-03:50,591.06626666666659,0,0,0,10050,10050,591.06626666666659,0,0,0.436
23,03:50-04:00,593.36783333333324,0,0,0,10050,10050,593.36783333333324,0,0,0.43780000000000002
