match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,ServeWidth,ServeDepth,ReturnDepth,ace_diff,double_diff,unf_diff,net_diff,break_won_diff,break_missed_diff,ace_diff_cumsum,double_diff_cumsum,unf_diff_cumsum,net_diff_cumsum,break_won_diff_cumsum,break_missed_diff_cumsum,swing
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0015625,1,1,5,0,0,0,0,15,40,2,2,2,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.417,5.974,1,94,BC,NCTL,ND,0,0,1,0,0,0,-1,0,1,-1,0,0,
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0028356481481481,1,2,9,0,0,0,1,40,0,1,2,1,5,4,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.954,20.247,7,95,C,NCTL,D,0,0,0,0,0,0,0,0,0,-1,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0045601851851851,1,3,14,0,0,1,1,15,40,2,1,2,6,8,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.153,15.455,5,112,BW,CTL,D,0,0,0,0,0,0,0,-1,-1,-1,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0071064814814814,1,4,18,0,0,1,2,0,40,1,2,2,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.364,12.612,2,82,W,CTL,D,0,0,0,0,-1,0,0,-1,0,-1,-1,0,0.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.009074074074074,1,5,22,0,0,1,3,40,0,2,1,1,10,12,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.098,3.792,2,114,BC,NCTL,D,0,0,0,0,1,0,0,-1,0,-1,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0114236111111111,1,6,27,0,0,2,3,40,15,1,2,1,14,13,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,35.23,34.355,5,86,W,CTL,ND,0,0,0,1,0,0,0,-1,0,0,0,0,0.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0137152777777778,1,7,31,0,0,3,3,0,40,2,2,2,14,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,3.431,1,96,BW,CTL,D,0,0,0,0,0,0,0,-1,3,0,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0156597222222222,1,8,35,0,0,3,4,40,0,1,1,1,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.212,3.347,1,106,BW,NCTL,ND,0,0,0,0,0,0,1,-1,2,0,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0172569444444444,1,9,40,0,0,4,4,15,40,2,2,2,19,21,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.682,13.679,3,102,B,CTL,ND,0,0,1,0,0,0,1,-1,3,-2,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0194097222222222,1,10,44,0,0,4,5,40,0,1,2,1,23,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.441,12.394,3,81,BW,CTL,ND,0,0,0,0,0,0,1,-1,2,-1,0,0,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0215509259259259,1,11,49,0,0,5,5,40,15,2,1,1,27,22,1,0,0,0,1,0,B,0,0,0,0,0,1,0,0,1,0,1,0,0,0,27.45,18.506,6,120,C,NCTL,ND,0,0,0,0,1,0,0,-1,0,-1,1,0,0.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0261574074074074,1,12,59,0,0,6,5,40,AD,1,2,2,31,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,22.416,19.982,6,86,C,NCTL,D,0,0,0,0,-1,0,0,-1,1,-1,0,-2,1.0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0311342592592593,1,13,71,0,0,6,6,5,6,2,1,2,36,35,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.253,4.906,1,116,C,NCTL,D,0,0,0,0,0,0,-1,-1,1,-2,0,-2,0.0
