match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,ServeWidth,ServeDepth,ReturnDepth,ace_diff,double_diff,unf_diff,net_diff,break_won_diff,break_missed_diff,ace_diff_cumsum,double_diff_cumsum,unf_diff_cumsum,net_diff_cumsum,break_won_diff_cumsum,break_missed_diff_cumsum
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0,1,1,1,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,36.719,44.308,9,94,BC,CTL,D,0,0,0,-1,0,0,0,0,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.000625,1,1,2,0,0,0,0,0,15,2,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.171,1.282,1,114,W,CTL,,-1,0,0,0,0,0,-1,0,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.000856481481481482,1,1,3,0,0,0,0,0,30,2,1,2,0,3,0,0,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.622,7.731,3,116,C,NCTL,ND,0,0,0,0,0,0,-1,0,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00113425925925926,1,1,4,0,0,0,0,0,40,2,2,1,1,3,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.586,16.589,4,86,B,NCTL,ND,0,0,0,0,0,0,-1,0,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0015625,1,1,5,0,0,0,0,15,40,2,2,2,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.417,5.974,1,94,BC,NCTL,ND,0,0,1,0,0,0,-1,0,1,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00222222222222222,1,2,6,0,0,0,1,0,0,1,1,1,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637,0.552,1,97,W,CTL,,1,0,0,0,0,0,0,0,1,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00238425925925926,1,2,7,0,0,0,1,15,0,1,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.154,5.126,1,79,BW,NCTL,D,0,0,-1,0,0,0,0,0,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00267361111111111,1,2,8,0,0,0,1,30,0,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.133,5.409,1,105,C,NCTL,ND,0,0,0,0,0,0,0,0,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00283564814814815,1,2,9,0,0,0,1,40,0,1,2,1,5,4,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.954,20.247,7,95,C,NCTL,D,0,0,0,0,0,0,0,0,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00337962962962963,1,3,10,0,0,1,1,0,0,2,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.283,5.65,1,103,W,CTL,ND,0,0,0,0,0,0,0,0,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00363425925925926,1,3,11,0,0,1,1,0,15,2,1,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.624,14.392,3,110,BC,NCTL,ND,0,0,0,0,0,0,0,0,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00391203703703704,1,3,12,0,0,1,1,0,30,2,2,1,6,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12.065,6.48,0,0,BC,CTL,ND,0,-1,-1,0,0,0,0,-1,-1,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.0043287037037037,1,3,13,0,0,1,1,15,30,2,1,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.938,4.094,1,116,BW,NCTL,D,0,0,0,0,0,0,0,-1,-1,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00456018518518519,1,3,14,0,0,1,1,15,40,2,1,2,6,8,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.153,15.455,5,112,BW,CTL,D,0,0,0,0,0,0,0,-1,-1,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00581018518518519,1,4,15,0,0,1,2,0,0,1,2,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.245,17.1,4,81,BC,NCTL,ND,0,0,0,0,0,0,0,-1,-1,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00621527777777778,1,4,16,0,0,1,2,0,15,1,2,2,6,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.109,15.309,4,79,B,NCTL,D,0,0,1,0,0,0,0,-1,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00677083333333333,1,4,17,0,0,1,2,0,30,1,1,2,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.88,22.124,6,93,BW,NCTL,D,0,0,0,0,0,0,0,-1,0,-1,0,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00710648148148148,1,4,18,0,0,1,2,0,40,1,2,2,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.364,12.612,2,82,W,CTL,D,0,0,0,0,-1,0,0,-1,0,-1,-1,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00762731481481482,1,5,19,0,0,1,3,0,0,2,1,1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.646,16.664,4,119,BC,NCTL,ND,0,0,0,0,0,0,0,-1,0,-1,-1,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00797453703703704,1,5,20,0,0,1,3,15,0,2,2,1,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.572,17.183,4,93,BW,NCTL,D,0,0,0,0,0,0,0,-1,0,-1,-1,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00849537037037037,1,5,21,0,0,1,3,30,0,2,2,1,9,12,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.528,33.007,6,95,BC,CTL,ND,0,0,0,0,0,0,0,-1,0,-1,-1,0
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0.00907407407407407,1,5,22,0,0,1,3,40,0,2,1,1,10,12,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.098,3.792,2,114,BC,NCTL,D,0,0,0,0,1,0,0,-1,0,-1,0,0
