match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,momentum_value_diff,momentum_value_diff_cumsum,performance_diff_cumsum
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:00:00,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.661,4.341,1,111,W,CTL,D,-0.000342632,-0.000342632,-0.4
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:00:25,1,1,2,0,0,0,0,0,15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.502,22.307,4,126,BW,NCTL,ND,-0.000342632,-0.000685264,0.2
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:01:19,1,1,3,0,0,0,0,15,15,2,2,1,2,1,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.786,2.926,2,102,BW,NCTL,ND,-0.000342632,-0.001027896,0.8
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:02:17,1,1,4,0,0,0,0,30,15,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.907,4.209,1,120,BC,CTL,ND,-0.000342632,-0.001370528,0.4
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:03:02,1,1,5,0,0,0,0,30,30,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12.881,8.676,2,108,W,CTL,ND,0.173643091,0.172272562,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:03:38,1,1,6,0,0,0,0,40,30,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.293,7.704,1,127,W,NCTL,D,-0.161854017,0.010418545,0.6
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:04:05,1,1,7,0,0,0,0,40,40,2,1,2,3,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23.283,19.531,5,111,W,CTL,ND,-0.171267084,-0.160848539,0.2
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:04:41,1,1,8,0,0,0,0,40,AD,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.179,24.58,6,124,BW,NCTL,D,-0.000342632,-0.161191171,0.8
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:06:03,1,1,9,0,0,0,0,40,40,2,1,2,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29.115,28.599,7,127,C,NCTL,D,-0.173539494,-0.334730665,0.4
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:06:43,1,1,10,0,0,0,0,40,AD,2,1,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.941,7.816,1,125,W,CTL,ND,-0.000342632,-0.335073297,-2.22E-16
